contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Raadhuis,0928::SB1,6461 EB,1520,1232,1,9,259,315,197,149,145,64,24,3,2,25,5,2,0,2,0,36,0,2,1,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Kapelhof,0928::SB2,6461 EH,986,606,2,1,120,145,118,116,51,21,1,2,0,16,1,1,1,0,2,9,0,0,1,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Diabolo,0928::SB3,6461 EX,1281,887,4,0,144,236,205,63,118,43,14,5,1,21,4,4,0,0,2,20,0,0,5,2
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Schatkist,0928::SB4,6462 HC,1383,819,1,0,77,220,234,38,169,37,5,1,0,15,12,2,0,0,0,6,0,0,2,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Vroenhof,0928::SB5,6462 VA,1253,779,5,2,85,206,216,54,141,16,9,2,0,29,0,2,0,1,1,14,0,0,3,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Café Ackens,0928::SB6,6462 CS,1196,629,1,1,80,167,148,34,139,15,5,2,2,16,0,0,0,0,0,18,0,0,3,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Café Ejen Bouwerweij,0928::SB7,6462 CP,1206,706,4,5,64,191,227,30,115,18,5,4,0,24,0,4,0,0,1,21,1,0,1,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Catharinahoes,0928::SB8,6461 JK,1638,1050,1,3,185,285,209,83,166,36,13,3,2,19,4,4,0,0,1,37,0,1,1,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool St. Ursula,0928::SB9,6461 BS,1112,821,2,3,129,217,183,65,144,26,14,2,0,12,3,4,0,0,0,19,0,1,2,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brede School de Steltloper,0928::SB10,6463 VZ,853,696,1,3,38,203,211,32,142,18,8,4,2,10,0,2,0,1,0,23,0,0,2,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Parochiezaaltje,0928::SB11,6463 AS,1267,741,1,1,80,184,232,28,130,24,11,5,0,20,3,4,0,0,0,18,0,0,2,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Hoog Anstel,0928::SB12,6463 XX,911,512,4,0,85,137,128,28,82,17,5,0,0,16,1,1,0,0,1,10,0,0,0,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Oleanderhof,0928::SB13,6463 GN,1317,749,0,1,52,183,237,32,146,20,11,2,1,16,6,5,0,0,2,35,0,0,0,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Centrum Op de Bies,0928::SB14,6463 DM,1617,791,3,1,134,207,204,37,128,20,5,1,1,21,6,5,0,1,0,13,3,1,2,2
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool de Blokkenberg,0928::SB15,6464 CH,1233,870,3,1,147,221,202,62,135,36,5,5,1,25,2,3,1,3,0,20,0,0,1,1
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw speeltuin van Meertenstraat,0928::SB16,,1177,686,1,3,122,177,180,23,109,18,8,0,0,14,7,0,0,0,1,24,0,0,1,2
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Laethof,0928::SB17,6471 GB,1208,741,2,3,87,164,189,59,136,45,17,0,0,17,4,1,0,0,0,22,0,0,0,0
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool de Schatkist,0928::SB18,6471 HN,1606,1037,6,0,107,274,259,53,230,43,13,3,2,22,3,2,0,0,1,15,0,0,7,3
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool de Veldhof,0928::SB19,6471 GL,949,759,3,2,110,212,159,48,132,32,14,1,0,24,3,0,0,0,2,19,0,0,1,2
Maastricht,Kerkrade,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Winkelpand APS-groep,0928::SB20,6471 VK,821,562,2,0,106,154,108,52,67,36,4,1,2,12,1,1,1,1,0,15,0,0,1,0
