contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Westhoek,1709::SB1,4761 AJ,1075,820,0,0,290,146,73,106,75,48,12,19,0,24,4,0,0,0,1,20,0,1,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sancta Maria,1709::SB2,4761 BN,1073,684,2,1,194,137,74,90,93,37,12,5,1,13,0,0,0,1,1,25,0,0,1,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kruisgebouw,1709::SB3,4761 KC,1388,826,3,0,143,232,122,67,145,40,8,16,1,17,2,0,0,0,0,30,0,0,1,2
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Pluspunt Serena,1709::SB4,4761 TW,1654,1119,1,2,301,243,173,82,144,56,16,24,0,26,7,2,0,0,1,43,0,0,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Openbare Basisschool De Boemerang,1709::SB5,4761 SB,1548,1028,0,1,299,247,101,76,146,79,17,27,2,17,5,2,0,0,0,7,1,0,1,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB6,4761 KN,1516,909,0,1,191,261,128,55,130,47,10,19,1,32,1,1,0,0,0,28,0,1,4,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sportplaza Moerdijk De Kristal,1709::SB7,4761 ZC,1597,1312,1,1,548,253,123,65,108,103,20,29,4,23,2,2,0,1,1,28,1,0,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stationsrestauratie Happy Dees,1709::SB8,4761 BG,967,947,0,1,386,146,95,91,81,73,10,10,4,16,2,1,2,0,2,27,0,0,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ons Stedeke,1709::SB9,4772 RA,675,484,0,0,161,68,69,56,68,29,5,5,0,14,0,1,0,0,1,7,0,0,0,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Zevensprong,1709::SB10,4765 CP,1292,907,0,1,301,180,142,100,85,35,15,3,0,16,1,0,0,0,1,27,0,0,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mauritshof,1709::SB11,4791 JR,1416,1082,0,2,276,180,110,157,114,68,10,98,27,12,1,2,1,0,0,23,1,0,1,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Niervaert,1709::SB12,4791 GB,1488,937,0,0,182,186,168,121,120,37,9,37,17,23,4,0,0,0,0,30,1,1,1,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Parochiehuis,1709::SB13,4791 HH,1501,1099,1,1,329,192,95,154,90,61,13,97,19,17,0,6,0,0,0,24,0,0,1,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Ankerkuil,1709::SB14,4781 AR,890,597,0,1,156,82,154,38,85,11,10,16,0,15,0,1,2,0,0,25,0,0,1,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau GSch.huis Noordhoek,1709::SB15,4759 BD,874,636,0,0,252,95,74,84,63,27,3,2,0,12,0,2,2,0,2,18,0,0,0,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 't Sandt,1709::SB16,4758 AJ,1723,1236,3,1,367,234,207,94,178,66,17,3,2,24,2,2,0,0,0,36,0,0,2,2
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mauritshuis,1709::SB17,4797 AC,1687,1456,3,1,590,243,93,180,87,127,20,40,4,24,7,2,0,1,0,31,0,1,5,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Blokhut,1709::SB18,4797 HT,690,490,0,0,134,126,68,32,59,23,6,14,1,11,0,1,0,0,0,15,0,0,0,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Parel,1709::SB19,4793 CB,1373,1095,0,4,281,231,162,110,176,52,7,21,4,16,5,0,0,0,4,23,1,0,1,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Fendertshof,1709::SB20,4793 ES,1218,828,0,2,219,178,104,114,98,29,11,17,6,21,2,0,0,0,1,26,2,0,0,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Openbare Basisschool De Springplank,1709::SB21,4793 BC,1420,973,2,0,272,226,118,87,143,43,9,16,5,19,1,2,0,0,1,31,0,0,0,0
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Pestalozzihuis,1709::SB22,4794 AA,833,569,2,1,160,122,86,27,87,29,7,15,4,14,1,2,1,0,0,13,0,0,0,1
Tilburg,Moerdijk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Café De Oude Molen,1709::SB23,4793 TH,514,384,0,1,139,49,42,43,37,31,12,12,5,6,1,0,0,0,0,6,0,0,0,1
