contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Beetsterzwaag, Gemeentehuis",0086::SB1,9244 CR,1568,1142,2,1,273,422,46,131,85,72,45,28,3,22,0,3,2,1,0,6,0,0,1,2
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Beetsterzwaag, Dorpshuis",0086::SB2,9244 CH,1397,1223,1,0,245,448,42,151,102,103,49,48,4,11,4,2,0,0,1,12,0,0,1,0
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Bakkeveen, It Ankerplak",0086::SB3,9243 KN,1469,1170,1,2,267,374,99,158,123,47,25,42,12,10,3,3,0,0,3,3,0,0,0,1
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Frieschepalen, De Dobber",0086::SB4,9249 MC,731,596,0,0,63,125,30,115,38,18,4,158,36,1,0,0,0,0,1,6,0,0,0,1
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gorredijk, De Miente",0086::SB5,8401 AC,1445,1013,1,2,225,442,47,98,76,60,20,11,6,7,2,3,0,0,0,12,0,0,2,2
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gorredijk, De Skâns",0086::SB6,8401 DV,1649,1250,0,1,233,463,119,72,162,70,31,40,4,29,4,2,1,0,2,15,1,0,1,1
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gorredijk, R.K.-kerk",0086::SB7,8401 RV,1246,799,0,2,95,367,70,47,142,17,9,24,3,12,1,2,0,1,0,6,0,0,3,0
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Hemrik, Dorpshuis",0086::SB8,8409 JW,563,482,0,0,123,182,18,39,49,26,17,10,4,6,1,1,1,0,0,5,0,0,0,0
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Langezwaag, consistorie N.H.-kerk",0086::SB9,8404 GN,1192,887,0,0,230,337,75,51,82,53,19,9,1,15,2,3,1,0,0,6,0,2,1,0
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Lippenhuizen, Dorpshuis",0086::SB10,8408 HH,1008,803,0,2,183,306,41,55,94,52,24,21,2,11,6,1,0,0,0,6,0,0,0,1
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Nij Beets, Dorpshuis",0086::SB11,9245 HP,1272,1003,1,1,162,338,25,172,113,47,33,85,11,9,0,2,0,1,1,2,0,0,1,1
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Siegerswoude, Dorpshuis",0086::SB12,9248 KS,619,491,1,1,75,105,19,112,33,19,11,71,22,10,0,1,0,1,0,3,0,0,5,4
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Terwispel, Dorpshuis",0086::SB13,8407 ES,770,617,0,1,108,275,46,41,61,40,10,6,1,17,0,1,0,0,1,10,0,0,0,0
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Tijnje, Dorpshuis",0086::SB14,8406 ES,1354,1037,1,1,228,375,59,109,148,41,25,15,6,8,4,5,3,0,0,6,0,0,3,2
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Ureterp, Geref. kerk Mounestrjitte",0086::SB15,9247 AM,1873,1502,1,1,232,370,72,218,92,52,15,368,40,11,4,2,0,0,2,16,0,0,6,2
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Ureterp, De Lijte",0086::SB16,9247 ES,1802,1455,1,1,185,461,79,180,114,53,12,276,50,16,3,0,0,0,2,16,1,0,2,5
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Wijnjewoude, MFC de Swingel",0086::SB17,9241 GL,1575,1160,2,0,196,344,92,200,98,64,24,77,21,18,1,5,0,0,1,12,0,0,4,3
Leeuwarden,Opsterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gorredijk, Ontmoetingskerk",0086::SB18,8401 BP,1468,1218,0,2,300,470,85,97,113,84,17,17,1,19,1,4,0,0,0,7,0,0,2,1
