contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Oss,0828::SB1,5341 GM,1358,1227,3,6,310,250,93,119,258,107,24,3,1,27,2,1,0,1,3,19,3,2,3,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ouderensocieteit Don Bosco,0828::SB2,5348 HL,1434,897,1,2,105,175,176,38,291,48,5,6,0,20,0,0,0,0,1,30,1,0,0,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkcentrum 't Hageltje,0828::SB3,5348 TB,2620,1460,1,1,227,347,292,55,384,70,10,4,3,19,3,4,0,0,0,36,2,0,1,3
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Basisschool De Nieuwe Link,0828::SB4,5348 AH,1849,1360,3,1,281,291,195,100,304,104,14,5,0,21,9,2,3,0,1,28,0,0,1,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Brabant Zorg, De Wellen",0828::SB5,5341 AL,1481,1078,5,4,240,219,133,97,244,62,20,15,4,9,3,3,0,1,2,24,0,1,0,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Horizonschool De Meteoor,0828::SB6,5346 RT,1710,1085,5,7,177,271,176,69,256,83,10,4,1,10,5,3,0,0,0,20,0,0,0,0
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Brabant Zorg, Katwijk",0828::SB7,5341 HB,1591,983,1,1,176,249,113,89,231,46,14,6,3,17,6,8,0,1,1,21,1,0,1,0
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurthuis Kortfoort,0828::SB8,5342 BH,1522,991,3,2,179,222,103,62,257,82,30,5,4,12,4,5,0,0,0,25,0,0,0,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Titus Brandsma Parochie,0828::SB9,5342 GC,1634,994,1,2,256,191,132,38,244,62,17,3,0,16,6,1,1,1,0,22,0,1,1,2
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau RK Basisschool Pius X,0828::SB10,5342 GH,1329,1112,1,3,399,183,99,100,172,94,16,5,4,13,4,0,0,0,0,22,0,0,0,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mondriaan-College,0828::SB11,5342 CN,1226,965,1,1,498,123,52,100,59,89,9,4,0,13,0,0,0,1,1,16,0,0,0,0
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Het Hooghuis, locatie Oss-West",0828::SB12,5343 VC,1363,853,5,5,120,216,83,52,273,60,10,4,1,13,6,3,0,0,0,11,0,0,0,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Brabant Zorg, Sterrebos",0828::SB13,5344 AR,1489,1033,6,9,179,229,130,91,259,56,7,5,3,20,4,2,0,0,0,46,0,0,1,1
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Montessori School Elzeneind,0828::SB14,5343 JA,1510,1044,0,2,183,265,127,57,287,58,18,6,3,9,6,2,0,0,0,18,0,0,5,0
's-Hertogenbosch,Oss,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 't Woud,0828::SB15,5343 XA,1179,732,2,2,103,225,74,38,192,41,15,8,0,10,4,2,0,1,0,17,0,0,1,1
