contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis,0584::SB1,3262 GM,1447,1284,2,6,272,271,123,114,99,85,21,62,184,18,6,1,0,0,2,23,0,1,1,1
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Kerkelijk Centrum ""Maranatha""",0584::SB2,3262 PG,1345,1085,1,1,234,178,102,72,86,47,4,61,256,11,2,2,1,1,0,23,0,0,5,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Egmontshof ingang rembrandtstraat,0584::SB3,3262 HD,1358,1073,3,3,246,191,115,112,81,77,10,59,135,21,2,1,0,0,1,17,2,1,2,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau de Lindenhoeve,0584::SB4,3262 JM,1171,851,1,0,285,112,52,57,49,64,12,51,135,16,1,2,0,0,0,15,0,0,0,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kantine voetbalver. Zinkwegse Boys,0584::SB5,3262 BH,364,300,0,0,121,40,26,19,16,17,7,20,25,3,0,0,0,3,0,3,0,0,0,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Vrijetijdscentrum De Boogerd,0584::SB6,3261 BG,1245,1097,1,1,309,219,97,105,64,49,14,73,123,20,4,3,0,0,0,14,1,1,1,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Voormalige dependance 'W.v.Oranje',0584::SB7,3261 CB,1020,602,1,4,124,118,83,52,26,24,9,36,111,7,0,1,0,0,0,10,0,0,1,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorglocatie 'Sabina' (Zoomhoek),0584::SB8,3263 RA,2121,1454,2,1,458,258,197,105,100,100,27,77,72,26,0,0,0,0,0,28,0,0,3,3
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Open Waard,0584::SB9,3262 DE,1885,1549,0,0,363,396,186,93,161,123,38,72,36,25,2,0,0,1,5,43,0,1,3,1
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Wijkgebouw ""Oosterse Gorzen""",0584::SB10,3261 EJ,1574,1181,1,3,342,235,143,73,115,85,19,50,44,35,6,7,0,0,0,25,0,0,1,1
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau de Rabobank,0584::SB11,3262 AP,1609,1338,5,6,511,253,127,83,78,76,16,71,75,18,5,6,0,0,0,16,0,0,1,2
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dienstencentrum Zuidwester,0584::SB12,3261 SJ,1333,1021,0,1,398,209,98,77,60,70,17,25,36,17,0,0,0,0,1,11,1,0,1,0
Dordrecht,Oud-Beijerland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bethelkerk,0584::SB13,3261 WB,1381,1230,2,1,498,225,121,72,58,103,15,42,57,20,2,2,0,0,0,14,1,0,0,0
