contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Zorgcentrum Maria M Postel, Kerkplein 3, Gendringen",1509::SB1,7081 BZ,1788,1344,2,0,338,366,120,185,198,65,17,12,0,19,3,0,1,1,0,16,0,0,3,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Sportzaal Prinsenhof, Prinsenhof 2A, Gendringen",1509::SB2,7081 DG,1751,1329,2,0,312,336,124,204,173,92,15,13,4,23,3,4,0,2,0,23,0,0,1,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau DRU Cultuurfabriek, Hutteweg 24, Ulft",1509::SB3,7071 BV,1674,1351,1,1,256,425,113,187,221,84,19,1,1,14,4,2,0,2,2,18,0,0,2,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau RK Basisschool Mariaschool, Neptunus 8, Ulft",1509::SB4,7071 VG,1621,1358,0,2,303,441,135,123,177,107,20,8,0,13,2,1,0,2,1,21,0,0,2,2
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Clubgebouw de Eendracht, Dr. Ariënsstraat 5A, Ulft",1509::SB5,7071 AH,1688,1084,2,4,208,375,120,107,158,38,18,10,3,17,2,3,0,0,1,23,0,1,0,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau RK Basisschool De Dobbelsteen, Hofstraat 23, Ulft",1509::SB6,7071 KA,1686,1296,3,3,276,435,144,113,180,74,11,4,0,13,1,0,0,0,0,40,0,2,3,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gildegebouw, Woldenburgseweg 1, Netterden",1509::SB7,7077 AG,368,318,2,1,90,49,31,80,25,21,4,1,0,11,2,0,0,0,0,4,0,0,0,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau De Glazeren Kast, Oudekerkstraat 2, Etten",1509::SB8,7075 AB,1484,1191,0,2,345,279,127,201,104,57,19,4,1,25,1,2,1,0,1,22,0,0,0,2
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapshuis, 't Dorpshuus, Hoofdstraat 29A, Varsselder",1509::SB9,7076 AG,590,470,0,0,131,106,34,107,54,20,3,0,0,2,2,0,0,0,0,10,0,0,1,0
Arnhem,Oude IJsselstreek,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Café-Restaurant Koenders, Terborgseweg 61, Breedenbroek",1509::SB10,7084 AB,794,614,0,0,164,91,29,191,54,36,12,16,1,4,1,2,0,0,0,13,0,0,0,0
