contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadhuis,0439::SB1,,1269,1286,4,2,451,330,100,95,92,106,20,7,4,36,6,3,2,1,2,28,0,1,1,1
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Avondzon,0439::SB2,,1327,1051,1,3,338,260,120,43,91,74,20,13,2,39,9,3,0,2,5,30,0,0,2,0
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bibliotheek Purmerend,0439::SB3,,2436,1687,5,6,437,504,203,68,202,105,29,20,7,35,9,4,0,0,0,56,1,0,7,0
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau De Zorgcirkel, locatie De Viervorst",0439::SB4,,1348,1039,0,2,271,281,157,73,107,46,19,4,3,25,2,1,0,0,4,43,1,0,2,0
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verzorgingshuis De Tien Gemeenten,0439::SB5,,1407,1089,2,6,341,288,112,74,88,75,18,7,5,26,1,2,2,2,2,39,0,0,4,3
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Oec.BS 't Prisma, locatie Overwhere",0439::SB6,,1831,1021,2,1,169,342,163,43,151,42,15,18,3,29,5,0,0,0,2,35,0,1,2,1
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Bets Frijlingschool,0439::SB7,,1310,820,3,4,208,238,120,42,95,38,12,8,5,18,1,1,2,0,1,27,0,1,3,0
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau De Zorgcirkel, locatie Overwhere",0439::SB8,,1264,1388,1,5,409,387,157,104,102,102,22,11,5,32,8,5,0,0,0,41,0,0,2,1
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Obs 't Carrousel,0439::SB9,,1291,621,1,1,172,161,84,26,71,44,11,6,2,15,7,0,0,0,3,19,0,0,0,0
Den Helder,Purmerend,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkcentrum De Inval,0439::SB10,,1767,1189,0,1,303,345,167,70,137,85,9,6,0,24,2,4,0,2,1,32,0,0,0,2
