contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ons Dorpshuis,0703::SB1,4416 BJ,1012,835,3,1,125,112,46,86,46,13,7,28,349,10,3,1,1,0,1,7,0,0,0,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Geref. Gemeente,0703::SB2,4416 BJ,1036,924,1,1,169,117,52,46,44,19,5,30,428,8,2,0,0,0,0,4,0,0,0,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Kaj Munk,0703::SB3,4417 AA,1251,927,3,6,187,264,179,58,118,28,11,17,7,20,3,0,0,0,2,25,0,2,5,1
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Waarde,0703::SB4,4414 AK,898,780,0,2,99,55,28,75,28,12,6,48,413,9,1,0,0,0,0,5,0,0,0,1
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kerkelijk centrum De Haven,0703::SB5,4401 EC,1194,1103,2,0,249,104,131,107,52,22,10,58,338,12,2,1,1,0,1,12,0,0,3,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Geref. gemeente,0703::SB7,4401 CB,1210,1022,1,3,199,72,95,77,32,15,1,49,466,5,2,1,1,0,0,6,0,0,0,1
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis De Meiboom,0703::SB8,4413 GB,1076,879,0,4,150,70,58,68,13,12,8,60,425,5,4,1,0,0,1,4,0,0,0,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Ter Weel,0703::SB9,4413 CN,1030,1039,0,3,121,109,82,111,38,20,3,81,457,4,1,0,0,0,0,11,1,0,0,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Luctor et Emergo,0703::SB10,4411 AN,1245,932,0,1,227,193,118,57,109,43,17,34,97,11,0,3,0,0,0,19,0,0,1,3
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Seniorencomplex Oostkilhoek,0703::SB11,4411 AC,926,636,4,0,141,125,75,58,73,24,10,29,85,5,2,0,0,0,0,7,0,0,0,2
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Camping Zon en Zee,0703::SB12,4401 KX,1110,626,1,0,145,77,85,48,42,11,3,18,184,3,1,1,0,0,1,5,0,0,1,1
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Moerzicht,0703::SB13,4401 HZ,1234,1022,1,2,229,109,90,121,55,16,2,60,322,8,1,0,0,0,0,9,0,0,0,0
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gebouw Bridgeclub Reimerswaal,0703::SB14,4416 BT,1170,791,0,1,180,142,70,77,44,20,6,27,200,11,2,0,0,0,0,11,0,0,0,1
Middelburg,Reimerswaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Gereformeerde Kerk,0703::SB15,4413 BK,1010,670,1,0,89,57,46,66,30,12,3,43,311,7,0,0,0,0,0,5,0,0,1,0
