contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis,0597::SB1,2981 EA,1050,1028,3,2,217,220,148,64,105,57,8,65,86,21,4,1,1,1,0,26,0,1,1,2
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau St. Jorisparochie,0597::SB2,2982 PE,1094,721,0,3,86,190,154,37,90,22,10,33,46,31,0,1,0,0,0,20,0,0,1,0
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Rehobothschool,0597::SB3,2985 AZ,1031,638,0,2,112,120,79,40,45,15,4,69,130,9,4,0,0,1,0,9,0,0,1,0
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wijkcentrum West,0597::SB4,2982 BC,1182,898,0,0,143,192,84,121,54,27,2,51,174,14,1,1,0,0,1,32,0,0,0,1
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dependance Farelcollege,0597::SB5,2982 CR,1205,816,3,1,130,201,123,60,67,28,9,41,106,21,1,3,0,0,1,25,0,0,0,0
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kerk De Levensbron,0597::SB6,2985 BV,1183,964,3,1,261,163,87,96,48,55,7,65,133,21,1,1,0,0,1,23,0,0,0,2
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS De Noord,0597::SB7,2985 XB,1422,989,0,0,164,264,155,65,98,54,11,43,68,24,5,3,1,1,1,29,0,0,2,1
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau CBS de Wingerd,0597::SB8,2985 BC,1649,1454,5,4,397,294,167,120,78,52,16,92,161,27,3,2,1,0,2,34,0,1,5,2
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau OBS De Reijer,0597::SB9,2983 SM,1637,1060,1,1,256,202,188,69,121,34,13,46,62,28,2,2,0,2,5,23,0,5,1,1
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau CBS De Driemaster,0597::SB10,2983 AL,981,744,0,0,155,158,101,60,48,33,10,74,69,17,4,1,0,0,0,12,0,1,1,0
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Muziekver. Harmonie Slikkerveer,0597::SB11,2983 CL,1177,936,0,3,258,188,105,77,77,36,14,75,62,21,0,1,0,0,2,20,0,0,0,0
Dordrecht,Ridderkerk,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Irenezaal,0597::SB12,2983 GV,1364,1208,1,2,368,177,137,86,99,53,15,85,114,31,3,1,0,2,3,31,0,0,1,2
