contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stadskantoor,1674::SB1,4700 KA,1112,1150,1,4,415,196,131,107,115,95,14,5,0,23,3,5,4,1,0,26,1,1,4,4
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Centrum voor de Kunsten, muziek",1674::SB2,4701 EK,1759,1100,3,1,393,207,138,86,113,76,20,2,0,24,2,3,3,0,1,21,0,2,8,1
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurthuis Keijenburg,1674::SB3,4702 CG,1550,1090,4,1,242,275,164,85,163,73,14,6,1,18,3,5,5,0,1,32,0,0,1,2
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Recreatiezaal Mimosa-flat,1674::SB4,4702 BR,1662,965,3,0,256,216,129,103,114,62,19,9,3,13,1,4,0,0,0,35,0,0,1,0
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurthuis Fatima,1674::SB5,4702 GZ,1494,979,2,6,210,302,145,68,113,64,11,4,3,19,3,1,3,1,2,28,0,0,0,2
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wiekendael,1674::SB6,4702 ZB,1402,871,1,5,233,205,177,55,98,42,14,6,1,15,2,0,3,0,1,16,0,0,2,1
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Buurthuis Kalsdonk,1674::SB7,4702 NS,1916,1267,0,7,213,445,257,53,172,60,18,3,1,16,5,0,1,0,1,17,0,2,2,1
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Buurthuis,Kalsdonk",1674::SB8,4702 NS,1729,1054,0,7,207,384,191,52,132,40,7,2,0,9,3,2,0,0,0,22,0,0,2,1
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau St Elisabeth ingang Wouwseweg 21,1674::SB9,4703 AK,1525,1043,2,2,251,203,166,160,130,57,17,8,3,21,2,1,4,0,0,19,0,0,0,1
Tilburg,Roosendaal,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Recreatiezaal Burg Freijterslaan,1674::SB10,4703 EX,1517,809,0,2,161,229,144,60,127,19,9,4,0,20,1,4,1,0,0,27,0,0,1,2
