contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw Pro Rege,1714::SB1,4501,1774,1104,0,6,275,257,122,138,142,62,11,36,9,15,4,1,0,1,1,20,3,0,5,2
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sociaal Cultureel Centrum Den Hoekzak,1714::SB2,4501,1863,1480,0,3,395,382,143,193,188,74,18,18,11,19,0,3,0,0,2,20,0,1,12,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneelgebouw Zuidzande,1714::SB3,4505,439,326,0,0,113,63,28,44,46,10,10,4,0,4,1,0,0,0,0,2,0,0,1,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Verenigingsgebouw 't Zwin,1714::SB4,4506,593,707,1,0,282,147,53,63,52,49,13,7,4,12,2,0,0,1,1,16,2,1,1,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Nieuwvliet,1714::SB5,4504,344,383,0,1,151,86,17,24,23,31,18,15,5,6,0,2,0,0,0,5,0,0,0,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneelcentrum 't Torentje,1714::SB6,4503,817,644,0,2,171,152,81,56,74,48,7,12,4,14,0,2,1,2,0,13,1,0,5,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Brandweerkazerne,1714::SB7,4511,1999,1268,1,0,415,327,217,57,122,38,8,24,6,17,4,2,0,0,2,22,4,0,2,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hooge Platen,1714::SB8,4511,1826,1422,3,1,404,396,186,118,159,50,14,16,7,24,2,2,0,2,1,28,7,0,5,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Hoofdplaat,1714::SB9,4513,605,392,1,0,103,79,76,40,47,17,2,5,6,6,0,0,0,0,1,8,0,0,0,2
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgsaam Emmaus,1714::SB10,4515,1830,1374,2,5,449,306,152,174,123,56,18,17,14,19,4,1,1,0,0,20,7,0,11,2
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hoofdingang Prot. Kerk,1714::SB11,4507,1129,789,4,0,169,215,104,75,80,30,28,20,23,20,2,2,1,0,1,16,2,0,1,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Waterlandkerkje,1714::SB12,4508,428,335,0,0,104,83,34,34,24,12,8,4,15,13,0,0,1,0,0,3,0,0,0,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Aardenburg,1714::SB13,4527,1712,1231,4,0,397,297,119,137,141,51,21,15,5,15,1,3,0,0,2,22,2,1,2,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Sint Kruis,1714::SB14,4528,236,187,0,0,89,20,10,41,9,7,0,0,3,0,0,0,0,0,0,7,1,0,0,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Eede,1714::SB15,4529,525,365,0,1,131,45,58,70,22,12,6,10,1,4,0,0,0,0,0,6,0,0,0,0
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Multifunctioneelcentrum De Keure,1714::SB16,4524,1645,1190,1,2,502,251,129,124,78,46,13,3,0,19,2,0,0,0,0,21,1,0,0,1
Middelburg,Sluis,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Retranchement,1714::SB17,4527,259,281,1,1,101,62,17,41,20,24,5,2,1,1,1,0,0,0,0,6,0,0,0,0
