contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Ver.gebouw ""de Wingerd""",0716::SB1,4691BP,1299,1064,2,0,259,144,106,78,94,38,17,93,204,18,2,0,0,0,0,9,0,0,1,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dalemhof,0716::SB2,4691ZC,1271,1130,2,3,247,207,101,105,87,25,9,81,233,16,0,1,0,0,2,15,1,0,0,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapscentrum ""Meulvliet""",0716::SB3,4691HT,1428,1098,2,1,206,164,103,96,98,33,7,103,250,12,1,2,0,0,2,20,0,0,0,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zalencentrum Ger.Gemeente,0716::SB4,4691DS,1639,1236,1,1,312,149,96,113,78,34,7,100,305,22,2,1,0,0,0,17,0,0,0,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis 't Ouwe Raed' uus,0716::SB5,4693BV,1264,923,0,0,180,131,99,86,82,19,7,56,230,12,2,1,0,0,1,14,1,0,2,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Holland Huis,0716::SB6,4694BR,1246,992,0,2,116,164,81,57,63,13,4,36,424,20,0,1,0,0,1,9,1,0,0,2
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapscentrum ""Haestinge""",0716::SB7,4695BA,1528,1089,1,4,239,240,166,65,113,32,4,25,157,16,5,0,4,1,2,19,0,0,0,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum Maartenshof,0716::SB8,4695HV,1185,851,0,0,124,207,143,44,77,24,5,44,135,24,1,0,0,0,3,16,0,0,2,2
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis de Stove,0716::SB9,4696BK,1260,984,1,1,132,139,106,53,44,15,4,40,426,11,1,0,0,0,3,8,1,0,0,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Zorgcentrum de Schutse,0716::SB10,4697GM,1276,965,0,3,190,157,108,75,67,24,9,54,250,12,2,0,1,1,1,12,0,0,2,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gemeenschapscentrum ""Wellevaete""",0716::SB11,4697BJ,1535,1204,2,1,243,233,124,93,86,26,3,87,276,11,7,2,0,0,0,12,1,0,0,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Dorpshuis ""De Vossenkuil""",0716::SB12,4698AM,1010,797,0,0,199,181,105,84,74,16,5,30,77,12,2,0,0,0,1,10,0,0,0,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Ver.Gebouw Ger.Gemeente in Ned.,0716::SB13,4698CJ,1018,679,0,0,167,130,81,61,52,28,3,49,80,8,0,1,0,0,0,18,0,0,0,1
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis De Wimpel,0716::SB14,4675CS,1677,1356,0,5,272,142,162,98,78,26,2,69,467,21,2,2,0,0,0,14,0,0,1,0
Middelburg,Tholen,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Ons Dorpshuis,0716::SB15,4675RJ,329,265,0,0,66,38,41,41,22,6,2,15,22,6,0,2,0,0,0,3,0,0,1,0
