contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentekantoor,1581::SB1,3971 XA,1598,1359,0,3,433,284,77,123,72,136,66,23,60,41,2,9,0,2,0,30,0,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stichting Welnuh,1581::SB2,3971 HK,1497,1334,3,3,536,239,74,96,52,161,43,30,36,34,5,2,0,1,1,24,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sparrenheide,1581::SB3,3971 DA,1628,1365,0,1,502,239,57,121,45,206,54,49,38,28,3,3,0,0,0,16,2,0,2,0
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Beukenstein,1581::SB4,3971 KB,1447,1237,3,6,302,253,61,136,81,183,63,41,34,44,1,7,0,0,3,26,0,0,1,1
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Beukenhorst,1581::SB5,3972 HA,1569,1239,1,2,362,241,62,116,78,144,64,38,76,30,2,8,0,0,0,17,0,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Immanuelkerk,1581::SB6,3972 JH,1401,943,1,8,220,276,61,63,72,87,54,43,19,23,1,5,0,0,0,12,1,0,4,2
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau C.B.S. ""De Uilenburcht""",1581::SB7,3972 XD,1418,1312,3,3,401,310,73,101,75,161,47,45,30,30,4,4,0,0,0,25,1,0,3,2
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau Gereformeerde Kerk ""de Bron""",1581::SB8,3972 DC,1543,1192,0,4,403,274,73,108,52,106,55,40,23,28,4,3,0,1,0,19,1,0,0,2
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau 't Hoge Licht,1581::SB9,3972 PX,1849,1490,2,4,383,371,109,109,124,150,70,67,23,43,1,4,0,0,2,30,0,0,4,0
Utrecht,Utrechtse Heuvelrug,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Kapel,1581::SB10,3951 AB,1248,1036,2,2,392,179,59,104,61,116,32,17,32,31,0,6,0,0,1,5,0,0,0,1
