contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Winsum,0053::SB1,9951 AC,783,571,2,1,97,182,19,102,47,25,15,53,8,5,1,2,0,0,0,12,0,1,2,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Winkheem,0053::SB2,9951 BG,833,639,0,2,105,194,20,127,54,33,13,68,3,12,1,1,0,0,1,5,0,0,2,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sportschool Veldwijk,0053::SB3,9951 TD,1144,1077,1,5,203,358,42,115,90,82,30,115,9,16,0,1,1,2,0,13,0,0,0,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Agricola,0053::SB4,9953 PH,890,880,1,1,189,274,42,99,102,36,20,78,8,19,0,5,0,0,0,7,0,0,0,1
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Wessel Gansfortcollege,0053::SB5,9951 HX,1036,901,1,0,113,312,39,85,97,53,19,130,14,19,3,2,1,0,0,11,0,0,1,2
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Hoogte Zalenverhuur,0053::SB6,9951 EP,859,755,4,1,102,333,36,54,86,36,18,61,3,9,4,2,0,0,0,10,0,0,0,1
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Sporthal Ripperdahal,0053::SB7,9951 JH,1018,743,0,0,73,318,42,72,82,51,25,48,6,11,2,1,1,0,2,6,0,2,0,1
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau ""Op Streek""",0053::SB8,9956 PN,439,355,0,0,62,132,27,13,52,18,12,2,6,18,4,4,0,0,0,5,0,0,0,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Dorpshuis Schleurholtshuus,0053::SB9,9891 AC,934,681,0,0,116,231,33,83,92,44,32,21,1,19,3,1,0,0,0,5,0,0,0,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Viskenij Wooncentrum,0053::SB10,9953 PH,852,522,0,0,50,164,51,98,67,19,7,50,2,8,0,0,0,0,0,6,0,0,0,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Kromme Akkers,0053::SB11,9893 PD,373,322,0,2,55,130,11,13,26,26,23,8,3,16,2,4,0,0,0,2,0,0,3,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau ""Ubbegaheem""",0053::SB12,9771 BB,965,831,0,0,99,209,39,150,87,38,33,133,13,14,3,1,0,0,0,11,0,0,0,1
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,"Stembureau ""Artharpe""",0053::SB13,9774 PH,510,435,1,1,88,173,17,34,38,29,25,11,3,8,1,0,0,1,0,6,0,0,1,0
Groningen,Winsum,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Stembureau_14,0053::SB14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
