contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Piratenpartij,Partij voor Mens en Spirit (MenS),Nederland Lokaal,Libertarische Partij (LP),Democratisch Politiek Keerpunt DPK,50PLUS,Liberaal Democratische Partij (LibDem),Anti Europa Partij,SOPN,Partij van de Toekomst (PvdT)
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1536,1094,2,4,249,185,90,138,77,34,10,220,58,10,0,7,0,0,0,13,1,0,1,1
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Teeuwland,1896::SB2,8061 JR,1426,1079,0,2,161,210,68,149,79,37,14,238,80,9,1,2,0,0,2,26,0,0,0,3
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Baak,1896::SB3,8061 DA,1081,1000,1,2,118,192,62,108,94,38,7,298,59,5,1,0,0,0,1,14,0,0,1,2
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Gemeentehuis Hasselt,1896::SB4,8061 CB,1156,1045,2,5,233,184,46,127,72,46,12,223,74,6,3,1,0,0,3,14,0,0,0,1
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Voormalig Gemeentehuis Genemuiden,1896::SB5,8281 EV,1363,1133,5,1,205,121,90,88,43,17,8,140,408,3,3,0,0,0,1,6,0,0,0,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Schakel,1896::SB6,8281 AB,1737,926,0,4,119,96,47,105,28,13,2,137,370,4,1,0,0,0,1,3,0,0,0,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Driester,1896::SB7,8281 PG,558,487,0,2,92,12,11,100,11,4,0,100,149,0,4,0,0,0,0,3,0,0,1,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Meente,1896::SB8,8281 DG,1742,1196,1,5,131,141,66,127,40,15,2,185,471,7,1,0,0,0,0,9,0,0,0,1
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Eben Haëzerschool,1896::SB9,8281 EK,1659,1331,0,1,210,105,66,95,20,14,2,190,622,1,1,0,0,0,0,4,0,0,0,1
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Arembergschool,1896::SB10,8064 CD,1252,946,0,2,289,184,54,153,54,44,5,100,26,11,2,1,0,0,0,23,0,0,0,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau De Schans,1896::SB11,8064 DC,1098,928,0,2,190,207,66,186,72,30,9,127,15,6,0,0,0,1,0,18,0,0,0,1
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Hotel Zwartewater,1896::SB12,8064 PC,1214,872,0,0,192,172,82,137,62,29,9,114,48,8,1,2,0,0,1,13,2,0,0,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mobiel De Schakel,1896::SB13,8281 AB,0,441,1,0,51,46,31,48,17,6,0,78,156,1,3,0,0,0,0,3,0,0,1,0
Zwolle,Zwartewaterland,TK2012,Tweede Kamer der Staten-Generaal 2012,,,2012-09-12,Stembureau Mobiel De Meente,1896::SB14,8281 DG,0,354,0,2,26,46,38,23,17,0,0,50,150,1,1,0,0,0,0,0,0,0,1,1
