contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Oude Stadhuis,0307::SB1,,989,1450,4,1,0,0,20,1331,106,0,2,0,2,0,0,1457,281,82,70,89,103,305,68,272,5,87,14,0,3,33,2,21,1,1,0,7,2,0,2,1,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ichthuskerk,0307::SB2,,1233,802,0,1,0,5,10,727,71,0,0,0,5,0,0,808,191,32,51,39,85,156,26,132,2,45,5,0,1,4,0,19,1,0,1,4,1,1,2,0,1,3
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Gerfkamer,0307::SB3,,1218,1218,3,2,0,0,8,1131,84,0,0,0,0,0,0,1223,238,85,36,51,76,257,40,303,6,75,18,1,0,3,1,17,0,0,1,7,2,0,1,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Armen de Poth,0307::SB4,,1297,1051,4,6,0,1,8,976,76,0,0,1,0,0,0,1060,182,56,93,74,56,174,53,219,8,76,21,1,2,8,0,12,0,1,3,9,1,0,1,1,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schoolgebouw De Vlindervallei,0307::SB5,,1319,1269,4,5,0,3,1,1272,2,0,0,3,0,0,0,1275,138,91,115,94,56,167,66,163,20,53,28,0,2,254,0,14,1,0,0,5,0,0,0,0,0,2
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Adventkerk,0307::SB6,,1505,943,0,9,0,0,4,870,78,0,0,0,0,0,0,952,122,55,116,68,73,111,48,100,10,36,22,3,1,152,0,12,0,1,0,4,3,1,3,1,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Schaapskooi,0307::SB7,,1393,840,1,11,0,0,1,776,75,0,0,0,0,0,0,852,85,45,81,85,61,78,50,87,7,36,19,2,1,185,1,9,1,0,0,3,2,0,1,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schoolgebouw De Tinne,0307::SB8,,1197,873,3,3,0,0,0,781,98,0,0,0,0,0,0,879,99,38,81,42,54,106,78,118,13,22,14,0,6,179,1,18,0,0,0,3,0,0,1,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bron 1,0307::SB9,,1272,876,3,0,0,0,1,878,0,0,0,0,0,0,0,879,99,50,104,68,79,99,69,104,21,26,18,0,2,123,2,8,0,0,0,3,0,0,0,1,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bron 2,0307::SB10,,1250,1159,1,4,0,0,3,1109,52,0,0,0,0,0,0,1164,160,48,147,113,90,139,86,124,11,34,31,1,7,130,1,11,1,2,2,14,6,0,0,1,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon- en zorgcentrum De Liendert,0307::SB11,,1361,943,1,6,0,0,2,862,86,0,0,0,0,0,0,950,102,45,120,103,81,102,57,102,4,29,37,0,2,134,1,9,0,0,2,4,5,2,0,1,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Rustenburg,0307::SB12,,1129,903,2,3,0,0,2,836,70,0,0,0,0,0,0,908,126,46,105,94,50,116,58,129,6,24,38,0,5,89,1,10,0,0,0,5,1,0,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Burgemeester Molendijkflat,0307::SB13,,1346,1122,1,3,0,2,1,1033,94,0,0,0,2,0,0,1128,245,77,120,81,159,117,137,78,16,24,46,0,2,2,0,12,0,0,2,1,1,1,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Schuilenburg,0307::SB14,,903,628,2,6,0,0,6,568,62,0,0,0,0,0,0,636,75,26,49,43,41,80,41,69,8,15,11,2,2,157,0,3,0,0,0,3,2,0,1,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau ABC School Het Scala,0307::SB15,,1184,886,1,8,0,0,2,808,85,0,0,0,0,0,0,895,94,35,80,60,72,84,57,104,11,41,16,0,1,216,0,6,0,1,0,5,2,1,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Schuilenburght,0307::SB16,,967,814,1,2,0,0,1,755,61,0,0,0,0,0,0,817,213,39,46,42,153,108,60,79,14,20,19,0,0,11,1,7,1,0,0,1,0,0,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Prins Willem III-flat,0307::SB17,,1479,1071,5,1,0,0,1,997,79,0,0,0,0,0,0,1077,156,83,106,110,69,150,56,147,13,61,17,2,8,65,2,18,0,0,0,2,3,2,0,0,1,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kerkgebouw De Kandelaar,0307::SB18,,1145,909,3,0,0,0,4,823,85,0,0,0,0,0,0,912,169,60,38,51,87,162,129,117,16,35,11,1,2,11,1,13,0,1,1,1,0,2,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon- en zorgcentrum Nijenstede,0307::SB19,,1487,1040,1,9,0,0,3,977,71,0,1,0,1,0,0,1051,123,70,80,98,123,161,95,133,14,52,18,0,1,43,2,12,2,1,0,8,1,1,0,1,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Het Klokhuis,0307::SB20,,1457,1292,1,12,0,0,2,784,519,0,0,0,0,0,0,1305,184,82,109,109,108,169,104,156,18,38,33,0,6,127,2,24,2,0,1,9,5,3,0,2,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sportfondsenbad,0307::SB21,,1604,1346,2,1,0,0,14,1227,108,0,0,0,0,0,0,1349,252,109,69,71,74,277,74,282,10,70,13,0,4,8,2,24,0,0,1,4,1,0,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schoolgebouw Guido de Brès,0307::SB22,,1522,1418,1,2,0,2,1,1281,141,0,0,0,2,0,0,1423,242,115,54,79,120,322,83,285,17,55,10,3,6,12,2,8,0,0,1,3,0,1,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Corderiuscollege,0307::SB23,,1268,952,2,9,0,0,6,851,107,0,1,0,1,0,0,964,201,77,47,54,89,153,77,105,38,29,14,1,0,54,2,7,0,0,0,3,1,0,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Seniorenflat Otto Scheltus,0307::SB24,,1084,765,0,2,0,0,4,693,70,0,0,0,0,0,0,767,182,56,55,50,66,167,27,100,4,19,9,1,1,6,2,13,1,0,2,1,2,0,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Martuskerk,0307::SB25,,1603,1261,0,0,0,0,6,1123,132,0,0,0,0,0,0,1261,204,76,115,94,62,214,101,228,13,72,35,2,2,14,3,18,0,0,0,6,1,0,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon- en zorgcentrum De Amerhorst,0307::SB26,,1410,1160,0,10,0,1,5,1058,108,0,0,0,1,0,0,1171,188,88,73,52,114,198,89,167,37,62,21,0,1,43,1,15,0,3,0,5,2,0,0,0,0,1
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Fonteinkerk,0307::SB27,,1333,1066,0,2,0,0,7,979,82,0,0,0,0,0,0,1068,286,70,45,23,108,215,77,147,20,41,10,0,5,3,1,13,0,0,0,1,1,0,0,0,0,0
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Juliana van Stolberg,0307::SB28,,1427,1381,1,4,0,0,4,1290,83,0,0,9,0,9,0,1377,207,77,125,146,99,209,66,270,13,70,37,1,0,28,1,19,0,1,1,4,2,1,1,1,0,2
Utrecht,Amersfoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau St. Ansfriduskerk,0307::SB29,,1332,1133,0,0,0,0,5,1015,113,0,0,0,0,0,0,1133,228,95,56,49,88,261,58,193,19,53,17,0,0,2,0,8,0,0,1,1,1,2,0,0,0,1
