contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Groesbeek,1945::SB1,6562 AH,1095,1345,3,2,0,0,59,1171,120,0,0,0,0,0,0,1350,322,68,171,190,202,120,15,130,4,46,40,1,3,2,1,18,1,1,0,6,0,2,2,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Meent,1945::SB2,6562 CZ,1071,977,2,4,0,0,5,903,76,0,0,0,1,0,0,984,173,69,137,188,122,96,3,87,0,28,44,3,2,1,0,17,1,0,0,2,1,1,0,1,1,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Kloostertuin, Stationsweg 9",1945::SB3,6561 BZ,1287,818,2,1,0,0,2,748,71,0,0,0,0,0,0,821,135,41,191,153,123,51,3,53,0,19,33,2,1,0,1,9,0,0,0,0,1,0,0,1,0,1
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Cultureel Centrum De Mallemolen,1945::SB5,6562 AT,908,765,1,4,0,0,11,691,68,0,0,0,0,0,0,770,123,42,142,159,109,65,9,54,0,16,23,3,3,0,0,13,0,0,0,3,1,0,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Heuvelland,1945::SB6,6562 AV,1344,1175,2,3,0,0,6,1066,108,0,0,0,0,0,0,1180,271,63,215,179,131,127,5,79,0,31,44,0,4,1,1,19,0,1,0,2,0,0,0,1,0,1
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Clubgebouw 'De Treffers',1945::SB7,6562 KW,1560,1287,2,5,0,0,1,1171,122,0,0,0,0,0,0,1294,237,66,233,272,160,116,7,94,1,36,32,1,0,1,2,20,0,1,0,6,0,1,0,1,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis 'De Slenk',1945::SB8,6562 LK,1021,933,1,1,0,0,11,839,85,0,0,0,0,0,0,935,208,38,159,121,190,75,5,75,0,19,27,1,3,1,2,8,0,0,1,0,0,0,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zalencentrum De Sleutel,1945::SB9,6562 DC,2028,1638,3,7,0,0,13,1461,174,0,0,0,0,0,0,1648,274,73,368,317,247,119,7,119,5,34,49,0,4,3,0,15,0,0,0,3,1,0,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vijverhof,1945::SB10,6523 MP,1018,880,1,0,0,0,8,800,73,0,0,0,0,0,0,881,146,74,61,88,90,151,14,165,2,43,18,2,2,2,2,14,1,0,0,4,0,1,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Kerstendal,1945::SB11,6571 BM,999,775,0,0,0,0,15,693,67,0,0,0,0,0,0,775,212,46,52,72,95,107,9,97,0,47,16,1,2,1,0,13,0,0,0,3,1,0,0,1,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Zaaltje,1945::SB12,6564 AH,800,640,1,0,0,0,8,580,53,0,0,0,0,0,0,641,171,38,20,29,69,139,21,106,4,24,9,1,1,0,0,5,0,0,1,0,0,0,0,2,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Pluryn,1945::SB14,6561 DC,1092,842,0,1,0,0,7,768,68,0,0,0,0,0,0,843,192,50,124,108,131,94,9,66,3,36,17,0,1,0,0,9,1,0,0,1,0,0,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Voorzieningenhart Op de Heuvel,1945::SB15,6561 VX,1904,1341,4,2,0,0,2,1183,162,0,0,0,0,0,0,1347,196,69,452,250,104,71,4,76,1,43,47,2,5,3,0,12,0,0,0,3,0,0,0,1,2,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Sporthal De Duffelt, Gengske 10",1945::SB16,6566 WB,1203,996,1,1,0,0,21,897,80,0,0,0,0,0,0,998,206,56,166,170,126,117,5,72,0,23,27,3,3,2,1,12,1,1,0,2,0,2,0,0,1,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Hotel Millings Centrum, Heerbaan 186",1945::SB17,6566 EW,1118,1012,1,0,0,0,22,882,109,0,0,0,0,0,0,1013,170,78,162,184,96,121,6,97,2,25,43,1,1,3,1,18,0,1,0,0,2,0,0,1,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau St. Ceciliagebouw, Weth Arntzstraat 1",1945::SB18,6566 ZG,1178,917,1,0,0,0,3,822,93,0,0,0,0,0,0,918,153,50,155,182,102,92,4,79,2,36,28,0,6,6,1,13,2,0,0,5,0,1,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Gasthuis St Jan de Deo, Willibrordstraat 1",1945::SB19,6566 DD,1126,878,0,2,0,0,8,799,73,0,0,0,0,0,0,880,180,58,120,131,141,102,4,61,2,18,36,1,6,2,0,12,0,0,1,1,0,0,0,2,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Ubburch,1945::SB20,6574 AJ,395,365,0,0,0,0,5,327,33,0,0,0,0,0,0,365,65,26,17,23,21,64,1,97,1,38,2,0,1,0,0,5,0,0,1,0,1,1,1,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum 't Höfke,1945::SB21,6573 BV,1562,1281,1,1,0,0,29,1132,122,0,0,0,0,0,0,1283,346,82,62,96,155,208,14,181,3,59,40,0,3,1,1,17,1,1,2,6,2,1,0,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kulturhus Beek,1945::SB22,6573 BH,1306,1279,0,3,0,0,38,1144,100,0,0,0,0,0,0,1282,225,63,131,145,142,214,10,188,1,83,42,3,3,3,0,17,2,0,0,4,2,0,1,0,0,0
Nijmegen,Berg en Dal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau De Sprong, Pr. Bernhardstraat 3, Ooij",1945::SB23,6576 BB,2060,1810,2,1,0,0,14,1641,158,0,0,0,0,0,0,1813,359,125,239,215,254,208,11,213,5,67,63,1,3,4,3,27,1,0,0,5,2,1,0,3,1,0
