contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0384::SB1,1111 ZB,2040,2115,2,20,0,4,12,1959,170,0,0,0,4,0,0,2141,375,142,255,143,115,293,29,408,1,102,77,2,10,73,4,38,0,1,2,11,32,1,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1192,1043,4,4,0,0,0,972,79,0,0,0,0,0,0,1051,221,99,112,66,64,156,17,164,0,37,40,3,5,12,1,18,0,0,1,11,12,3,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1196,884,1,6,0,0,0,829,62,0,0,0,0,0,0,891,171,78,104,70,67,119,16,116,1,53,36,0,7,17,2,17,1,0,1,5,2,0,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,1834,1294,8,10,0,0,3,1219,90,0,0,0,0,0,0,1312,216,96,189,101,83,180,18,209,1,61,51,2,4,35,3,15,0,0,1,11,14,1,3
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Diemen,0384::SB6,1111 ET,1781,1336,0,4,0,0,6,1211,123,0,0,0,0,0,0,1340,313,119,139,71,66,232,12,194,1,69,39,0,6,34,0,12,0,1,1,7,17,1,2
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brede School Noorderbreedte,0384::SB7,1111 WD,1772,1409,1,1,0,2,3,1266,144,0,0,0,2,0,0,1413,347,116,145,79,87,235,18,187,1,52,54,0,7,25,2,29,2,0,0,9,12,1,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Noord zaal 1,0384::SB8,1113 HM,1732,1365,1,11,0,1,1,1258,119,0,0,0,1,0,0,1378,350,118,193,98,87,167,16,139,1,29,58,1,11,21,2,43,1,0,2,8,18,0,2
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Noord zaal 2,0384::SB9,1113 HM,1689,1257,0,0,0,2,0,1153,106,0,0,0,2,0,0,1259,356,108,147,80,97,157,16,131,0,48,50,0,2,19,3,24,1,1,0,1,16,0,0
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1303,977,2,9,1,0,3,903,81,0,0,1,0,0,0,987,152,94,111,97,68,113,23,106,4,44,68,0,6,31,0,18,0,0,1,2,38,1,0
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Sportcentrum Duran, zaal 1",0384::SB11,1112 BE,1072,979,3,4,0,0,1,889,96,0,0,0,0,0,0,986,173,105,126,101,55,90,27,135,0,32,39,1,6,40,4,12,0,0,1,11,18,1,2
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Sportcentrum Duran, zaal 2",0384::SB12,1112 BE,1066,905,2,4,0,2,1,852,56,0,0,2,0,0,0,909,132,97,127,75,46,123,23,125,2,38,29,1,3,21,0,19,1,2,2,9,26,3,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Grand café Berlin (Campus Diemen),0384::SB13,1112 XC,1481,1113,3,5,1,0,7,1064,49,0,0,1,0,0,0,1120,143,51,59,92,45,244,28,265,1,60,11,1,0,20,0,35,0,0,3,16,37,1,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Keet Boschplaat,0384::SB14,1112 KA,650,541,0,1,0,0,2,493,47,0,0,0,0,0,0,542,110,36,86,43,38,98,12,54,1,23,20,0,2,2,0,9,0,0,0,2,4,0,1
Haarlem,Diemen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Global dance center,0384::SB16,1112 XC,1155,407,4,1,0,0,3,379,32,0,2,0,2,0,0,414,53,36,33,32,14,60,14,80,2,30,19,0,2,2,0,8,0,0,0,4,16,2,0
