contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Agnietenkapel,0513::SB101,,2044,1490,7,3,0,2,20,1348,134,0,0,0,2,0,0,1502,254,117,114,102,81,291,65,226,27,109,25,2,5,25,1,28,1,0,6,5,1,3,1,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymzaal Herpstraat,0513::SB102,,2646,1649,2,3,0,6,5,1521,134,0,0,0,6,0,0,1660,389,127,126,100,80,292,73,220,26,100,30,0,8,25,3,28,0,1,4,14,1,1,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Agnietenkapel (ingang rechts),0513::SB103,,0,1134,4,3,0,1,4,1068,68,0,0,1,0,0,0,1140,189,68,86,95,82,221,54,175,19,52,13,2,5,21,7,31,0,0,2,11,0,0,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Gouwestein,0513::SB104,,1464,1074,2,2,0,1,6,891,182,0,0,0,1,0,0,1079,202,55,81,30,99,146,71,114,168,19,22,1,6,35,1,19,1,0,0,4,0,0,0,0,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Jan Ligthartcentrum,0513::SB201,,2050,1322,1,17,0,0,2,1152,186,0,0,0,0,0,0,1340,108,91,244,123,65,117,58,136,41,37,32,6,13,210,1,27,1,1,1,4,0,0,2,3,1
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RK Basisschool de Goudakker,0513::SB204,,1851,1332,6,8,0,2,1,1202,145,0,0,0,2,0,0,1348,160,54,271,158,109,118,104,104,61,40,58,0,10,35,3,27,0,1,0,10,2,2,0,4,1
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymzaal Korte Akkeren,0513::SB206,,1633,1011,3,1,0,0,1,933,81,0,0,0,0,0,0,1015,166,55,260,101,67,93,37,68,28,39,38,1,8,23,0,15,1,0,1,4,0,1,1,4,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Kas,0513::SB207,,1635,1504,9,4,0,0,1,1348,168,0,0,0,0,0,0,1517,187,69,395,128,113,129,52,135,61,34,53,2,10,89,3,33,0,0,1,7,1,0,0,1,1
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Ronssehof,0513::SB301,,1447,1138,4,3,0,0,1,1080,64,0,0,0,0,0,0,1145,245,68,137,87,191,125,56,73,48,30,44,0,3,9,2,16,0,0,0,2,2,0,0,0,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymzaal Columbuslaan,0513::SB302,,1827,1508,1,4,0,0,4,1338,171,0,0,0,0,0,0,1513,258,95,115,102,167,189,138,134,120,62,40,1,1,54,1,22,1,0,0,4,1,2,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Groenhovenbad,0513::SB303,,1996,1621,2,4,0,8,7,1484,144,0,0,0,8,0,0,1635,367,122,177,70,189,240,89,138,58,58,37,1,3,14,9,32,1,1,0,12,0,0,0,3,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymnastiekzaal Coniferensingel,0513::SB304,,1680,1478,0,2,0,0,3,1369,108,0,0,0,0,0,0,1480,203,94,200,120,173,176,79,147,49,61,55,1,14,67,1,30,1,0,0,3,3,0,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huis van de Stad,0513::SB305,,734,1596,2,2,0,1,16,1459,124,0,0,1,0,0,0,1599,238,92,92,83,138,280,135,197,156,69,25,1,3,32,4,38,1,0,0,7,1,3,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Groene Hart Ziekenhuis (hoofdingang),0513::SB306,,440,686,1,2,0,0,16,618,55,0,0,0,0,0,0,689,130,49,81,41,88,86,51,66,25,14,20,0,1,20,0,9,0,0,0,4,1,0,0,0,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dienstencentrum Prinsenhof,0513::SB403,,2082,1442,3,4,0,2,3,1309,139,0,0,0,2,0,0,1451,225,107,178,96,213,180,110,136,53,38,45,2,5,21,2,20,0,0,1,7,0,1,0,2,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool het Vlot (Schateiland),0513::SB405,,1897,1504,2,4,0,0,3,1395,112,0,0,0,0,0,0,1510,208,112,227,143,134,224,62,170,11,71,45,6,4,41,1,36,0,1,0,5,2,1,0,0,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Cirkel,0513::SB406,,1734,1264,5,9,0,5,1,1173,109,0,0,0,5,0,0,1283,157,77,189,131,124,145,66,136,32,42,46,2,5,78,2,18,1,0,1,6,0,0,0,4,2
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gereformeerde kerk vrijgemaakt,0513::SB407,,1957,1895,3,4,0,0,8,1738,156,0,0,0,0,0,0,1902,314,141,213,159,222,186,138,200,61,66,80,1,3,57,6,35,2,1,0,9,1,0,0,0,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau GZV Watergras,0513::SB408,,1941,1698,3,3,0,3,1,1544,162,0,0,0,3,0,0,1707,437,115,156,75,225,271,93,155,39,41,32,1,9,18,3,19,1,0,1,5,1,0,0,1,0
Leiden,Gouda,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bühne,0513::SB501,,1338,912,0,1,0,1,2,812,100,0,0,0,1,0,0,914,149,58,103,69,80,89,55,72,94,28,17,0,4,68,2,14,0,0,2,2,3,2,0,0,1
