contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hanzeheerd Brinkhoven,0246::SB1,8181 DB,998,1104,2,1,0,0,2,1009,96,0,0,0,0,0,0,1107,188,66,120,86,297,74,123,36,40,23,37,0,3,0,1,6,0,0,0,3,0,1,0,0,0,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Raadhuis,0246::SB2,8181 HL,1491,1355,1,1,0,0,5,1224,128,0,0,0,0,0,0,1357,215,112,158,126,295,99,137,77,35,25,35,2,6,8,2,14,1,0,0,2,0,1,0,0,4,0,1
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau (voormalig) Wilhelminaschool,0246::SB3,8181 BA,1645,1177,0,3,0,0,2,1086,92,0,0,0,0,0,0,1180,166,80,238,104,256,96,96,40,22,15,34,0,2,4,1,15,0,0,0,2,0,2,0,1,3,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Rhijnsberg,0246::SB4,8181 XW,1619,1444,0,3,0,1,4,1297,147,0,0,0,1,0,0,1448,300,71,172,81,333,129,172,56,36,25,37,0,6,2,1,17,0,0,0,4,0,0,0,1,1,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Viattence locatie Wendhorst,0246::SB5,8181 ET,1452,1349,1,3,0,0,8,1218,127,0,0,0,0,0,0,1353,267,87,141,96,316,100,172,62,28,19,29,0,3,0,0,27,0,0,0,0,0,0,0,1,1,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Christelijk College de Noordgouw,0246::SB6,8181 EW,1028,563,0,2,0,0,6,498,61,0,0,0,0,0,0,565,150,23,55,33,102,55,73,22,11,13,6,0,4,1,0,13,0,1,1,0,0,0,0,0,0,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Jenaplanschool,0246::SB7,8181 LE,1142,903,0,0,0,0,0,810,93,0,0,0,0,0,0,903,224,47,106,74,179,79,49,49,17,27,28,0,1,0,1,19,0,0,1,2,0,0,0,0,0,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Boerbrink,0246::SB8,8194 LT,686,589,0,1,0,0,1,549,40,0,0,0,0,0,0,590,144,37,58,37,126,55,29,36,19,17,16,2,0,0,0,6,0,0,0,3,0,1,0,1,1,1,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hervormd Verenigingsgebouw,0246::SB9,8191 LV,1423,1302,1,0,0,0,2,1185,116,0,0,0,0,0,0,1303,215,48,108,64,246,59,332,30,134,22,24,1,3,2,1,10,0,0,0,3,0,0,0,0,0,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Rehoboth,0246::SB10,8191 JE,1595,1194,1,1,0,0,7,1094,95,0,0,0,0,0,0,1196,218,66,144,86,205,90,203,46,63,15,35,0,3,0,2,13,0,0,0,3,0,0,0,1,1,0,0
Arnhem,Heerde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Drieluik,0246::SB11,8191 XT,1602,1336,3,7,1,1,4,1227,113,0,0,2,0,0,0,1344,146,60,228,141,265,66,213,55,63,22,52,1,1,5,1,13,0,0,0,4,0,0,0,0,0,0,0
