contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0798::SB1,5081CA,1128,1288,0,1,0,0,8,1169,112,0,0,0,0,0,0,1289,367,57,98,159,245,177,7,93,1,30,32,1,2,2,1,12,0,1,0,0,0,0,0,2,1,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hotel Brabant,0798::SB2,5081AG,1037,813,0,1,0,2,8,714,94,0,0,0,2,0,0,816,263,28,91,117,115,101,2,49,0,15,17,1,1,0,0,8,0,1,0,1,0,2,1,0,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Clossenborch,0798::SB3,5081JV,1090,809,2,2,0,2,1,752,62,0,0,0,2,0,0,815,193,29,75,96,170,104,11,71,0,16,24,1,3,0,1,10,0,1,0,1,1,1,0,1,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Cafe-Zaal Schuttershof,0798::SB4,5085EG,947,793,1,3,0,0,3,731,63,0,0,0,0,0,0,797,254,31,59,91,179,83,7,28,1,29,18,0,3,0,1,7,0,0,0,0,0,0,0,1,1,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpsgebouw 't Gebint,0798::SB5,5084HG,819,653,0,0,0,0,3,639,11,0,0,0,0,0,0,653,180,17,69,63,160,66,6,43,1,14,18,1,4,0,1,5,0,0,0,5,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bassischool Starrebos,0798::SB6,5081VH,1828,1532,4,2,0,0,2,1398,138,0,0,0,0,0,0,1538,403,98,128,192,287,197,10,111,0,41,33,1,3,0,1,17,1,2,0,2,0,0,0,5,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bassisschool De Doelakkers,0798::SB7,5081XM,1591,1299,3,2,0,0,1,1183,120,0,0,0,0,0,0,1304,323,78,129,176,146,209,7,118,1,30,47,1,2,1,0,21,0,0,0,6,0,0,0,3,1,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Restaria De Zwaan,0798::SB8,5087BA,1412,1143,3,3,0,0,3,1038,108,0,0,0,0,0,0,1149,351,33,113,128,256,116,8,61,4,8,50,0,0,1,2,10,0,0,1,0,0,0,0,1,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zaal Den Horst,0798::SB9,5089NK,691,597,0,1,0,0,0,533,65,0,0,0,0,0,0,598,176,16,38,54,183,53,7,19,0,13,21,3,4,0,0,6,1,0,0,3,0,0,0,0,0,0
Tilburg,Hilvarenbeek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Partycentrum Hercules,0798::SB10,5087BJ,1519,1321,3,1,0,0,13,1177,135,0,0,0,0,0,0,1325,348,47,144,124,352,120,10,80,1,30,39,2,3,0,0,16,0,0,0,2,0,1,0,2,0,0
