contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Libertarische Partij (LP),Lokaal in de Kamer
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verzorgingscentrum de Hullen,1699::SB1,9301 HW,1368,1122,0,0,0,0,3,1011,108,0,0,0,0,0,0,1122,235,128,114,99,143,145,45,97,4,34,59,1,2,0,1,11,0,0,0,3,0,1
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,1699::SB2,9301 AA,1816,1847,3,5,0,0,13,1675,167,0,0,0,0,0,0,1855,505,175,193,133,244,221,79,165,5,42,42,6,4,0,4,24,1,0,0,0,0,4
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Fletcher Hotel Langewold,1699::SB3,9301 NR,1431,1382,0,2,0,1,11,1284,90,0,0,0,1,0,0,1385,236,135,205,173,191,132,74,107,6,36,44,0,3,0,2,25,2,2,1,4,0,4
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Mennozaal, Doopsgezinde Gemeente",1699::SB4,9301 AX,1590,1161,0,0,0,0,2,1064,95,0,0,0,0,0,0,1161,208,163,183,132,166,99,64,52,5,15,51,2,1,0,0,12,1,0,0,3,0,4
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gereformeerde kerk,1699::SB5,9301 SJ,1214,836,2,0,0,0,0,796,42,0,0,0,0,0,0,838,130,94,81,92,120,101,63,77,2,15,39,0,4,0,2,14,0,0,0,0,1,1
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Obs ""het Valkhof""",1699::SB6,9301 SP,1198,1307,0,2,0,0,1,1223,85,0,0,0,0,0,0,1309,236,154,113,164,149,188,69,137,3,36,20,0,0,0,2,25,3,0,0,4,0,4
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau dienstencentrum Geerties Hoes,1699::SB7,9302 DC,1322,1032,1,0,0,0,0,961,72,0,0,0,0,0,0,1033,237,100,50,65,165,180,67,105,4,22,15,0,2,0,1,14,0,0,0,2,0,3
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Dörpshuus NijRoon,1699::SB8,9311 PB,1428,1320,1,2,0,4,7,1203,109,0,0,4,0,0,0,1319,240,145,120,171,164,159,67,141,2,37,33,3,4,0,4,22,0,0,1,4,1,2
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Obs De Poolster,1699::SB9,9311 VA,1584,1125,0,0,0,0,2,1016,107,0,0,0,0,0,0,1125,202,109,158,109,143,121,58,119,11,28,25,2,5,0,0,31,0,0,1,1,0,2
Assen,Noordenveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau cafe het Rode Hert,1699::SB10,9315 PB,621,513,0,0,0,0,0,460,53,0,0,0,0,0,0,513,122,66,33,30,58,81,7,73,3,17,13,2,0,0,3,2,1,0,0,2,0,0
