contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP)
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,1894::SB1,5981 CC,2254,2316,5,6,0,2,10,2043,272,0,0,2,0,0,0,2325,481,66,350,212,607,213,10,120,1,40,109,6,10,45,1,35,2,0,2,3,0,3,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Houbereij,1894::SB2,5981 CH,1795,1680,6,3,0,0,5,1512,172,0,0,0,0,0,0,1689,263,46,305,222,403,128,5,82,0,29,79,2,8,51,6,45,0,0,1,4,1,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool de Wissel,1894::SB3,5981 DS,1887,870,1,2,0,1,1,785,88,0,0,0,1,0,0,874,135,40,116,129,179,79,5,65,0,28,44,2,6,20,3,11,0,0,1,4,1,2,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Feestzaal de Zoes,1894::SB4,5988 EM,2492,1892,3,4,0,4,6,1672,217,0,0,4,0,0,0,1895,439,53,300,210,416,191,4,91,3,33,64,5,8,7,4,56,1,0,0,5,1,1,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpscentrum Kerkeböske,1894::SB5,5988 NE,2279,1714,1,2,0,0,0,1518,199,0,0,0,0,0,0,1717,350,42,269,157,503,144,5,82,0,35,70,2,7,11,1,26,2,0,1,6,0,1,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Wieksjlaag,1894::SB6,5986 AH,1679,1399,0,0,0,0,1,1233,165,0,0,0,0,0,0,1399,269,38,229,124,445,106,3,50,2,20,71,1,7,2,2,25,1,1,1,1,0,0,1
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Ankerplaats,1894::SB7,5985 PG,1281,1020,2,2,0,5,2,914,113,0,0,0,5,0,0,1029,218,27,219,109,222,71,1,47,0,20,45,3,5,0,4,26,0,0,1,1,0,1,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis De Sprunk,1894::SB8,5984 PJ,1021,730,1,3,0,0,1,652,81,0,0,0,0,0,0,734,116,17,139,73,205,55,1,50,0,14,39,4,1,0,1,11,1,0,0,2,0,1,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis 't Erf,1894::SB9,5987 AR,1083,883,1,0,0,4,1,777,110,0,0,0,4,0,0,888,201,21,153,76,222,100,1,39,8,24,16,0,6,0,1,10,0,1,1,3,0,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Niëns Horeca,1894::SB10,5993 AW,1510,1149,0,1,0,0,4,1008,138,0,0,0,0,0,0,1150,282,37,186,122,258,110,3,57,0,15,49,3,6,0,3,16,0,0,0,2,0,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Mafcentrum,1894::SB11,5993 CC,2008,1499,4,4,0,2,2,1332,175,0,0,0,2,0,0,1509,353,59,207,160,341,159,6,88,3,16,50,3,6,0,2,38,1,2,0,3,0,2,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hoës van Bree,1894::SB12,5993 BT,1506,1394,2,1,0,1,1,1255,142,0,0,0,1,0,0,1398,341,36,172,151,365,156,2,80,1,19,41,0,3,1,1,23,0,0,0,2,0,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Ter Borcht,1894::SB13,5991 AN,1976,1625,4,1,0,3,1,1479,153,0,0,0,3,0,0,1633,415,62,253,128,371,153,9,79,3,29,74,4,4,0,0,37,0,0,1,1,0,2,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool Panta Rhei,1894::SB14,5991 BN,1426,1159,3,2,1,0,1,1067,99,0,1,0,3,0,1,1167,234,59,221,130,220,103,6,72,0,30,54,1,3,0,0,19,0,1,0,4,1,1,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal de Kazing,1894::SB15,5991 PX,1741,1337,3,1,0,0,3,1180,158,0,0,0,0,0,0,1341,324,34,234,144,261,154,16,63,2,24,55,1,4,0,0,16,0,1,0,2,0,2,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis de Paort,1894::SB16,5995 BB,1185,1027,3,2,0,0,4,922,106,0,0,0,0,0,0,1032,267,35,157,112,203,111,1,36,2,10,59,5,6,0,1,18,0,0,1,3,0,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcomplex Hof van Kessel,1894::SB17,5995 XZ,1481,1115,3,2,0,0,4,1005,111,0,0,0,0,0,0,1120,264,30,203,117,238,113,2,33,2,18,57,0,12,1,2,20,0,0,0,1,0,1,1
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Kessel-Eik,1894::SB18,5995 NM,607,498,1,1,0,0,1,457,42,0,0,0,0,0,0,500,88,14,102,60,95,48,2,16,6,8,37,0,9,2,0,5,0,1,2,2,1,0,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Sint Jozef,1894::SB19,5768 AW,1642,900,4,6,0,0,0,813,97,0,0,0,0,0,0,910,235,31,149,87,197,73,4,35,1,10,43,1,1,1,14,13,1,0,0,2,0,2,0
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis d'n Binger,1894::SB20,5768 BE,1726,1712,4,9,0,3,3,1545,180,0,0,0,3,0,0,1728,459,40,288,169,353,154,9,53,5,42,75,4,4,0,22,25,0,0,2,4,1,0,3
Maastricht,Peel en Maas,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Oranjehotel,1894::SB21,5768 AR,1463,1250,2,1,0,1,0,1115,139,0,0,0,1,0,0,1254,311,34,219,147,223,104,3,53,2,22,72,1,6,2,30,15,1,0,0,4,0,1,0
