contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Alphen,0668::SB1,6626 AC,1302,1076,0,1,0,0,3,959,115,0,0,0,0,0,0,1077,299,38,156,141,169,104,6,63,4,31,38,2,10,2,1,9,1,1,0,0,1,0,0,0,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Altforst,0668::SB2,6628 AC,410,351,0,0,0,0,0,315,36,0,0,0,0,0,0,351,125,5,38,40,65,33,1,23,0,9,7,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Appeltern,0668::SB3,6629 AR,675,574,0,1,0,0,1,514,60,0,0,0,0,0,0,575,158,24,96,60,85,52,4,41,1,23,12,1,2,0,0,11,0,0,0,1,0,1,0,1,0,1
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Beneden-Leeuwen,0668::SB4,6658 WX,1933,1478,1,10,0,0,2,1327,161,0,0,0,1,0,0,1490,489,52,242,161,229,124,3,71,3,20,48,2,5,1,3,20,0,0,0,2,0,0,0,1,2,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Beneden-Leeuwen,0668::SB5,6658 AG,1515,1549,2,7,0,0,1,1389,168,0,0,0,0,0,0,1558,479,54,236,230,194,154,3,77,1,34,44,1,7,1,3,20,1,0,2,5,0,1,0,0,2,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Beneden-Leeuwen,0668::SB6,6658 XN,1715,1290,0,1,0,0,1,1172,118,0,0,0,0,0,0,1291,305,48,194,225,202,101,3,71,3,24,64,2,7,1,3,28,0,1,1,5,0,0,0,1,1,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Boven-Leeuwen,0668::SB7,6657 CB,1677,1445,0,2,0,0,6,1273,168,0,0,0,0,0,0,1447,407,61,200,210,218,129,11,77,2,33,57,3,5,0,6,23,0,0,0,2,1,0,0,0,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dreumel,0668::SB8,6621 KV,1214,1036,2,2,0,0,0,931,109,0,0,0,0,0,0,1040,251,50,192,139,151,85,6,47,2,17,69,1,4,0,0,15,0,0,1,5,0,1,0,0,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dreumel,0668::SB9,6621 AN,1463,1288,1,3,0,0,1,1125,166,0,0,0,0,0,0,1292,408,50,203,116,222,125,9,56,1,17,29,3,6,0,4,25,1,2,0,4,0,1,1,5,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Maasbommel,0668::SB10,6627 AG,1095,897,0,1,0,0,6,800,92,0,0,0,0,0,0,898,254,30,134,126,122,100,7,39,0,27,40,1,3,0,3,9,0,0,0,1,1,0,0,0,0,0
Nijmegen,West Maas en Waal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wamel,0668::SB11,6659 CR,1923,1620,2,3,0,0,2,1439,184,0,0,0,0,0,0,1625,370,83,240,270,236,151,16,106,1,37,58,3,7,0,3,34,0,0,0,3,0,0,0,1,1,0
