contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0355::SB1,3701 HS,1088,1064,2,2,0,4,9,941,122,0,0,0,4,0,0,1072,337,55,45,41,124,213,35,124,15,30,8,0,1,9,0,20,0,0,0,6,0,0,0,1,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Geref. Kerk Vrijgemaakt De Ark,0355::SB2,3702 SB,1791,1346,1,4,0,0,0,1230,121,0,0,0,0,0,0,1351,261,77,156,86,146,195,60,142,40,60,44,3,5,33,0,29,1,2,0,2,1,2,0,0,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Zeister Mannenkoor,0355::SB3,3701 VK,1730,1535,5,2,0,3,5,1427,113,0,0,0,3,0,0,1545,306,86,226,116,151,189,64,179,30,66,50,1,8,12,1,33,1,0,2,6,3,1,0,1,0,3
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum  De Looborch,0355::SB4,3701 BC,1627,1419,2,2,0,1,5,1248,171,0,0,0,1,0,0,1424,544,62,54,20,171,267,54,126,23,55,12,1,1,0,2,22,0,0,1,2,0,0,0,1,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huize Valckenbosch,0355::SB5,3707 VD,1529,1332,0,1,0,0,5,1149,179,0,0,0,0,0,0,1333,617,62,34,26,112,206,37,123,21,59,7,1,1,2,0,12,1,3,0,5,1,0,0,0,0,2
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Amandelhof,0355::SB6,3708 AB,1460,1248,1,4,0,0,6,1102,145,0,0,0,0,0,0,1253,350,73,80,40,168,229,63,103,55,38,23,1,1,7,0,10,0,0,1,4,0,0,1,0,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghotel Bovenwegen,0355::SB7,3708 AT,1718,1151,0,5,0,1,5,1043,109,0,0,0,1,0,0,1157,295,66,95,66,126,156,46,121,41,52,31,0,1,19,1,22,0,2,2,6,2,0,0,0,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Binnenbos,0355::SB8,3708 DL,1723,1622,5,6,0,0,10,1456,167,0,0,0,0,0,0,1633,430,89,124,105,141,282,63,174,25,83,30,0,3,29,6,25,2,2,0,4,4,1,0,0,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School Griffensteijn,0355::SB9,3703 BP,1832,1215,5,2,0,1,5,1089,127,0,0,1,0,0,0,1221,280,70,97,58,124,224,50,148,21,41,21,0,2,54,1,18,0,0,0,6,0,0,0,0,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School Griffensteijn,0355::SB10,3703 BP,1760,1408,0,5,0,0,2,1251,160,0,0,0,0,0,0,1413,292,106,113,68,124,256,61,180,27,54,33,1,4,59,2,21,3,0,0,2,1,1,0,0,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum De Koppeling,0355::SB11,3704 KS,1481,1548,1,13,2,0,2,1372,186,0,0,2,0,0,0,1560,260,112,157,112,159,218,74,201,14,59,43,0,8,113,1,9,0,1,1,4,0,1,0,0,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum De Koppeling,0355::SB12,3704 KS,1764,1435,1,3,0,0,4,1295,140,0,0,0,0,0,0,1439,264,113,149,88,135,195,57,195,13,50,44,2,4,102,1,12,2,0,1,4,1,1,0,0,0,2
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School Nije-Kroost,0355::SB13,3704 EG,1621,1533,5,4,0,1,3,1371,169,0,0,0,1,0,0,1543,358,77,114,99,161,223,86,190,29,62,28,1,8,66,0,19,0,0,2,5,4,0,0,0,0,1
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau R.O.C. Midden Nederland,0355::SB14,3704 GN,1755,1272,3,5,0,3,3,1115,165,0,0,0,3,0,0,1283,197,86,172,92,125,164,55,171,18,43,35,2,5,76,2,22,1,0,0,3,2,0,0,1,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum 't Noorderpunt,0355::SB15,3706 AH,1781,1370,2,10,4,0,7,1262,109,0,0,4,0,0,0,1378,232,77,104,98,142,208,55,270,10,62,35,3,4,19,3,22,0,3,1,11,9,0,1,1,0,0
Utrecht,Zeist,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Geref. Kerk Vrijgemaakt De Ark,0355::SB16,3702 SB,1725,1092,1,5,0,3,0,1005,90,0,0,3,0,0,0,1095,208,53,138,77,105,152,41,141,43,43,46,3,3,20,2,12,1,0,0,2,1,1,0,0,0,0
