contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Schaersvoorde,0197::SB101,7122 AW,0,1077,1,4,0,0,0,986,96,0,0,0,0,0,1082,229,90,149,159,37,75,64,54,21,15,9,26,57,3,22,5,18,2,2,0,2,0,30,3,2,0,1,2,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Katholieke kerk,0197::SB102,7121 ES,0,882,1,1,0,1,3,809,71,0,1,0,0,0,883,219,82,108,122,46,52,43,47,26,8,4,8,50,0,13,5,13,0,1,0,1,7,24,1,1,0,0,1,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zuiderkerk,0197::SB103,7121 EM,0,1475,1,3,0,0,0,1357,122,0,0,0,0,0,1479,313,113,243,214,63,96,82,82,15,20,11,10,99,4,27,4,14,0,4,0,1,6,40,3,4,0,3,4,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Beele Sealing Valley,0197::SB104,7122 AP,0,1237,3,0,0,0,3,1131,106,0,0,0,0,0,1240,322,119,152,172,51,76,41,51,19,13,7,11,68,4,35,5,9,0,1,0,7,1,66,0,1,0,1,5,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Chr. Geref. kerk,0197::SB105,7122 ZX,0,677,0,0,0,0,0,629,48,0,0,0,0,0,677,120,52,111,89,22,49,31,86,28,4,15,4,17,1,7,1,11,0,0,0,2,1,22,0,1,0,0,0,0,3,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stemstraat,0197::SB106,7122 JD,0,234,0,0,0,0,1,206,27,0,0,0,0,0,234,62,42,25,27,2,7,6,5,4,1,0,2,26,0,6,0,1,0,0,1,0,0,17,0,0,0,0,0,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportpark Zuid (Gebouw AD'69),0197::SB107,7121 JB,0,781,0,1,0,0,0,711,71,0,0,0,0,0,782,188,70,88,101,30,78,48,27,6,8,4,4,47,2,21,7,1,1,0,0,5,1,40,2,1,0,0,1,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sportpark 't Broock, sv Bredevoort",0197::SB108,7126 BH,0,885,0,1,0,0,6,810,70,0,0,0,0,0,886,197,83,137,120,21,72,27,18,31,9,0,1,36,1,27,4,14,0,1,0,4,1,76,0,0,0,1,2,1,1,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw De Markerink,0197::SB109,7122 RK,0,482,0,0,0,0,2,447,33,0,0,0,0,0,482,110,23,95,66,7,13,16,20,6,4,6,0,21,0,17,1,7,0,0,0,1,0,68,0,0,0,0,0,0,1,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Romienendal,0197::SB110,7122 RN,0,486,0,0,0,0,1,439,46,0,0,0,0,0,486,136,32,108,59,13,15,8,31,5,3,2,0,15,1,14,0,6,0,1,1,0,1,35,0,0,0,0,0,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus Lintelo,0197::SB111,7122 LX,0,583,1,0,0,0,1,546,37,0,0,0,0,0,584,101,34,135,43,34,17,11,43,12,2,6,0,32,0,18,1,3,0,3,0,0,0,83,2,2,1,0,0,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuus IJzerlo,0197::SB112,7122 KH,0,456,0,1,0,0,1,413,43,0,0,0,0,0,457,85,19,139,42,19,19,9,12,7,2,1,0,14,0,11,0,4,0,0,0,0,0,73,0,0,0,0,0,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café Bruggink,0197::SB113,7095 BC,0,621,0,0,0,0,7,557,57,0,0,0,0,0,621,158,33,133,81,14,25,13,23,24,3,2,0,20,0,10,2,11,0,0,0,0,1,63,2,0,0,1,2,0,0,,
Arnhem,Aalten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sporthal Eurohal, 1e locatie",0197::SB114,7091 XC,0,599,2,1,0,0,2,536,64,0,0,0,0,0,602,160,76,66,74,24,40,19,21,13,7,6,2,43,1,14,3,2,0,1,0,1,2,21,0,0,2,1,0,0,0,,
