contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadhuis,0106::SB1,9401 JW,1715,1484,3,3,0,4,11,1376,107,0,0,4,0,0,1494,264,142,77,297,100,131,115,47,65,13,1,13,86,14,31,6,38,1,4,1,5,9,6,2,3,3,1,8,1,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Nieuwe Kolk,0106::SB2,9401 ET,1407,1463,4,5,0,3,14,1376,85,0,0,3,0,0,1475,280,127,95,334,110,86,95,68,61,9,16,9,72,4,27,7,29,1,3,0,1,4,10,1,0,9,0,2,2,1,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dr. Naussau College Penta,0106::SB3,9402 NP,1621,238,0,1,0,0,0,225,14,0,0,0,0,0,239,36,37,17,39,10,28,23,16,4,4,0,1,4,0,6,1,6,0,2,0,0,1,0,0,0,1,0,1,0,1,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau City Life Church,0106::SB4,9401 KC,1372,744,1,2,0,0,5,690,52,0,0,0,0,0,747,131,29,57,176,51,33,65,78,24,5,7,1,34,5,15,0,14,0,0,2,3,2,8,1,0,0,1,1,1,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Rode Kruisgebouw,0106::SB5,9406 GD,1741,817,1,3,0,0,4,739,78,0,0,0,0,0,821,96,131,50,86,52,106,75,50,34,6,0,3,71,0,15,0,9,0,3,0,0,4,12,0,0,6,1,5,2,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau de Spreng,0106::SB6,9404 CC,1165,631,4,1,0,0,1,592,44,1,0,1,0,0,637,79,79,25,119,53,68,55,32,29,3,5,1,35,1,10,2,7,0,3,0,1,11,7,1,1,0,0,4,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau de Spreng II,0106::SB7,9404 CC,1354,539,1,2,0,0,2,502,38,0,0,0,0,0,542,83,51,32,88,35,47,47,29,28,8,6,3,37,4,11,3,2,0,3,2,1,4,4,1,2,0,1,7,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurthuis de Zonnereep,0106::SB8,9404 JR,1576,835,3,0,0,6,0,777,67,0,0,6,0,0,844,144,90,57,130,52,59,73,42,51,9,0,0,45,3,21,8,22,0,1,2,3,5,11,2,0,1,3,0,0,1,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Schulp,0106::SB9,9404 BB,1330,1041,5,2,0,1,10,982,55,0,1,0,0,0,1047,145,132,55,167,73,87,85,58,63,8,5,2,74,7,19,3,32,0,3,0,1,4,12,0,0,0,0,3,2,1,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportpark Asser Boys,0106::SB10,9403 TD,1665,887,2,3,0,7,4,894,1,0,0,7,0,0,899,168,60,65,212,69,37,64,54,38,6,1,0,58,2,10,1,22,0,4,0,0,4,5,3,0,0,0,1,3,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Schakelveld,0106::SB11,9405 HX,1292,575,3,1,0,2,1,534,46,0,0,2,0,0,581,96,64,35,67,55,54,39,45,21,5,3,12,42,2,8,2,11,2,1,0,0,1,9,0,1,0,0,0,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Schakelveld II,0106::SB12,9405 HX,1435,497,1,2,0,0,3,468,28,0,1,0,1,0,499,68,47,36,86,33,40,44,25,23,2,3,7,48,2,3,2,10,0,2,1,2,3,4,0,1,0,0,1,4,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Provincie Drenthe,0106::SB13,9405 BJ,1199,952,0,2,0,0,3,883,68,0,0,0,0,0,954,195,40,73,185,67,63,90,69,44,3,0,1,40,1,24,1,23,0,2,3,2,10,12,0,3,0,0,1,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadsbroekhal,0106::SB14,9405 BM,695,229,0,0,0,0,0,210,19,0,0,0,0,0,229,50,9,23,47,20,13,22,16,8,3,1,1,5,0,1,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadsbroekhal II,0106::SB15,9405 BM,959,158,0,0,0,0,1,151,6,0,0,0,0,0,158,29,13,15,38,9,13,12,6,4,4,0,1,5,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Dissel,0106::SB16,9403 LT,1811,1458,0,0,0,1,10,1444,3,0,1,0,0,0,1457,258,128,105,245,94,125,85,117,67,16,4,4,82,2,34,8,32,1,4,1,1,4,19,4,1,1,2,7,7,0,,
Assen,Assen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Marsdijkhal,0106::SB17,9403 LT,1871,1079,0,0,0,0,1,1005,73,0,0,0,0,0,1079,206,101,74,188,52,90,58,103,26,11,8,4,79,6,23,6,27,1,1,0,0,2,9,0,0,3,0,1,0,0,,
