contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,1876::SB1,7255 KA,1466,938,2,1,0,2,3,839,101,0,0,2,0,0,943,247,91,154,121,28,51,30,12,28,8,2,2,46,1,22,5,7,0,1,0,1,1,70,3,0,1,3,1,0,2,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café de Jongens,1876::SB2,7255 XZ,1658,1000,1,0,0,0,0,920,81,0,0,0,0,0,1001,318,114,137,139,35,29,46,12,10,7,2,0,48,0,37,2,11,0,2,0,1,2,41,2,2,0,1,2,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ons Huis / Hengelo Gld,1876::SB3,7255 DM,1387,873,0,2,0,0,1,799,75,0,0,0,0,0,875,248,106,134,102,16,54,32,13,22,6,2,1,24,4,21,1,8,0,3,0,1,1,70,0,1,0,0,2,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Horst / Keijenborg,1876::SB4,7256 BC,1411,1006,0,1,0,1,4,904,100,0,0,1,0,0,1008,287,101,217,95,23,41,30,3,19,4,0,0,27,0,32,8,5,0,4,1,2,1,100,4,1,0,0,0,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis Varssel,1876::SB5,7255 MR,666,515,1,0,0,0,2,471,43,0,0,0,0,0,516,123,53,67,53,19,20,25,13,24,1,3,0,19,0,22,1,8,0,1,1,0,3,54,0,0,0,0,4,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Museum Smedekinck,1876::SB6,7021 HW,1493,938,3,0,0,1,3,839,100,0,0,1,0,0,942,298,63,122,112,35,32,37,30,19,2,40,0,32,0,37,2,20,0,1,0,0,0,51,0,0,2,1,1,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oranjehof,1876::SB7,7021 CD,1471,1081,0,1,0,0,5,970,107,0,0,0,0,0,1082,302,113,131,125,39,67,56,43,19,23,30,0,28,2,32,1,16,0,2,1,2,2,41,0,2,1,1,1,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis D'n Draejer / Zelhem,1876::SB8,7021 KT,1006,743,1,0,0,1,0,684,61,0,0,1,0,0,745,181,66,118,90,22,32,10,21,21,3,28,0,23,3,36,1,12,0,1,2,2,2,64,1,0,0,0,3,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ARX theater / Zelhem,1876::SB9,7021 HC,692,440,0,0,0,0,2,391,47,0,0,0,0,0,440,108,38,51,30,12,17,28,11,20,2,7,0,16,1,13,1,15,0,1,0,0,0,67,0,1,1,0,0,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Heidehuus,1876::SB10,7025 CL,422,396,3,0,0,0,2,354,43,0,0,0,0,0,399,73,33,52,44,12,15,28,12,15,5,0,0,13,0,5,2,4,0,0,0,5,2,72,0,0,0,0,4,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Café-restaurant Nijhof / Halle,1876::SB11,7025 AA,1157,784,0,0,0,0,3,704,77,0,0,0,0,0,784,203,119,105,70,8,36,22,19,19,10,5,0,37,2,29,3,10,0,2,3,0,0,80,0,0,0,0,2,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ZAMC Zelhemse Auto en Motorclub,1876::SB12,7021 ME,1312,570,0,0,0,1,0,521,50,0,0,1,0,0,571,128,74,58,53,18,46,32,20,10,11,15,1,31,1,13,2,13,0,0,0,1,3,37,0,0,0,0,3,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Pol,1876::SB13,7021 ED,1411,1026,0,2,0,0,0,935,93,0,0,0,0,0,1028,248,115,123,169,24,61,68,29,27,15,11,2,52,2,26,2,11,0,0,0,2,0,34,2,2,0,0,0,0,1,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kulturhus Vorden,1876::SB14,7251 AB,1646,1050,0,2,0,2,14,960,80,0,0,2,0,0,1054,269,80,127,215,56,71,55,16,30,11,2,4,32,1,11,7,10,0,0,1,2,4,37,1,2,0,0,6,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpskerk Vorden,1876::SB15,7251 BC,1421,650,6,0,0,0,5,596,55,0,0,0,0,0,656,155,56,64,112,31,46,42,11,33,6,4,1,14,4,22,3,14,0,0,3,0,2,23,1,1,1,0,1,0,0,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Christus Koning Kerk,1876::SB16,7251 BL,1589,1030,2,2,0,2,7,942,87,0,0,2,0,0,1036,288,81,120,169,43,60,42,14,51,9,2,0,46,1,22,4,25,0,0,1,0,4,43,0,0,1,1,1,0,2,,
Arnhem,Bronckhorst,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kantine SV Ratti,1876::SB17,7251 LT,1020,689,0,0,0,2,1,615,75,0,0,2,0,0,691,172,32,98,118,33,21,17,23,23,2,2,0,14,1,10,0,20,2,0,0,1,1,97,1,1,0,0,0,0,0,,
