contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA Kersentuin,0312::SB1,3981 GD,1307,774,0,0,0,0,2,713,60,0,0,1,0,0,775,117,22,41,239,139,31,36,20,69,0,0,5,11,7,7,0,22,0,0,0,1,1,4,0,0,0,2,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Prikkebeen,0312::SB2,3981 WC,1350,670,0,0,0,0,1,620,49,0,0,0,0,0,670,131,23,39,184,89,23,23,31,38,8,2,1,18,8,14,0,34,0,2,0,1,1,0,0,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Barbarakerk,0312::SB3,3981 AD,1397,999,1,0,0,3,8,936,59,0,0,3,0,0,1003,180,63,54,279,137,25,45,31,55,5,4,4,27,7,15,0,52,0,3,1,0,2,7,0,1,0,0,1,0,1,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijnzaal,0312::SB4,3981 GD,1188,822,0,0,0,0,1,763,58,0,0,0,0,0,822,144,37,56,235,123,23,31,21,52,4,7,0,21,5,10,2,41,0,1,1,1,1,4,0,0,0,0,1,0,0,1,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijnzaal 15-03,0312::SB5,3981 GD,0,424,0,1,0,0,1,422,2,0,0,0,0,0,425,81,25,49,94,35,16,46,23,16,2,1,4,3,1,10,1,12,0,3,0,0,0,0,2,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rijnzaal 16-03,0312::SB6,3981 GD,0,327,0,1,0,0,1,304,23,0,0,0,0,0,328,63,17,31,77,44,10,27,12,20,0,2,5,5,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dagkerk Odijk,0312::SB7,3984 JA,1388,1396,2,1,0,0,1,1285,116,0,0,3,0,0,1402,376,128,116,282,95,56,59,45,48,10,17,3,45,7,35,2,35,0,2,0,2,5,19,1,0,0,0,5,0,0,3,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Meenthoek,0312::SB8,3984 NL,1421,367,0,0,0,0,0,339,28,0,0,0,0,0,367,84,9,39,87,33,7,27,28,6,0,7,0,6,3,4,1,17,0,0,0,1,1,6,0,0,0,0,0,0,1,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Odijk,0312::SB9,3984 MA,1667,1065,0,1,0,0,2,963,101,0,0,0,0,0,1066,313,91,87,226,87,45,46,15,38,9,7,8,27,4,20,3,18,0,1,0,0,2,10,0,1,0,0,2,0,4,1,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sporthal, Dorpshuis Odijk 15-03",0312::SB10,3984 MA,0,391,0,0,0,0,1,358,32,0,0,0,0,0,391,99,25,56,74,21,16,39,15,13,7,7,0,2,0,7,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sporthal, Dorpshuis Odijk 16-03",0312::SB11,3984 MA,0,378,0,0,0,0,1,376,1,0,0,0,0,0,378,113,36,32,64,23,20,28,15,5,3,4,0,9,0,11,2,8,0,2,0,1,1,0,1,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Stevenshoek,0312::SB12,3985 SB,1896,1224,3,2,0,0,4,1116,109,0,0,0,0,0,1229,351,85,168,197,63,44,42,35,48,8,63,0,42,3,24,2,24,0,4,0,2,2,14,0,0,0,0,0,1,1,1,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Stevenshoek 15-03,0312::SB13,3985 SB,0,157,0,0,0,0,0,147,10,0,0,0,0,0,157,43,13,33,19,7,3,10,2,5,2,5,1,2,0,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Stevenshoek 16-03,0312::SB14,3985 SB,0,137,0,0,0,0,0,126,11,0,0,0,0,0,137,29,11,27,15,8,4,6,1,5,4,9,0,4,0,2,0,4,0,0,0,0,2,0,1,0,0,0,5,0,0,0,,
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau A,0312::SB15,3984 NC,0,1042,2,0,0,0,,,,,0,0,,,1044,285,40,248,159,35,42,109,36,27,27,10,0,1,0,4,0,15,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
Utrecht,Bunnik,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau B,0312::SB16,3984 NC,0,134,1,0,0,0,,,,,0,0,,,135,44,12,24,23,1,2,13,6,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
