contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Petrakerk Bunschoten-Oost,0313::SB1,3751 EV,1930,1195,5,1,0,0,2,1048,151,0,0,0,0,0,1201,199,193,218,42,9,11,10,214,7,6,86,12,105,1,42,3,8,1,2,0,1,1,11,0,0,2,8,3,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Boulamis,0313::SB2,3752 LM,1264,772,2,3,0,0,0,695,82,0,0,0,0,0,777,91,126,171,19,6,8,4,176,6,0,51,3,76,1,13,1,6,0,0,0,2,1,6,0,0,0,3,2,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Kuil,0313::SB3,3752 SJ,1516,1438,4,2,0,0,0,1268,176,0,0,0,0,0,1444,237,218,241,71,16,24,11,294,9,2,95,14,115,2,53,3,9,1,1,0,2,2,9,0,1,0,5,3,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0313::SB4,3752 CL,1518,1260,1,3,0,0,1,1109,154,0,0,0,0,0,1264,242,175,229,65,28,22,12,215,11,3,57,15,112,2,36,4,14,0,3,0,0,0,10,0,0,0,2,3,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CGK Bunschoten De Fontein,0313::SB5,3752 WV,1323,1089,3,1,0,0,1,941,151,0,0,0,0,0,1093,145,174,151,39,14,17,8,235,13,9,117,9,103,2,25,3,4,0,0,1,0,1,5,0,0,2,11,1,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Samenklank Muziekcentrum,0313::SB6,3752 WV,1243,474,2,0,0,0,0,412,64,0,0,0,0,0,476,82,86,82,12,7,5,8,89,3,1,40,11,34,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Noorderkerk,0313::SB7,3751 AR,1771,1298,1,1,0,3,2,1160,141,0,0,3,0,0,1303,220,196,210,77,11,16,7,288,10,2,93,1,100,0,34,2,14,2,0,0,3,2,4,1,0,0,3,1,0,1,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau GKBS Adventkerk,0313::SB8,3752 EW,1624,912,1,2,0,0,0,778,135,0,2,0,0,0,913,132,141,172,29,1,5,6,211,6,5,90,1,66,1,27,1,3,0,2,1,0,0,4,0,1,0,6,1,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Westerkerk,0313::SB9,3752 GP,1527,1105,0,0,0,0,0,964,142,0,0,1,0,0,1106,177,170,196,43,9,24,16,199,13,2,97,10,88,0,41,2,6,0,0,0,0,1,3,0,3,0,1,4,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Vaartkerk Eemdijk,0313::SB10,3754 NA,628,543,0,0,0,0,1,489,53,0,0,0,0,0,543,83,51,127,33,0,0,2,120,8,4,63,0,21,1,17,0,0,0,0,0,1,0,10,0,0,0,2,0,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maranathakerk Spakenburg-Zuid,0313::SB11,3751 CP,1735,1220,1,1,0,0,1,1068,153,0,0,0,0,0,1222,164,155,234,48,9,14,9,339,10,1,81,0,95,0,24,4,9,0,1,0,2,1,11,0,0,0,8,1,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0313::SB12,3752 CL,0,388,3,1,0,0,1,342,49,0,0,0,0,0,392,67,54,68,18,3,18,11,81,6,1,38,1,3,0,11,0,1,0,0,0,0,0,3,0,0,1,2,1,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Maranathakerk Spakenburg-Zuid,0313::SB13,3751 CP,0,192,0,0,0,0,0,174,18,0,0,0,0,0,192,28,22,31,5,0,3,0,68,1,2,20,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Samenklank Muziekcentrum,0313::SB14,3752 WV,0,162,0,0,0,0,0,146,16,0,0,0,0,0,162,21,18,29,2,0,7,0,38,2,1,23,4,8,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Utrecht,Bunschoten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0313::SB15,3752 CL,0,497,0,2,0,0,1,434,64,0,0,0,0,0,499,69,108,95,27,4,11,11,95,3,2,38,4,16,0,10,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,
