contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Speeltuin Kindervreugd Doesburg,0221::SB1003,6981 GD,938,516,0,2,0,0,0,476,43,1,0,1,0,0,519,90,121,23,47,21,44,35,2,16,3,0,38,40,0,6,2,5,0,4,0,0,1,13,0,0,2,0,3,0,0,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rooms Katholieke Kerk Martinus,0221::SB1004,6981 EK,1162,443,5,0,0,0,1,421,26,0,0,0,0,0,448,80,64,35,75,20,50,32,6,13,2,0,15,26,2,3,1,8,0,1,0,1,3,3,1,0,0,0,1,0,1,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gasthuiskerk,0221::SB1010,6981 CP,906,499,1,0,0,1,0,463,36,0,1,0,0,0,499,112,34,36,101,20,34,42,7,42,1,1,1,30,3,11,2,10,1,0,0,1,1,6,0,0,0,0,1,0,2,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportpark Doesburg,0221::SB1011,6981 GZ,771,371,1,1,0,0,2,330,41,0,0,0,0,0,373,43,56,12,42,12,60,20,5,10,3,0,64,19,0,6,0,9,2,3,0,0,0,0,0,0,1,1,2,0,1,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennis en Padel Doesburg,0221::SB1012,6982 AN,866,630,1,1,0,3,0,570,65,0,0,3,0,0,635,87,125,35,68,33,77,36,4,15,8,1,44,53,2,13,4,10,2,4,0,1,3,0,0,2,1,0,2,0,0,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Beumerskamp 1,0221::SB1013,6983 AC,1707,1122,1,0,0,1,3,1022,97,0,1,0,0,0,1122,263,153,86,153,55,119,60,28,32,7,2,15,65,2,24,7,19,0,4,1,4,4,11,1,0,1,1,2,0,3,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Beumerskamp 2,0221::SB1014,6983 AC,1604,1021,2,0,0,0,3,932,88,0,0,0,0,0,1023,216,137,74,165,60,95,56,13,30,6,3,7,72,3,30,2,21,3,3,0,0,7,10,2,0,2,0,2,0,2,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0221::SB1703,6981 BH,1138,702,0,1,1,0,8,636,60,0,0,1,0,0,704,145,63,43,154,60,55,42,15,39,1,1,0,41,2,7,0,17,1,1,0,0,1,10,0,0,1,1,0,0,2,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0221::SB1503,6981 BH,0,419,0,1,0,0,0,388,33,1,0,1,0,0,421,62,48,46,71,21,40,55,11,22,2,1,1,14,1,13,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0221::SB1603,6981 BH,0,357,0,0,0,0,2,324,31,0,0,0,0,0,357,83,36,33,72,14,31,24,9,11,4,0,12,8,0,9,0,6,1,1,0,0,0,2,0,1,0,0,0,0,0,,
Arnhem,Doesburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1,0221::SB1704,6981 BH,0,960,0,1,0,0,,,,,0,0,,,961,188,80,159,117,37,111,137,33,36,17,4,4,9,0,12,1,7,0,2,0,1,2,2,0,0,1,0,0,0,0,0,0
