contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Gemert,1652::SB1,5421 CV,1525,1517,1,1,0,0,3,1353,163,0,0,0,0,0,1519,390,144,207,278,75,105,41,10,50,14,0,1,73,7,42,0,36,0,0,3,4,3,27,1,1,1,1,2,1,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Briefstembureau,1652::SB2,54212 CV,4277,1945,1,3,0,0,,,,,0,0,,,1949,458,142,680,125,36,208,127,15,45,45,4,1,7,0,15,4,6,0,0,0,0,0,16,0,6,0,0,1,0,0,4,0,0
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Kunstlokaal,1652::SB3,5421 PN,1359,1206,1,5,0,0,0,1070,142,0,0,0,0,0,1212,273,183,110,171,74,127,56,6,42,19,1,2,63,4,21,2,27,1,1,0,4,5,9,1,1,0,0,2,0,0,1,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportcentrum Molenbroek,1652::SB5,5421 SK,1974,1295,1,6,0,2,2,1135,163,0,2,0,0,0,1300,413,161,134,191,51,111,45,4,32,9,0,5,61,7,28,6,14,1,2,0,1,4,5,2,0,2,0,4,0,0,2,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool 't Einder,1652::SB7,5422 AN,1674,1280,1,0,0,0,0,1127,154,0,0,0,0,0,1281,358,152,173,205,38,117,48,7,45,11,0,0,49,0,25,2,22,0,0,0,2,7,14,2,0,0,0,3,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal bij Kindcentrum “Berglaren”,1652::SB9,5421 JH,1434,961,2,2,0,0,2,844,119,0,0,0,0,0,965,196,158,79,135,43,94,43,2,37,12,0,8,68,1,23,3,20,1,2,0,1,5,10,2,0,0,0,14,2,0,2,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gerarduskerk,1652::SB11,5421 HS,1143,766,0,0,0,0,1,695,70,0,0,0,0,0,766,177,92,79,129,42,90,35,3,20,11,0,0,36,3,18,0,12,0,3,1,1,2,8,1,1,0,0,1,0,0,1,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Zorgboogcentrum ""Ruijschenbergh""",1652::SB12,5421 DG,10,60,1,0,0,0,0,56,5,0,0,0,0,0,61,14,5,14,10,2,8,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Cultuurhuis De Eendracht,1652::SB13,5421 KC,1406,860,0,2,0,0,2,761,100,1,0,1,0,0,863,223,121,79,135,40,83,27,0,26,10,0,4,48,1,26,6,3,0,3,0,2,3,12,0,1,0,0,3,1,0,3,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis briefstembureau,1652::SB15,5421CV,0,42,0,0,0,0,,,,,0,0,,,42,8,5,12,3,1,4,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Dorpshuis ""De Bron""",1652::SB101,5423 SL,1131,1068,2,1,0,0,1,963,107,0,0,0,0,0,1071,264,141,200,167,17,94,41,10,30,6,2,0,24,1,29,4,10,2,2,0,1,2,18,0,0,0,0,0,0,0,3,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau MFA ""de Sprank""",1652::SB201,5425 VR,1132,1021,3,1,0,4,3,894,132,0,0,4,0,0,1029,226,116,276,127,32,49,18,8,22,9,0,0,42,2,22,4,13,0,1,0,1,1,46,0,1,0,0,2,2,0,1,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Kindcentrum ""De Dompelaar""",1652::SB301,5424 TS,710,585,1,3,0,0,3,514,72,0,0,0,0,0,589,183,55,149,34,12,30,9,5,8,8,0,0,20,0,9,5,9,0,2,0,1,0,44,0,0,0,0,2,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Parochiehuis,1652::SB401,5761 CB,1102,993,0,0,0,0,1,844,148,0,0,0,0,0,993,244,147,172,95,20,55,25,6,27,8,1,2,79,0,29,1,15,0,0,0,1,5,53,1,0,0,0,6,1,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Verenigingsgebouw ""Musis Sacrum""",1652::SB403,5761 RN,1669,1166,5,5,0,2,2,1023,153,0,0,2,0,0,1178,338,184,238,115,18,58,20,4,17,6,0,0,62,2,18,5,15,0,0,0,0,5,59,1,0,0,0,1,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Jeugdhuis,1652::SB405,5761 BJ,827,507,0,0,0,1,1,434,73,0,0,1,0,0,508,136,63,113,56,14,23,7,1,9,4,0,0,26,0,12,2,11,0,0,1,0,0,26,0,0,0,0,2,0,0,1,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Gemeenschapshuis ""De Schans""",1652::SB501,5763 BG,1474,1297,2,0,0,0,0,1110,189,0,0,0,0,0,1299,400,185,289,93,20,56,19,4,19,12,0,0,49,2,24,4,15,0,4,0,4,1,92,3,0,0,0,2,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Partycentrum ""D'n Eik""",1652::SB601,5764 PR,753,646,1,4,0,0,5,582,64,0,0,0,0,0,651,149,70,146,66,18,31,12,4,14,11,1,2,35,1,17,1,6,0,4,0,3,1,52,0,0,0,0,1,0,0,1,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Gemert,1652::SB701,5421CV,0,498,2,0,0,0,2,450,48,0,0,0,0,0,500,121,74,83,52,9,72,40,2,13,6,0,2,8,0,9,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Verenigingsgebouw ""Musis Sacrum""",1652::SB703,5761RN,0,240,0,0,0,1,2,211,28,0,0,1,0,0,241,62,37,56,16,4,25,8,4,9,6,0,0,5,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Gemert,1652::SB801,5421CV,0,516,1,2,0,0,1,446,72,0,0,0,0,0,519,123,65,84,60,11,79,23,5,19,7,0,0,20,0,8,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Gemert-Bakel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Verenigingsgebouw ""Musis Sacrum""",1652::SB803,5761RN,0,248,1,0,0,0,0,221,28,0,0,0,0,0,249,54,38,55,17,8,22,5,3,16,6,0,0,1,0,8,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,
