contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0321::SB1,3995 DZ,2095,1373,7,12,0,8,4,1261,135,0,0,8,0,0,1400,227,144,68,264,125,85,78,64,53,17,19,23,82,14,33,3,55,9,4,0,0,4,1,0,0,0,0,1,0,0,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau RKBS Van Harte School,0321::SB2,3991 AA,1171,1156,1,1,0,4,1,1031,130,0,0,4,0,0,1162,356,81,82,252,63,26,50,47,30,10,27,5,37,7,31,2,33,3,2,0,1,5,3,0,1,0,1,0,0,0,1,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum Rest. De Engel,0321::SB3,3991 DM,1535,699,4,0,0,0,1,626,76,0,0,0,0,0,703,209,61,45,132,47,12,26,50,28,7,18,3,22,2,13,3,15,2,1,0,1,1,0,0,0,0,0,1,0,0,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau App. complex Op Houten,0321::SB4,3991 DT,1388,814,2,0,0,0,2,746,68,0,0,0,0,0,816,198,54,60,165,68,25,33,92,23,6,30,1,18,1,11,2,24,0,2,0,0,0,0,0,0,0,0,1,0,0,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau OBS De Bijenkorf,0321::SB5,3992 BK,1693,1257,1,1,0,5,3,1180,81,0,0,5,0,0,1264,231,84,76,294,134,43,71,90,51,12,31,2,40,8,20,2,54,1,3,0,3,0,1,1,1,0,2,1,0,1,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tent nabij Montessori basisschool,0321::SB6,3991 WE,2328,1125,3,1,2,0,0,1013,118,0,0,2,0,0,1131,226,86,78,214,84,53,56,105,43,3,26,9,48,9,32,1,31,0,5,0,3,6,2,2,0,0,0,2,0,1,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Techniek Fabriek,0321::SB7,3992 RD,2138,1457,2,1,0,11,3,1318,150,0,0,11,0,0,1471,309,86,116,344,114,61,71,129,69,7,30,3,35,10,23,3,28,1,2,0,2,3,2,1,0,1,4,3,0,0,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stichting Het Lokaal,0321::SB8,3993 BG,2058,1127,6,1,0,3,5,1043,89,0,0,3,0,0,1137,194,102,57,203,123,70,61,102,52,10,34,11,39,4,15,6,35,0,3,0,0,2,0,0,0,0,0,3,0,1,0,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Velduil,0321::SB9,3993 GE,1783,1574,3,3,0,12,0,1420,172,0,0,12,0,0,1592,329,139,89,340,148,83,75,106,56,11,30,13,48,8,27,1,43,1,1,0,5,5,5,4,1,0,0,4,0,0,2,,
Utrecht,Houten,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau ONVZ,0321::SB10,3995 AX,1838,1159,5,1,0,0,1,1061,104,1,0,1,0,0,1166,263,92,55,233,94,45,55,71,54,18,25,3,52,13,21,6,40,0,3,1,2,7,1,1,2,0,0,2,0,0,0,,
