contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Voormalig Servicecentrum Voorburg,1916::SB1,2271 DG,1000,1533,1,3,0,0,4,1369,164,0,0,0,0,0,1537,455,89,62,418,73,37,64,15,63,11,2,7,65,11,38,15,87,1,2,1,3,4,2,1,0,3,0,0,4,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Maartenshal,1916::SB2,2274 KX,1000,782,2,0,1,0,3,712,70,0,0,1,0,0,785,203,74,32,175,50,21,36,3,39,4,2,17,40,9,15,7,38,5,1,0,2,7,0,0,1,0,0,0,1,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Maartenshal (2),1916::SB3,2274 KX,1000,656,3,0,0,0,1,614,44,0,0,0,0,0,659,186,46,39,150,39,28,20,13,38,6,1,4,24,3,19,9,24,2,0,0,1,1,3,0,0,0,0,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Oranjehoek,1916::SB4,2271 SJ,1000,1605,0,0,0,0,6,1441,159,1,0,1,0,0,1606,503,114,84,460,69,53,34,18,63,11,3,3,46,6,48,4,59,2,3,1,4,14,1,1,1,0,0,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw De Boot,1916::SB5,2272 AN,1000,1372,2,1,0,0,1,1270,104,0,0,0,0,0,1375,440,63,98,418,70,22,48,31,46,6,1,2,16,5,31,4,53,0,1,0,4,6,1,2,0,0,0,0,3,1,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Agora,1916::SB6,2275 CZ,1000,1098,0,1,0,0,2,1000,97,0,0,0,0,0,1099,303,47,73,320,74,11,40,23,51,3,3,4,20,11,30,4,70,0,4,0,1,3,1,1,0,0,0,1,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum Agora (2),1916::SB7,2275 CZ,1000,1023,0,2,0,0,3,916,106,0,0,0,0,0,1025,328,45,45,307,61,16,41,14,33,5,6,0,27,11,26,0,48,0,1,0,1,4,1,0,0,0,0,0,3,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool De Parachute,1916::SB8,2274 TZ,1000,1096,2,2,2,0,6,1021,75,0,0,2,0,0,1102,217,116,44,259,108,37,43,14,59,8,9,23,48,10,19,12,51,4,0,3,2,3,2,0,1,0,0,0,3,1,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Basisschool De Parachute (2),1916::SB9,2274 TZ,1000,1078,1,1,0,0,6,999,73,0,2,0,0,0,1078,197,111,43,256,100,45,47,17,57,7,10,23,61,9,19,12,45,6,3,1,1,3,0,0,1,0,0,0,4,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Groene Loper,1916::SB10,2273 VD,1000,773,1,0,0,0,0,716,58,0,0,0,0,0,774,154,90,41,128,58,35,40,21,47,13,3,14,50,6,15,12,25,6,3,0,2,4,0,1,1,0,2,0,2,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Groene Loper (2),1916::SB11,2273 VD,1000,586,2,1,0,0,4,531,54,0,0,0,0,0,589,147,62,27,113,37,38,18,13,24,7,8,11,24,11,11,7,13,0,2,2,3,1,2,2,1,0,0,0,2,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Jezus geeft rust,1916::SB12,2274 JW,1000,855,2,1,0,0,1,792,65,0,0,0,0,0,858,218,50,59,224,54,23,26,35,37,8,9,1,23,3,24,3,44,1,1,1,0,1,0,2,2,0,2,0,4,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Koningkerk,1916::SB13,2273 KR,2038,1995,1,11,0,0,13,1853,141,0,0,0,0,0,2007,463,186,86,426,107,76,114,33,111,14,8,36,131,22,43,20,85,1,8,0,2,6,5,0,0,1,1,0,9,1,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau KindCentrum Cascade,1916::SB14,2273 CS,1000,1252,2,3,0,2,6,1116,137,0,0,2,0,0,1259,284,140,75,242,71,66,50,19,64,12,3,22,66,17,39,19,32,3,3,0,4,9,1,1,1,0,2,1,6,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sporthal Essesteijn,1916::SB15,2272 EB,2000,1866,2,6,0,3,3,1665,209,0,0,3,0,0,1877,546,177,101,408,92,58,92,38,97,6,10,11,64,16,49,18,63,2,3,2,1,6,1,3,0,0,0,1,1,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Stadskantoor Leidschendam,1916::SB16,2264 BM,1000,1692,1,7,0,0,5,1548,147,0,0,0,0,0,1700,439,180,109,368,78,70,67,22,60,16,2,32,102,9,50,23,38,7,3,1,2,7,5,0,0,0,1,0,1,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis Leidschendam,1916::SB17,2264 BM,1000,1119,1,2,0,1,2,1060,59,0,1,0,0,0,1121,352,65,62,259,63,27,36,22,39,4,7,11,76,4,30,10,40,0,3,0,1,4,3,1,0,0,0,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw De Blauwe Tram,1916::SB18,2265 CA,1000,566,1,0,0,0,1,514,52,0,0,0,0,0,567,186,72,37,105,19,16,32,7,15,3,1,2,24,3,19,4,16,0,0,1,0,0,1,1,1,0,1,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw De Blauwe Tram (2),1916::SB19,2265 CA,1000,742,0,0,0,0,0,666,76,0,0,0,0,0,742,229,63,76,139,28,26,41,8,35,4,2,5,28,2,19,2,18,3,1,0,4,4,2,0,1,0,0,0,2,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Trinity Church,1916::SB20,2261 ET,1000,999,5,2,0,0,3,909,94,0,0,0,0,0,1006,340,56,70,237,60,19,44,19,33,4,3,0,27,1,25,7,39,1,1,0,6,3,2,0,0,0,0,0,2,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Ad Hoc,1916::SB21,2261 ZB,1000,445,2,1,0,0,0,421,27,0,0,0,0,0,448,127,58,32,75,28,19,10,14,20,3,1,9,16,1,7,3,9,4,1,1,1,2,2,1,0,0,1,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw Het Koophuys,1916::SB22,2266 KN,1000,666,0,1,0,0,1,606,60,0,0,0,0,0,667,197,116,34,85,16,41,34,8,27,8,0,1,35,0,15,15,12,3,2,1,3,6,6,0,0,0,1,0,0,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Binnenhof,1916::SB23,2266 AS,1000,760,1,1,0,1,3,696,62,0,1,0,0,0,761,234,76,45,127,30,37,21,16,29,10,2,7,47,12,20,11,18,4,3,1,1,5,1,1,1,0,0,0,0,1,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw Ons Tolhuis,1916::SB24,2266 CN,1000,890,3,1,0,0,1,793,100,0,0,0,0,0,894,199,164,41,142,33,44,45,8,40,10,5,17,62,2,22,11,12,2,1,0,3,9,9,3,1,0,2,0,3,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dienstencentrum Duivenvoorde,1916::SB25,2261 AN,1000,680,3,1,0,0,1,622,61,0,0,0,0,0,684,172,86,46,130,36,43,30,18,33,9,4,3,29,7,12,5,9,1,0,1,0,0,4,1,0,0,0,0,1,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Dorpspunt,1916::SB26,2266 HA,1000,958,0,2,0,0,0,858,102,0,0,0,0,0,960,323,117,84,79,32,32,26,18,25,7,1,1,50,0,31,7,17,0,2,0,2,0,100,1,0,1,0,0,2,0,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum De Plint,1916::SB27,2263 GZ,1000,1417,4,8,0,1,2,1312,116,0,0,1,0,0,1430,290,168,101,209,90,89,113,29,43,13,3,80,68,10,34,15,18,25,6,1,2,1,3,2,0,0,2,1,0,1,,
Leiden,Leidschendam-Voorburg,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkgebouw De Heuvel,1916::SB28,2262 EB,1000,979,4,2,0,0,2,904,79,0,0,0,0,0,985,230,121,48,152,44,70,45,15,48,9,3,38,62,7,22,16,13,16,6,0,1,1,1,1,1,0,2,0,7,0,,
