contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadhuis,0119::SB1,7941 BJ,1548,1110,3,2,0,0,5,1030,80,0,0,0,0,0,1115,228,113,70,183,58,86,63,44,39,11,5,24,86,7,27,5,36,1,4,2,0,5,9,0,1,2,0,0,1,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum de Plataan (huiskamer),0119::SB2,7941 KP,1129,691,1,1,0,0,1,648,44,0,0,0,0,0,693,143,81,50,107,49,57,28,32,36,3,3,0,38,2,21,4,17,0,0,0,5,4,7,0,0,1,1,1,1,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Oosterboerschool,0119::SB3,7943 CV,749,498,0,1,0,4,3,463,37,0,0,4,0,0,503,114,32,33,91,22,32,43,35,12,7,2,0,29,3,10,6,17,0,2,0,2,1,0,0,0,1,0,3,1,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brandweerkazerne,0119::SB7,7942 HB,755,663,0,0,0,2,0,606,59,0,0,2,0,0,665,105,106,50,72,30,54,31,17,33,10,1,14,66,6,14,2,13,6,2,0,2,7,13,0,0,2,1,4,2,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Anne Frankschool,0119::SB8,7943 CV,880,668,1,1,0,1,1,611,57,0,1,0,0,0,669,155,70,47,93,39,49,40,39,23,6,4,0,40,1,16,3,17,0,1,1,1,6,11,1,1,2,0,2,0,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De MensA activeringscentrum,0119::SB10,7942 AG,1508,749,2,1,0,0,1,707,44,0,0,0,0,0,752,122,79,55,99,39,82,46,26,53,6,0,25,38,3,28,4,15,7,3,1,3,2,7,1,1,2,0,1,1,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubhuis Blue Devils,0119::SB11,7944 PA,1326,1170,1,1,0,0,1,1059,112,0,0,0,0,0,1172,319,73,108,204,38,47,50,117,33,2,12,8,72,5,30,1,22,2,0,1,1,7,12,1,0,1,0,3,0,1,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Servicepunt De Koeberg,0119::SB16,7944 GG,1400,1103,4,3,0,0,1,1011,98,0,0,0,0,0,1110,198,140,86,138,60,126,57,43,48,17,10,8,97,8,21,5,12,5,0,0,2,5,6,0,0,2,1,4,4,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum Oosterboer,0119::SB17,7943 EZ,1440,1065,0,1,0,0,4,1060,2,0,0,0,0,0,1066,244,81,113,191,50,55,76,68,43,4,5,3,54,0,25,7,19,0,4,1,3,4,8,1,0,2,0,0,4,0,,
Assen,Meppel,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Erf (H. van Boeijen),0119::SB18,7943 TA,1470,1229,3,1,0,0,3,1130,100,0,0,0,0,0,1233,302,82,133,280,46,68,70,55,39,8,10,4,41,3,32,6,21,0,0,0,2,7,10,4,1,2,0,2,1,0,,
