contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1368,1060,2,5,0,0,7,945,115,0,0,0,0,0,1067,231,88,84,158,39,65,78,40,40,13,7,7,82,0,35,3,18,3,3,1,5,6,47,1,1,0,0,4,1,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1341,870,0,1,0,0,3,798,70,0,0,0,0,0,871,220,81,104,115,28,64,77,28,26,12,9,1,35,0,11,3,9,0,0,0,4,3,35,0,2,0,0,3,0,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1443,1161,4,2,0,0,0,1051,116,0,0,0,0,0,1167,174,193,118,93,29,121,134,33,17,12,1,3,126,2,22,5,16,0,3,2,5,3,42,0,0,1,0,5,1,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkgebouw De Ark,1731::SB4,9411 NX,1666,563,1,1,0,0,2,510,53,0,0,0,0,0,565,121,72,58,76,21,38,46,18,5,9,8,0,44,1,5,1,9,0,0,1,0,4,22,1,0,0,0,3,0,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zalencentrum De Valkenhof,1731::SB5,9411 LG,1839,1150,1,0,0,4,0,1038,117,0,0,4,0,0,1155,281,100,169,166,39,74,64,50,22,10,2,1,54,0,34,5,8,0,4,0,3,4,53,0,2,0,1,2,2,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Dorpshoeve,1731::SB6,9415 PJ,850,662,0,0,0,0,1,600,61,0,0,0,0,0,662,133,92,96,56,21,27,24,21,29,7,9,0,39,1,24,2,6,0,0,0,1,3,69,2,0,0,0,0,0,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,1192,963,0,4,0,0,29,863,75,0,0,0,0,0,967,221,92,114,120,35,51,67,68,30,5,17,0,52,0,24,2,7,0,0,1,2,1,45,1,0,3,0,5,0,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1556,1072,0,0,0,0,2,946,124,0,0,0,0,0,1072,224,118,119,108,27,60,57,28,37,11,11,0,87,1,27,5,17,0,5,0,2,1,120,0,1,1,0,5,0,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kerkelijk Centrum De Voorhof,1731::SB9,9431 AZ,1363,765,4,0,0,0,13,691,66,0,0,1,0,1,770,180,49,114,112,36,38,49,17,35,13,9,0,41,1,17,1,10,0,0,0,0,1,36,1,1,0,0,2,2,0,,
Assen,Midden-Drenthe,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1042,660,1,0,0,0,0,601,61,1,0,1,0,0,662,143,66,68,103,40,41,73,6,22,8,3,0,29,0,5,2,18,0,0,0,0,1,31,1,0,0,0,0,0,0,,
