contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkaccommodatie De Wester,0815::SB3,5451 XG,1837,1243,1,0,0,0,0,1125,125,0,0,0,0,0,1250,346,235,123,137,25,147,26,8,35,15,2,4,51,2,31,3,11,1,0,0,2,3,26,2,0,0,0,7,1,0,0,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Jachthoorn,0815::SB4,5454 GH,1216,858,4,1,0,0,0,783,80,0,0,0,0,0,863,202,113,145,104,17,63,20,5,33,20,1,1,45,0,22,3,13,0,2,0,0,2,45,0,0,0,1,1,0,0,0,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapsaccommodatie De Wis,0815::SB5,5453 JN,1856,1367,2,5,0,0,0,1211,164,0,0,0,0,0,1375,426,156,224,152,35,142,30,5,29,15,0,1,46,1,29,3,26,0,1,0,2,5,30,0,0,0,1,5,2,0,1,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Wilg,0815::SB6,5455 GJ,856,689,0,0,0,0,0,617,72,0,0,0,0,0,689,187,65,184,89,11,42,15,2,17,1,1,0,22,0,2,1,17,0,0,1,0,2,23,0,0,0,1,3,2,0,1,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal De Looierij,0815::SB102,5451 PA,1570,801,1,2,0,0,0,704,101,0,0,0,0,0,805,288,83,103,95,25,45,17,3,20,6,1,0,26,1,18,3,7,0,3,0,1,4,48,0,0,0,0,2,0,0,2,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum Myllesweerd,0815::SB103,5451 BM,1574,963,1,2,0,0,6,840,121,0,0,0,0,0,967,285,122,115,114,24,94,40,4,6,13,1,2,58,2,20,2,17,0,2,0,1,1,36,1,0,0,0,0,2,0,1,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum Myllesweerd vervroegd stemmen maandag,0815::SB104,5451 BM,0,318,1,0,0,0,0,294,25,0,0,0,0,0,319,73,28,94,29,9,36,14,0,7,8,0,0,0,1,9,1,2,0,0,0,0,2,4,1,0,0,0,0,0,0,0,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cultureel Centrum Myllesweerd vervroegd stemmen dinsdag,0815::SB105,5451 BM,0,369,2,0,0,0,0,331,40,0,0,0,0,0,371,116,51,72,35,7,40,12,3,6,2,0,0,6,0,12,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau tellen stemmen ontvangen t/m 16-3-2021,0815::SB106,5451 BM,0,711,0,0,0,0,,,,,0,0,,,711,198,56,222,21,4,103,51,6,6,23,2,0,3,0,6,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0
's-Hertogenbosch,Mill en Sint Hubert,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau vooropening+tellen stemmen ontvangen op 17-3-2021,0815::SB107,5451 BM,0,15,0,0,0,0,,,,,0,0,,,15,5,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
