contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Dokkum,1970::SB1,9101 LP,1457,825,2,7,0,0,4,778,52,0,0,0,0,0,834,138,75,118,110,34,63,44,51,43,3,8,2,72,0,15,2,17,0,3,0,6,4,10,0,1,0,0,4,0,0,2,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Rehoboth Gemeente,1970::SB2,9101 AB,1299,829,1,1,0,0,0,766,65,0,0,0,0,0,831,92,69,195,94,18,61,50,82,19,2,10,0,85,0,12,7,18,0,1,1,1,1,9,1,0,0,1,0,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Chr. Geref. Kerk de Oase,1970::SB3,9101 HX,1286,663,0,0,0,2,0,605,60,0,0,2,0,0,665,110,64,126,64,25,22,35,92,21,8,12,0,59,0,7,2,5,0,2,0,0,1,7,0,0,0,0,1,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal de Ljurk,1970::SB4,9101 GX,1040,773,3,3,0,0,2,705,72,0,0,0,0,0,779,56,131,107,72,32,80,30,67,33,5,13,7,97,2,6,5,6,0,1,0,1,6,14,0,0,0,1,1,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Fontein,1970::SB5,9101 DG,1212,908,0,4,0,0,2,826,84,0,0,0,0,0,912,122,120,139,95,19,69,59,71,29,5,16,0,101,2,16,6,11,1,2,0,1,3,15,0,0,0,4,1,0,0,1,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Doelstien,1970::SB6,9101 VP,910,498,0,0,0,0,2,450,46,0,0,0,0,0,498,68,44,88,65,14,37,28,58,15,6,6,1,43,0,10,1,5,0,1,0,0,1,5,1,0,0,0,1,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Groen van Prinsterer,1970::SB7,9101 CL,1278,596,1,0,0,0,0,548,49,0,0,0,0,0,597,77,83,93,60,27,45,26,30,16,5,14,0,70,1,18,1,5,1,3,0,0,8,12,0,0,0,0,1,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS De Bron,1970::SB8,9101 WB,1113,929,0,0,0,0,1,834,94,0,0,0,0,0,929,187,58,175,121,30,55,48,82,26,7,13,0,61,1,31,5,11,0,1,1,2,1,8,0,0,0,0,3,1,0,1,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS De Pionier,1970::SB9,9101 SC,617,479,0,1,0,0,0,435,45,0,0,0,0,0,480,109,38,98,59,13,17,17,34,15,2,10,0,36,0,16,0,4,0,0,0,0,0,9,0,1,0,0,1,0,0,0,,
Leeuwarden,Noardeast-Fryslân,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau MFA de Dobbe,1970::SB10,9133 MA,876,585,0,2,0,0,27,486,74,0,0,0,0,0,587,77,105,100,28,4,22,15,29,12,3,11,1,127,2,12,1,4,3,0,2,0,1,23,0,1,0,0,2,0,0,0,,
