contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Oude Jeroenskerk,0575::SB1,2201HW,1509,1196,3,2,0,0,4,1055,143,1,0,1,0,0,1202,391,116,91,222,43,32,30,13,54,7,1,0,72,9,52,7,41,1,2,0,1,1,0,0,2,2,2,2,2,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Vinkenhof,0575::SB2,2201 EM,1491,1145,5,3,0,2,0,1030,125,0,0,2,0,0,1155,350,133,101,182,44,52,38,23,41,8,3,0,69,1,40,14,25,6,0,1,2,6,2,2,2,0,0,0,0,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal Binnenhof,0575::SB3,2201LA,1681,722,1,0,0,0,0,672,51,0,0,0,0,0,723,245,69,68,118,37,26,14,11,34,7,0,2,37,1,22,5,18,0,1,0,0,2,4,0,1,0,0,0,0,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Wieken,0575::SB4,2201 RD,1535,1114,2,4,0,0,1,1026,93,0,0,0,0,0,1120,288,165,66,145,36,75,47,11,52,12,3,15,83,5,49,16,17,8,1,0,2,6,4,1,2,1,0,2,2,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Noordwijkse Hockey Club,0575::SB5,2201TK,1782,733,2,2,6,0,1,654,76,0,6,0,0,0,731,269,85,50,139,27,33,17,9,16,3,1,5,27,4,28,2,14,0,0,0,1,0,2,0,0,0,0,0,1,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal Duinwetering,0575::SB6,2203HM,1395,1041,0,3,0,0,2,951,91,0,0,0,0,0,1044,304,118,64,162,46,53,29,20,44,13,2,20,80,2,30,6,26,8,0,3,2,2,3,1,0,0,1,0,1,1,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Buurtkerk,0575::SB7,2202 GD,1268,743,1,2,1,0,7,652,86,0,1,0,0,0,745,298,69,61,107,18,8,15,10,32,2,0,0,51,3,37,3,26,1,0,0,1,1,0,0,0,0,0,0,0,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Het Trefpunt,0575::SB8,2202 HJ,1189,738,2,1,0,0,3,675,63,0,0,0,0,0,741,248,102,41,107,24,21,22,11,29,4,3,0,55,1,36,3,21,0,3,0,1,2,3,0,0,0,0,0,1,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Muze,0575::SB9,2202 NS,1188,947,0,0,1,0,9,851,88,0,0,1,0,0,948,325,105,49,159,40,19,32,9,41,5,2,4,64,2,28,3,36,5,1,1,2,7,3,3,0,0,0,0,2,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal Stijntjesduinstraat,0575::SB10,2202LB,1096,388,0,0,0,0,0,359,29,0,0,0,0,0,388,121,56,20,53,18,15,11,8,12,1,1,0,35,1,17,4,10,0,0,0,0,2,0,0,1,0,0,0,2,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal Hoogwakersbosstraat,0575::SB11,2202SP,1325,781,0,0,0,0,1,691,89,0,0,0,0,0,781,253,84,76,147,30,21,21,16,28,7,0,2,37,1,18,2,21,2,0,1,1,7,2,2,0,0,0,0,2,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Fletcher Hotel De Witte Raaf,0575::SB12,2204 AT,1153,723,1,2,0,0,14,633,79,0,0,0,0,0,726,283,89,48,106,20,8,16,12,25,3,1,0,41,5,37,1,21,0,0,0,2,0,5,0,0,0,0,0,0,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Sportzaal Vinkeveld,0575::SB13,2201XK,1296,990,2,1,0,2,2,896,97,0,0,2,0,0,995,271,115,62,171,54,57,52,10,41,14,2,1,55,2,33,7,20,0,2,0,3,11,4,0,1,0,1,0,1,0,,
Leiden,Noordwijk,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Uitvaltij (voormalig basisschool),0575::SB14,2201 WL,1256,903,1,2,0,6,1,820,79,0,6,0,0,0,900,233,90,89,129,54,66,51,20,32,10,1,1,53,4,38,5,14,5,1,1,2,2,1,0,0,0,1,0,0,0,,
