contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubgebouw Atletico 73 Gendringen,1509::SB1,,1779,833,4,1,0,2,0,763,77,0,0,2,0,0,840,230,91,93,129,27,70,20,13,22,9,1,15,23,5,26,7,10,4,1,0,3,2,25,0,0,2,0,5,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sportzaal Prinsenhof Gendringen,1509::SB2,,1713,1224,1,3,0,1,2,1125,102,0,0,1,0,0,1229,263,176,154,163,35,115,73,23,27,17,4,9,50,0,44,6,11,1,2,0,2,3,42,0,0,0,0,4,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau DRU Industriepark Popzaal Ulft,1509::SB3,,1978,1218,0,1,0,0,5,1087,127,0,0,0,0,0,1219,316,120,86,179,71,95,60,9,50,15,3,39,65,4,34,7,20,4,5,2,4,5,17,1,1,0,0,3,0,3,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Clubgebouw SDOUC,1509::SB4,,1585,1033,1,3,0,1,2,933,103,0,0,1,0,0,1038,299,102,99,185,40,64,47,5,25,12,0,16,55,4,33,4,18,0,1,2,1,1,15,0,0,0,0,2,0,3,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Eendracht Ulft,1509::SB5,,1710,1018,1,2,0,0,0,911,110,0,0,0,0,0,1021,215,155,79,129,54,87,53,8,25,12,0,54,54,0,18,3,16,1,5,3,0,2,38,2,1,1,0,2,0,1,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau St Joris Ulft,1509::SB6,,1696,1186,1,1,0,1,2,1051,136,0,0,1,0,0,1189,323,159,120,196,38,112,65,8,28,17,2,24,36,1,16,2,8,1,1,0,1,4,15,3,0,0,0,6,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gildegebouw Netterden,1509::SB7,,392,341,2,0,0,0,5,308,30,0,0,0,0,0,343,78,35,59,27,3,21,12,3,16,5,2,0,13,0,14,3,2,0,0,1,1,0,45,0,0,0,0,1,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Koster Etten,1509::SB8,,1510,1097,3,3,0,0,2,1051,50,0,0,0,0,0,1103,282,113,177,133,35,66,41,13,29,11,3,4,47,3,48,1,12,0,3,0,2,3,67,0,1,0,0,3,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuus Varsselder,1509::SB9,,667,524,1,0,0,0,1,472,52,0,0,0,0,0,525,161,64,81,74,11,17,21,3,3,6,1,0,14,0,12,2,6,0,1,1,1,1,44,0,0,0,0,0,0,0,,
Arnhem,Oude IJsselstreek,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Koenders Breedenbroek,1509::SB10,,860,563,0,0,0,0,2,521,40,0,0,0,0,0,563,152,40,122,53,23,31,11,18,8,4,2,0,22,1,14,0,2,0,0,0,1,0,59,0,0,0,0,0,0,0,,
