contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Huis van de Gemeente,1894::SB1,5981 CC,1675,1081,2,4,0,0,8,928,151,0,0,0,0,0,1087,254,170,195,102,44,63,31,5,22,11,0,29,72,1,25,0,14,17,0,0,2,0,16,0,1,0,2,2,0,3,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Houbereij,1894::SB2,5981 CH,1835,1200,3,2,0,1,1,1055,150,0,0,1,0,0,1206,244,218,168,122,42,95,51,5,22,10,0,32,89,0,39,1,12,7,3,0,2,0,24,2,1,0,2,7,0,2,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis in Kepèl,1894::SB3,5981 CD,1703,346,0,1,0,0,1,302,44,0,0,0,0,0,347,67,46,53,50,14,24,24,0,8,4,0,7,20,1,13,1,7,1,0,0,1,0,5,0,0,0,0,0,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum Kerkeböske,1894::SB4,5988 NE,1614,809,0,0,0,0,0,683,126,0,0,0,0,0,809,217,124,115,93,18,50,18,1,23,10,0,6,57,0,32,0,8,0,1,0,2,2,26,3,1,0,1,1,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpscentrum Kerkeböske,1894::SB5,5988 NE,1503,787,3,1,0,0,0,689,102,0,0,0,0,0,791,178,132,135,120,20,27,24,3,21,6,0,5,34,0,31,2,14,3,0,0,1,3,25,0,0,2,0,0,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Wieksjlaag,1894::SB6,5986 AH,1686,1170,0,1,0,2,3,1008,158,0,2,0,0,0,1169,270,173,260,103,34,67,35,3,15,10,0,1,77,0,39,4,9,2,2,0,2,6,54,0,2,1,0,0,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Ankerplaats,1894::SB7,5985 PG,1327,937,2,0,0,1,0,836,104,0,0,1,0,0,940,202,194,145,66,21,74,20,2,12,17,1,0,72,1,27,5,6,0,0,1,3,5,58,0,1,1,1,0,0,2,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis De Sprunk,1894::SB8,5984 PJ,1016,648,1,0,0,0,2,580,67,0,0,0,0,0,649,124,135,103,70,23,40,23,6,11,18,0,0,20,1,11,2,13,0,0,0,0,2,41,1,0,0,1,3,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis 't Erf,1894::SB9,5987 AR,1093,792,2,0,0,0,1,679,114,0,0,0,0,0,794,206,114,144,110,14,34,18,1,16,4,0,1,46,0,25,2,12,0,1,1,2,0,37,2,0,1,1,0,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Vermaekerij,1894::SB10,5993 AW,1602,1085,2,1,0,0,0,961,127,0,0,0,0,0,1088,285,157,167,126,32,63,55,4,21,12,1,0,60,4,38,4,20,0,0,0,2,3,24,0,2,0,1,4,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal D'n Adelaer,1894::SB11,5993 CR,1868,1343,2,1,0,0,2,1182,162,0,0,0,0,0,1346,355,179,216,177,43,75,57,7,25,10,0,2,90,0,44,4,22,0,3,1,1,1,19,1,0,2,4,3,0,2,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hoës van Bree,1894::SB12,5993 BT,1586,1009,6,1,0,0,0,900,116,0,0,0,0,0,1016,253,123,171,143,30,75,37,5,22,15,2,1,57,0,29,2,18,1,0,1,1,2,12,0,5,0,0,3,0,0,1,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal Unitas,1894::SB13,5991 AX,1847,875,1,0,0,0,0,752,124,0,0,0,0,0,876,228,124,103,136,28,28,34,5,24,6,3,1,63,2,41,1,9,0,0,0,5,0,26,4,1,0,3,0,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sjiwa Baarlo,1894::SB14,5991 XC,1482,955,6,0,0,3,5,856,97,0,3,0,0,0,958,237,175,94,112,32,51,43,4,28,21,1,1,70,2,27,5,15,0,2,0,1,1,25,1,0,0,4,1,0,2,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal de Kazing,1894::SB15,5991 PX,1824,1171,0,2,0,1,0,1029,143,0,1,0,0,0,1172,289,206,138,161,44,65,56,7,31,14,0,1,68,4,35,1,16,1,1,1,0,4,18,0,1,3,5,0,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis de Paort,1894::SB16,5995 BB,1182,743,0,0,0,0,2,651,90,0,0,0,0,0,743,198,132,86,87,23,24,23,3,18,5,1,0,31,0,34,7,16,0,0,0,0,2,50,0,0,0,3,0,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Achter de Häöf,1894::SB17,5995 BK,1408,738,2,0,0,1,2,655,84,0,0,1,0,0,741,206,121,84,94,19,36,25,2,11,13,2,0,42,0,19,3,14,1,0,2,1,1,37,1,0,0,1,2,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis Kessel-Eik,1894::SB18,5995 NM,631,433,2,1,0,0,0,372,64,0,0,0,0,0,436,83,78,57,50,7,16,13,3,12,4,2,0,29,1,17,2,2,0,0,0,0,3,50,0,1,0,2,1,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis d'n Binger,1894::SB19,5768 BE,1787,799,1,0,0,1,0,689,110,0,1,0,0,0,799,261,133,90,79,21,35,24,5,14,4,1,0,57,1,18,1,14,0,1,0,3,1,33,1,0,0,1,1,0,0,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeenschapshuis d'n Binger,1894::SB20,5768 BE,1649,699,4,0,0,0,1,599,103,0,0,0,0,0,703,246,125,62,78,14,40,15,2,10,5,1,1,41,0,20,4,9,0,1,0,4,2,14,0,0,0,4,0,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sint-Nicolaaskerk,1894::SB21,5768 AR,1468,1292,5,2,0,0,2,1167,130,0,0,0,0,0,1299,380,218,153,172,32,71,36,5,33,15,2,0,70,3,34,1,15,0,1,0,1,3,41,0,1,2,1,1,0,1,0,,
Maastricht,Peel en Maas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau DOK6,1894::SB22,5981 AT,1503,822,2,1,0,0,3,751,71,0,0,0,0,0,825,142,128,123,113,33,59,35,1,20,6,0,8,52,2,38,10,12,12,1,2,3,5,11,1,1,0,2,2,0,0,0,,
