contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brede School Noorderpolder Theo Thijssen,1676::SB1,4301 NW,1196,845,2,0,0,1,3,760,85,0,0,1,0,0,848,271,68,89,114,31,33,27,32,32,7,43,0,37,0,31,0,10,0,0,2,0,3,14,0,0,0,0,1,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1081,717,0,1,0,0,8,636,74,0,0,0,0,0,718,165,84,48,82,16,56,52,48,42,14,14,0,52,1,11,1,5,1,0,0,1,0,18,2,0,0,1,3,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,766,568,0,1,0,0,3,513,53,0,0,0,0,0,569,158,51,30,78,13,47,13,16,45,7,32,0,35,4,13,1,1,0,2,2,0,1,19,0,0,0,0,0,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,665,476,0,0,0,0,1,423,52,0,0,0,0,0,476,135,45,52,61,14,10,24,18,20,6,30,0,16,1,20,0,5,0,1,0,0,0,14,1,0,0,1,2,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,611,461,2,0,0,0,1,414,48,0,0,0,0,0,463,111,38,51,55,19,19,22,14,29,7,18,0,29,2,7,2,5,0,0,0,0,2,28,0,0,0,0,3,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1437,885,0,3,0,0,10,761,118,0,0,1,0,0,889,237,106,92,70,10,23,21,28,17,6,157,1,47,0,38,2,9,0,2,0,0,1,16,1,1,0,0,0,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1480,832,2,0,0,1,3,689,141,0,1,0,0,0,833,196,84,95,40,11,22,29,45,9,6,185,0,59,0,27,4,2,1,0,1,1,3,11,0,1,0,0,0,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verenigingsgebouw Ons Dorpshuis,1676::SB8,4306 CA,956,808,0,0,0,0,0,693,115,0,0,0,0,0,808,125,80,55,41,7,15,17,52,13,4,309,1,37,0,25,4,7,0,0,0,0,5,9,0,2,0,0,0,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Gemeentelijke gymzaal Nieuwerkerk, ingang via Burg.van Eetenstraat",1676::SB9,4306 CN,1079,699,1,2,0,1,3,700,0,0,0,1,0,0,703,124,68,68,39,10,31,18,43,15,7,181,0,35,1,37,3,4,0,0,0,0,1,13,0,1,0,0,0,0,,
Middelburg,Schouwen-Duiveland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,829,606,2,2,0,2,1,514,97,0,0,2,0,0,612,103,34,48,18,5,14,10,32,14,3,262,0,23,0,10,1,1,0,0,0,0,1,24,3,0,0,0,0,0,,
