contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 15 maart,1581::SB901,,0,3621,1,7,0,20,,,,,20,0,,,3609,0,0,897,208,716,444,108,151,348,281,150,64,120,8,11,0,53,2,39,0,1,0,1,2,3,2,8,0,1,0,0,0,3
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 16 maart,1581::SB902,,0,394,1,1,0,11,,,,,0,11,,,407,0,0,54,28,74,64,11,25,28,33,21,9,23,2,4,1,8,1,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 17 maart,1581::SB903,,0,137,1,0,0,2,,,,,2,0,,,136,0,0,25,9,24,16,2,10,14,6,9,3,8,2,3,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nieuw Salem 15 maart,1581::SB101,,0,801,3,0,0,1,0,712,93,0,0,1,0,0,805,,,172,41,104,129,57,45,71,51,56,7,10,6,12,1,14,0,16,7,0,0,0,1,0,0,0,0,0,0,0,0,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nieuw Salem 16 maart,1581::SB102,,0,772,0,0,0,1,3,693,77,0,0,1,0,0,773,,,165,59,86,143,40,36,69,32,46,6,18,5,15,3,14,0,24,4,0,0,0,0,2,0,1,1,0,0,0,0,3
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Nieuw Salem 17 maart,1581::SB103,,1783,1631,6,1,0,0,6,1471,161,0,0,0,0,0,1638,,,328,74,71,396,141,59,69,47,140,7,34,40,68,11,29,4,84,2,2,0,2,10,7,1,0,0,0,0,0,1,4
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS Instituut Coolsma,1581::SB104,,1732,1228,1,1,0,0,4,1093,133,0,0,0,0,0,1230,,,368,61,70,382,70,15,32,27,71,2,14,0,20,2,26,2,53,2,0,0,2,4,0,1,2,0,1,1,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Beukenhorst,1581::SB107,,1512,783,0,1,0,0,3,697,84,0,0,0,0,0,784,,,170,34,60,189,58,17,29,35,54,7,21,20,27,2,13,1,26,4,0,1,2,1,8,0,1,0,0,3,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Immanuëlkerk,1581::SB108,,1573,759,4,2,0,0,1,687,77,0,0,0,0,0,765,,,120,29,36,209,74,18,28,36,42,4,30,37,24,1,9,0,36,12,1,0,0,4,6,1,0,0,0,0,0,0,2
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau CBS De Uilenburcht,1581::SB109,,1500,1149,0,1,0,1,0,1031,120,0,0,1,0,0,1151,,,257,94,84,273,76,35,43,34,67,7,12,51,32,6,21,3,41,0,3,0,4,1,1,1,1,0,0,1,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ger.Kerk 'de Bron',1581::SB110,,1642,965,3,1,0,1,3,881,86,0,0,1,0,0,970,,,234,91,53,172,70,34,63,46,52,7,13,24,33,4,20,2,27,0,2,3,0,3,3,2,0,1,1,0,0,4,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Hoge Licht,1581::SB111,,1702,1169,0,1,0,0,1,1055,114,0,0,0,0,0,1170,,,240,96,78,234,106,63,50,64,66,10,21,20,41,4,25,2,33,3,2,0,1,4,2,0,1,0,0,2,0,0,1
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Twee Marken 15 maart,1581::SB201,,0,361,0,0,0,2,3,333,27,0,0,2,0,0,363,,,83,28,42,70,12,21,35,21,18,5,6,0,3,1,5,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Twee Marken 16 maart,1581::SB202,,0,315,1,2,0,0,3,291,24,0,0,0,0,0,318,,,88,20,33,65,9,17,22,4,16,1,7,0,5,1,11,1,9,0,0,0,1,1,2,2,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Twee Marken 17 maart,1581::SB203,,1290,968,1,0,0,0,6,902,62,1,0,1,0,0,970,,,232,73,73,212,79,37,35,27,63,3,9,4,36,6,26,1,37,0,3,0,0,1,1,1,1,0,0,7,0,1,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingskapel,1581::SB204,,908,778,0,1,0,0,6,705,68,0,0,0,0,0,779,,,157,43,58,179,70,26,36,37,55,0,17,4,21,1,19,1,42,0,1,3,1,5,2,0,0,0,0,0,0,0,0
Utrecht,Utrechtse Heuvelrug,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpskerk,1581::SB205,,1069,758,2,0,0,0,3,672,85,0,0,0,0,0,760,,,206,70,79,94,34,15,31,36,26,4,48,0,40,4,23,3,29,0,0,0,1,3,8,0,0,4,0,0,0,0,0
