contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,Trots op Nederland (TROTS),U-Buntu Connected Front,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0453::SB1,1971 EN,1849,1397,4,8,0,0,7,1259,142,0,1,0,0,0,1408,259,290,62,168,66,112,54,20,51,21,9,21,154,8,35,8,24,3,2,0,2,8,3,2,0,2,9,1,3,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woon en zorgcentrum Huis ter Hagen,0453::SB2,1985 CV,135,53,0,4,0,0,0,57,0,0,0,0,0,0,57,16,5,20,3,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Toermalijn,0453::SB3,1985 HB,1396,1115,3,2,0,2,3,1011,108,0,0,2,0,0,1122,332,56,89,310,54,23,54,20,59,5,0,0,29,0,42,2,32,0,3,0,0,1,2,0,0,1,1,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Engelmunduskerk oud velsen,0453::SB4,1981 BH,1603,894,0,0,0,0,3,798,93,0,0,0,0,0,894,270,94,58,185,29,31,50,23,34,4,3,3,37,2,25,2,33,0,2,1,2,2,1,0,2,1,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Waterloozaal,0453::SB5,1985 EP,1359,802,4,0,0,0,1,728,77,0,0,0,0,0,806,249,35,36,233,56,20,30,13,36,4,4,0,35,2,24,2,15,0,0,0,2,3,1,1,1,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau gem. zaal Roos en Beek appartementencomlex,0453::SB10,2071 SM,1599,1083,3,0,0,1,2,981,104,0,0,1,1,0,1087,284,52,67,286,76,45,51,18,69,10,0,3,37,3,27,0,41,0,2,0,4,3,3,0,0,0,2,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Cafe Zaal De Wildeman,0453::SB11,2071 EL,1723,1648,5,1,0,2,0,1521,135,0,0,2,0,0,1656,465,164,89,371,91,52,72,21,78,10,1,1,69,12,48,1,62,0,3,3,3,7,13,1,0,2,4,0,2,3,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tennispark Brederode,0453::SB12,2082 BS,720,340,3,0,0,0,1,308,34,0,0,0,0,0,343,110,20,13,102,17,4,14,2,13,0,0,0,13,2,7,1,18,0,0,0,0,3,0,0,0,0,0,0,1,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Bosbeekschool, ingang schoolplein",0453::SB13,2071 AW,1670,1029,1,2,0,0,1,937,93,0,1,0,0,0,1031,236,65,59,281,53,46,65,20,58,10,7,1,41,3,33,4,33,0,1,0,3,6,1,1,0,1,1,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Brederode Huys,0453::SB14,2082 GE,1301,1112,1,3,0,0,4,1010,102,0,0,0,0,0,1116,302,38,70,313,79,24,42,10,72,4,4,2,32,7,29,6,64,0,3,1,0,3,2,1,0,0,0,0,3,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brederode Daltonschool,0453::SB16,2082 BD,1233,451,2,0,0,0,3,414,36,0,0,0,0,0,453,139,15,14,137,29,3,22,5,18,1,1,6,14,1,9,3,30,0,0,0,0,0,1,0,0,0,2,0,0,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau COB Hofstede,0453::SB17,1991 PT,1856,1041,3,0,0,0,2,947,95,0,0,0,0,0,1044,258,117,52,183,48,69,53,42,47,14,5,4,68,3,30,6,26,0,3,0,3,2,2,1,1,0,4,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jongerencentrum de Koe,0453::SB18,1991 JE,1759,1377,1,1,0,7,2,1369,1,0,7,0,0,0,1372,388,161,91,253,58,55,57,46,43,14,0,6,94,4,40,8,30,2,2,0,4,3,7,1,1,1,5,0,2,0,1,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Westbroek,0453::SB19,1991 NN,1717,1656,1,3,0,0,0,1507,154,1,0,1,0,0,1661,452,170,108,293,98,95,76,42,66,19,2,11,76,4,55,8,49,2,2,3,4,11,1,0,1,4,4,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Hoeksteen,0453::SB20,1991 ET,1949,1231,1,0,0,1,2,1113,118,0,0,1,0,0,1233,372,160,70,174,53,70,60,30,51,15,0,5,85,3,24,11,22,0,3,1,4,6,4,3,0,2,3,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Polderhuis,0453::SB22,1991 RK,1653,990,1,0,0,0,0,898,93,0,0,0,0,0,991,275,107,60,183,48,51,41,20,42,5,3,6,51,2,39,3,28,0,5,1,2,7,2,2,2,1,2,0,1,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Polderhuis 2,0453::SB23,1991 RK,1684,1062,1,0,0,0,2,955,107,1,0,1,0,0,1064,315,108,67,189,55,57,45,18,43,13,1,3,61,7,38,4,17,0,4,1,5,3,4,2,0,0,1,0,0,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Het Polderhuis 3,0453::SB24,1991 RK,1673,928,2,1,0,1,0,836,94,0,1,0,0,0,930,276,86,49,166,55,41,32,15,48,12,0,5,50,5,36,3,24,0,3,0,4,5,4,0,3,0,3,0,2,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal IJmuiden-Oost,0453::SB32,1971 HN,1855,974,2,1,0,0,1,973,3,0,0,0,0,0,977,201,169,44,144,45,64,30,18,45,13,2,3,103,3,36,8,22,1,5,0,3,2,5,1,1,0,2,0,4,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stadsschouwburg Velsen,0453::SB33,1971 NS,1774,1280,3,2,0,1,1,1139,146,0,0,1,0,0,1286,301,186,73,206,66,75,63,11,63,13,2,6,107,1,40,9,26,0,1,1,1,6,4,3,2,1,10,0,3,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Willemsbeekzaal,0453::SB35,1971 GZ,1862,890,2,3,0,0,1,819,75,0,0,0,0,0,895,163,184,43,93,36,61,29,12,40,16,1,8,106,4,33,7,22,2,3,0,0,6,4,2,1,1,9,0,3,0,1,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis De Spil,0453::SB36,1971 VZ,1843,1135,3,3,0,0,0,1026,115,0,0,0,0,0,1141,182,253,46,138,38,109,41,24,54,14,2,26,128,10,25,4,18,0,1,1,2,4,5,3,0,0,6,0,0,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kennemerzaal,0453::SB40,1972 XB,2039,1384,2,4,0,0,2,1221,167,0,0,0,0,0,1390,293,288,64,169,48,89,60,20,53,14,3,33,137,6,42,10,24,0,4,0,1,2,9,2,2,1,6,0,3,0,1,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Verpleeghuis Velserduin,0453::SB41,1972 TL,78,11,1,0,0,0,0,12,0,0,0,0,0,0,12,1,2,1,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woon-en zorgcentrum W.F. Visserhuis,0453::SB44,1972 EE,113,19,0,0,0,0,0,19,0,0,0,0,0,0,19,5,5,1,0,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau IJmuider Zee en Havenmuseum,0453::SB46,1973 AK,1672,1190,0,3,0,0,3,1058,132,0,0,0,0,0,1193,243,245,68,144,45,70,46,30,41,14,7,11,126,3,35,11,19,2,4,0,6,1,7,2,2,0,5,0,3,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis De Brulboei,0453::SB48,1975 BJ,2009,1059,3,1,0,0,1,972,90,0,0,0,0,0,1063,183,242,56,107,37,66,47,13,40,10,1,15,144,9,40,6,16,7,1,0,4,4,1,2,1,0,5,0,2,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wooncentrum Breezicht,0453::SB49,1975 EA,85,17,0,0,0,0,0,17,0,0,0,0,0,0,17,5,2,1,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Woonzorgcentrum De Moerberg,0453::SB50,1973 XM,105,40,0,0,0,0,0,40,0,0,0,0,0,0,40,4,4,7,2,3,2,13,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau IJ.V.V. Stormvogels,0453::SB51,1973 XM,1857,843,5,1,0,0,0,752,97,0,0,0,0,0,849,163,161,35,108,29,67,42,10,22,14,1,30,71,6,31,4,9,8,1,0,1,3,7,0,0,2,11,0,6,0,1,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Zeewijk,0453::SB53,1973 BE,1515,720,4,1,0,2,2,651,74,0,0,2,0,0,727,118,167,36,100,17,50,31,12,28,7,2,29,74,2,20,6,11,1,2,0,0,3,0,1,0,1,1,0,1,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Zeewijk 2,0453::SB54,1973 BE,1631,633,0,0,0,0,2,574,57,0,0,0,0,0,633,122,157,31,64,22,46,28,2,12,3,0,20,81,3,13,4,5,0,5,0,3,0,3,0,0,0,7,0,2,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Basisschool De Origon,0453::SB55,1974 TV,1450,815,1,3,0,0,1,739,79,0,0,0,0,0,819,182,159,43,94,38,49,26,28,35,3,3,14,91,4,25,3,8,0,0,0,1,1,2,1,0,0,5,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurtcentrum de Dwarsligger,0453::SB56,1974 BP,1501,868,2,3,0,1,2,806,64,0,1,0,0,0,872,150,158,27,110,39,71,38,18,28,16,3,71,86,8,17,3,7,4,2,0,3,1,3,0,0,1,4,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dienstencentrum Zeewijk,0453::SB57,1974 PC,1552,706,4,3,0,0,0,644,69,0,0,0,0,0,713,120,127,47,89,19,66,50,16,28,6,1,31,53,6,27,5,7,1,2,1,0,2,1,0,0,0,0,0,0,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijkcentrum de Stek,0453::SB81,1951 CD,1902,1191,0,4,0,0,1,1089,101,0,0,0,0,0,1191,196,270,45,106,42,112,34,18,50,8,4,73,129,8,31,4,18,4,4,0,5,4,6,1,2,3,6,1,4,2,1,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Voetbalvereniging F.C. Velsenoord,0453::SB83,1951 HH,1666,673,1,3,0,0,2,611,64,0,0,0,0,0,677,80,145,24,71,35,63,20,11,27,10,4,47,84,10,9,2,10,2,4,0,0,1,6,0,0,1,5,0,1,1,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 Stadhuis  10 maart,0453::SB90,1971 GC,0,579,0,0,0,0,,,,,0,0,,,579,179,59,88,58,5,44,72,16,13,21,4,0,7,0,7,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 Stadhuis 11 maart,0453::SB91,1971 GC,0,821,0,1,0,2,,,,,0,2,,,824,233,90,142,73,11,75,97,22,26,14,1,4,10,0,11,3,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 Stadhuis 12 maart,0453::SB92,1971 GC,0,967,1,2,0,0,,,,,0,0,,,970,237,111,142,102,22,83,124,48,33,31,4,0,3,0,17,0,5,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 Stadhuis 15 maart,0453::SB93,1971 GC,0,857,1,3,0,0,,,,,1,0,,,860,229,114,118,76,19,74,110,37,27,17,3,1,8,0,12,2,4,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1 Stadhuis 16 maart,0453::SB94,1971 GC,0,646,1,1,0,0,,,,,0,0,,,648,179,73,104,59,18,50,74,10,26,10,0,1,9,0,21,1,4,0,0,1,0,1,0,0,3,0,1,0,0,0,1,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2 stadhuis 17 maart,0453::SB99,1971 GC,0,81,2,0,0,0,,,,,0,0,,,83,22,11,10,10,1,4,4,1,8,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis maandag,0453::SB101,1971 EN,0,524,1,2,0,0,3,467,57,0,0,0,0,0,527,112,77,61,65,23,56,40,13,13,8,1,3,20,0,20,3,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau gem. zaal Roos en Beek appartementencomlex maandag,0453::SB110,2071 SM,0,417,0,0,0,0,0,384,33,0,0,0,0,0,417,103,31,52,74,22,20,50,15,15,9,1,0,5,0,11,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
Haarlem,Velsen,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau 't Brederode Huys maandag,0453::SB114,2082 GE,0,230,0,0,0,0,0,210,20,0,0,0,0,0,230,57,12,23,54,8,11,17,7,13,2,3,0,3,1,10,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
