contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,DE FEESTPARTIJ (DFP),uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Service appartementen Eikendonck,0865::SB1,,0,706,0,1,0,0,0,640,67,0,0,0,0,0,707,202,28,58,209,35,26,46,9,27,1,1,0,6,1,14,0,37,0,0,1,0,1,2,0,1,0,0,0,0,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau DePetrus,0865::SB2,,0,1085,1,0,0,0,2,977,106,0,1,0,0,0,1085,292,48,75,296,101,54,54,8,52,2,0,0,24,5,23,0,43,0,2,0,0,1,1,0,0,0,0,0,4,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zaal van Berkel,0865::SB3,,0,796,1,1,0,0,1,717,80,0,0,0,0,0,798,148,110,35,144,47,96,69,6,27,10,2,2,43,3,13,4,18,1,6,0,0,3,2,0,1,3,0,1,1,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Het Kwartier,0865::SB4,,0,837,1,0,0,0,1,752,85,0,0,0,0,0,838,282,33,52,278,49,16,14,5,38,1,1,0,21,3,8,1,30,0,0,0,0,0,2,1,0,0,0,1,1,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau TV Woburnpark,0865::SB5,,0,614,0,0,0,0,6,538,70,0,0,0,0,0,614,302,11,57,163,6,1,7,3,11,0,4,0,15,0,15,1,15,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Kindcentrum de Leydraad,0865::SB6,,0,622,0,0,0,0,8,558,56,0,0,0,0,0,622,238,49,51,102,29,28,17,5,37,2,1,0,24,2,5,1,15,0,1,0,0,1,11,1,0,1,0,1,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tafeltennisver. JCV,0865::SB7,,0,768,0,1,0,0,3,701,65,0,0,0,0,0,769,216,40,37,242,48,35,45,5,32,9,1,2,10,1,12,3,19,0,1,0,3,2,2,1,0,1,0,0,1,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Jeugd- en Jongerencentrum Elzenburg,0865::SB8,,0,1459,1,2,0,0,1,1311,151,0,0,1,0,0,1463,352,222,79,240,81,141,56,20,47,12,4,7,81,7,28,7,36,2,4,2,2,7,8,0,4,4,0,3,1,0,2,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Theatergroep Bint,0865::SB9,,0,553,1,0,0,0,1,501,52,0,0,0,0,0,554,122,41,31,101,35,63,33,5,34,3,1,7,28,3,9,2,25,4,0,0,0,3,2,0,0,0,1,0,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kwebben,0865::SB10,,0,746,0,0,0,0,1,689,56,0,0,0,0,0,746,164,62,63,192,44,73,39,4,27,8,0,2,21,3,10,2,21,0,1,0,3,1,1,0,1,2,0,1,0,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hertog van Brabantschool,0865::SB11,,0,849,0,0,0,0,2,760,89,2,0,2,0,0,851,214,55,71,217,54,56,51,11,30,2,1,1,27,0,8,0,26,0,3,0,4,7,3,1,1,1,0,2,1,2,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Martinihal,0865::SB12,,0,1104,1,1,0,0,4,999,103,0,0,0,0,0,1106,310,72,75,264,64,77,47,11,50,8,0,1,43,6,27,4,27,0,2,0,1,3,3,0,0,6,0,2,1,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Tv Bergenshuizen,0865::SB13,,0,837,1,0,0,0,2,755,81,0,0,0,0,0,838,278,54,68,174,45,49,38,16,31,9,1,0,22,2,16,4,19,0,2,0,1,0,1,2,1,1,0,1,1,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentekantoor,0865::SB14,,0,815,2,1,0,0,2,739,77,0,0,0,0,0,818,218,67,69,193,54,47,28,3,35,5,1,6,33,2,11,2,18,0,4,2,5,3,1,1,1,2,2,0,0,0,2,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brandweer Vught,0865::SB15,,0,400,0,1,0,0,3,345,53,0,0,0,0,0,401,117,57,23,50,19,39,13,3,12,4,1,0,22,2,3,4,11,0,3,0,0,2,2,0,0,8,0,3,2,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Prins Hendrik,0865::SB16,,0,582,0,0,0,0,0,522,59,0,0,0,0,0,581,212,7,34,204,23,7,21,5,21,4,0,0,2,0,10,0,25,0,0,0,0,1,1,1,0,2,0,0,2,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Bouwhal Dommelbaorzedurp,0865::SB17,,0,236,0,0,0,0,0,219,17,0,0,0,0,0,236,64,14,11,65,15,15,11,4,13,0,1,0,5,0,2,1,11,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HelvoirThuis 1,0865::SB19,,0,785,2,1,0,0,1,698,89,0,0,0,0,0,788,217,74,108,141,28,39,31,12,19,9,1,1,36,0,24,4,21,0,0,1,2,2,11,0,0,0,1,0,2,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HelvoirThuis 2,0865::SB20,,0,780,1,1,0,0,1,701,79,0,1,0,0,0,781,212,68,108,138,39,63,32,7,19,5,3,2,32,1,12,5,12,0,3,0,3,0,11,0,0,0,0,4,0,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Brandweer Helvoirt,0865::SB21,,0,676,0,0,0,0,2,587,87,0,0,0,0,0,676,171,85,93,115,24,27,12,8,17,4,0,0,37,0,28,2,25,0,0,0,0,5,17,1,1,0,0,4,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Drive-in Van der Valk,0865::SB22,,0,828,1,1,0,1,6,748,77,0,0,1,0,0,831,316,57,45,197,20,21,13,4,29,5,0,1,46,7,19,2,33,0,2,0,0,6,2,0,0,0,0,2,0,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentekantoor Maandag,0865::SB23,,0,578,0,2,0,0,2,522,56,0,0,0,0,0,580,156,41,65,104,37,55,47,11,23,2,1,0,11,1,6,0,12,0,0,0,2,0,0,0,0,2,0,1,0,0,1,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentekantoor Dinsdag,0865::SB24,,0,690,0,1,0,0,1,611,79,0,0,0,0,0,691,163,47,78,122,33,73,53,12,18,13,1,2,32,1,15,0,17,0,2,0,2,3,0,0,0,0,0,0,1,0,2,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HelvoirThuis Maandag,0865::SB25,,0,232,0,1,0,0,0,215,18,0,0,0,0,0,233,57,16,41,44,6,18,15,3,8,3,0,1,3,0,6,0,4,0,0,0,1,0,5,0,1,0,0,0,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau HelvoirThuis Dinsdag,0865::SB26,,0,263,0,1,0,0,0,239,25,0,0,0,0,0,264,73,27,41,50,8,28,12,3,4,2,0,0,4,0,5,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau overdag,0865::SB27,,0,1934,5,5,0,0,,,,,0,0,,,1944,653,122,360,222,48,172,152,37,56,50,1,0,7,0,24,0,13,0,0,0,0,0,3,0,7,6,0,1,0,0,0,0,0
's-Hertogenbosch,Vught,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau avond,0865::SB28,,0,37,0,2,0,0,,,,,2,0,,,37,16,1,3,5,2,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
