contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gebouw Samuel,0852::SB1,1141 BJ,0,1101,3,2,0,0,4,1038,63,0,0,0,0,0,1105,272,94,59,217,67,51,56,12,78,5,1,2,57,8,43,2,54,3,2,0,1,4,6,2,1,0,0,2,0,2,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Zorgcentra Evean Swaensborch,0852::SB2,1141 VZ,0,39,0,1,0,0,0,36,4,0,0,0,0,0,40,6,7,8,4,0,5,2,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Spil,0852::SB3,1141 SE,0,488,1,0,0,0,0,437,52,0,0,0,0,0,489,116,60,22,102,31,25,26,9,16,6,0,1,23,6,18,0,9,0,2,3,1,1,3,3,0,0,0,1,0,3,1,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0852::SB4,1141 GV,0,741,0,4,0,0,7,666,73,0,0,0,0,0,746,164,104,55,99,42,46,40,7,28,8,10,9,45,11,32,3,17,0,1,0,1,1,4,3,1,1,0,8,0,0,1,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Soc. cul. centrum De Bolder,0852::SB5,1141 SE,0,831,0,1,0,0,2,760,70,0,0,0,0,0,832,183,74,77,156,49,36,52,9,34,7,2,1,56,6,30,7,30,0,2,0,3,3,4,2,1,1,0,3,0,2,1,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Karmac Bibliotheek Monnickendam,0852::SB6,1141 SE,0,917,1,1,0,0,1,831,87,0,0,0,0,0,919,251,115,66,138,52,28,49,8,28,14,0,0,85,4,40,6,22,0,2,0,2,0,2,0,1,0,0,3,0,1,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentewerf Katwoude,0852::SB7,1145 PM,0,232,0,0,0,0,1,197,34,0,0,0,0,0,232,52,22,28,33,10,2,8,5,6,0,2,4,27,0,7,0,7,0,0,1,0,0,17,0,0,0,0,0,0,1,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Het Trefpunt,0852::SB8,1156 BM,0,1130,0,4,0,0,1,1005,128,0,0,0,0,0,1134,359,119,247,113,26,31,48,24,43,3,1,1,32,4,47,4,11,0,3,2,1,2,5,0,0,0,0,1,0,1,2,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Havenrakkers,0852::SB9,1151 BR,0,679,0,2,0,0,25,606,49,0,0,0,0,0,680,125,19,25,215,61,24,24,11,33,4,1,0,23,6,11,0,52,0,1,1,1,3,11,0,0,1,0,1,0,26,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Wijksteunpunt Broek in Waterland,0852::SB10,1151 CD,0,757,0,0,0,0,7,688,62,0,0,0,0,0,757,159,55,39,182,66,32,45,10,46,2,1,0,29,6,24,1,37,1,1,0,1,1,11,0,0,0,0,0,0,8,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Firma Lodder,0852::SB11,1153 PK,0,299,0,1,0,0,266,0,34,0,0,0,0,0,300,69,12,18,72,27,8,10,3,23,1,3,0,5,3,4,1,17,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis Ilpendam,0852::SB12,1452 PR,0,1148,6,1,0,0,4,1046,108,0,0,0,0,0,1158,291,104,126,173,78,44,71,16,65,5,1,0,44,6,44,1,39,0,2,1,1,3,25,2,0,0,0,3,0,2,1,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Dorpshuis De Nieuwe Boet,0852::SB13,1454 AM,0,315,0,2,0,0,2,278,37,0,0,0,0,0,317,75,28,23,62,29,9,2,6,28,1,0,0,19,8,6,0,10,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Opstandingskerk,0852::SB14,1141 XA,0,678,2,3,0,0,0,589,99,0,0,0,0,0,683,159,80,75,76,24,29,31,21,27,7,4,3,54,8,30,1,8,0,3,0,0,5,22,0,1,0,0,5,1,2,2,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Spil maandag,0852::SB15,1141 SE,0,435,0,0,0,0,0,412,23,0,0,0,0,0,435,130,48,47,56,13,31,38,7,17,5,0,0,10,0,18,0,12,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal 't Spil dinsdag,0852::SB16,1141 SE,0,438,0,0,0,0,0,414,24,0,0,0,0,0,438,98,71,43,63,20,29,44,7,18,2,0,1,10,0,16,0,12,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Havenrakkers maandag,0852::SB17,1151 BR,0,146,0,1,0,0,5,132,9,0,1,0,0,0,146,32,12,8,28,16,10,13,1,5,3,0,0,0,1,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gymzaal De Havenrakkers dinsdag,0852::SB18,1151 BR,0,153,0,0,0,0,11,125,17,0,0,0,0,0,153,26,16,16,31,8,4,9,4,11,0,2,0,2,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,,
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 1,0852::SB19,1141 GV,0,1261,5,4,0,3,,,,,0,1,,,1271,316,119,215,125,39,68,204,46,42,30,2,1,5,1,25,2,9,1,0,0,0,3,3,1,3,0,1,0,0,0,0,0,0,22
Den Helder,Waterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau 2,0852::SB20,1141 GV,0,22,0,1,0,0,,,,,0,0,,,23,5,1,4,3,2,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
