contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,"Blanco (Zeven, A.J.L.B.)",Wij zijn Nederland,Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau C.C. de Man, Burg. Letteweg 30 Oostvoorne",0614::SB1,3233 AG,1109,1370,0,0,0,9,7,1232,140,0,0,9,0,0,1379,452,211,68,181,25,57,36,13,59,17,5,1,100,3,85,12,18,0,2,1,3,9,8,1,0,0,0,3,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stemlokaal parkeerplaats naast vm gemeentehuis Oostvoorne,0614::SB2,3233 AN,1303,378,1,1,0,0,0,341,39,0,0,0,0,0,380,150,41,15,48,7,15,11,7,12,6,1,0,35,1,18,3,4,0,0,0,1,0,2,0,0,0,0,1,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stemlokaal parkeerplaats Koekoekslaan,0614::SB3,3233 BR,1222,552,0,0,0,0,1,507,44,0,0,0,0,0,552,207,63,18,104,9,10,27,5,22,6,1,0,27,1,33,1,11,0,2,0,1,4,0,0,0,0,0,0,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stemlokaal parkeerplaats tennisvereniging,0614::SB4,3233 VN,1389,739,0,0,1,0,0,651,87,0,1,0,0,0,738,310,71,39,137,8,11,22,7,19,3,0,0,46,2,37,2,13,0,1,1,1,4,2,0,0,0,0,2,0,1,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau MFC De Meander, Vlinderslag 3 Oostvoorne",0614::SB5,3233 GX,1498,882,1,1,0,0,1,804,80,0,0,1,0,0,885,260,126,61,125,18,45,32,8,23,1,2,2,93,1,42,5,16,0,1,2,2,5,9,1,0,0,0,1,1,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Hal Gemeentehuis Rockanje,",0614::SB6,3235 AP,1365,583,1,0,0,0,1,506,77,0,0,0,0,0,584,192,87,39,92,15,17,10,9,21,2,1,0,50,0,27,0,13,0,1,0,2,4,0,0,0,0,1,0,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Grote zaal De Welkomkerk,0614::SB7,3235 BK,1405,909,0,0,0,0,0,828,81,0,0,0,0,0,909,223,157,80,115,25,48,38,15,33,8,6,0,73,2,37,9,13,0,1,1,1,3,14,5,1,0,0,1,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Mobiel stemlokaal parkeerplaats gemeentehuis,0614::SB8,3235 AP,1196,678,0,0,0,0,0,595,85,0,0,2,0,0,680,221,83,43,83,18,20,25,6,36,8,2,0,62,4,40,11,5,0,0,0,1,4,5,0,0,1,0,0,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Sport- en cultureel De Merel, W. de Waalstraat 3",0614::SB9,3235 BV,1117,668,3,0,0,0,0,591,80,0,0,0,0,0,671,217,123,31,60,14,37,16,8,22,7,2,2,50,2,43,4,9,0,2,0,0,5,10,2,2,0,0,0,0,0,,
Dordrecht,Westvoorne,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Tintestein, Strypsedijk 48",0614::SB10,3234 KS,619,524,0,0,0,0,2,471,51,0,0,0,0,0,524,175,56,70,47,16,24,14,8,26,6,4,0,34,1,17,1,6,0,1,0,0,0,16,0,1,0,0,0,1,0,,
