contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",DE FEESTPARTIJ (DFP),Wij zijn Nederland
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Taets Art and Event Park,0479::SB3,,0,7980,13,24,0,0,,,,,0,31,,,8048,0,0,1735,975,1078,676,230,802,1221,227,336,265,35,33,58,30,155,3,42,2,2,8,2,6,10,3,32,1,3,1,1,1,6,1
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Gymzaal Wibautstraat, INGANG SPARRESTRAAT",0479::SB101,1505 CB,2113,1002,4,5,0,1,1,892,117,0,1,0,0,0,1010,,,82,145,27,93,47,95,94,9,46,12,4,167,58,64,6,4,7,9,5,1,3,2,2,3,1,3,0,2,1,5,5,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Handboogschutters Czaar Peter,0479::SB102,1505 VH,2243,1265,2,4,0,3,2,1112,160,0,0,3,0,0,1274,,,190,162,46,148,92,78,82,6,55,8,4,166,65,37,34,8,35,20,3,0,3,8,3,0,4,0,3,1,0,3,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Poelenburcht,0479::SB103,1504 NX,1233,667,1,4,0,0,1,568,103,0,0,0,0,0,672,,,60,37,10,69,57,33,51,10,15,3,0,229,32,26,3,0,4,14,2,0,0,1,4,1,0,0,0,2,1,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Wijkcentrum de Poelenburcht,0479::SB104,1504 NX,1232,607,2,4,0,1,2,513,97,0,1,0,0,0,612,,,37,43,11,62,39,18,45,11,16,0,1,226,26,28,1,1,3,23,1,0,0,2,1,0,0,1,0,3,2,5,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Zaans Natuur en Milieu Centrum,0479::SB105,1504 LB,1690,722,1,9,2,0,1,645,84,0,2,0,0,0,730,,,55,39,22,63,57,49,57,10,30,11,2,209,26,42,6,4,7,20,3,0,1,1,3,0,0,0,1,0,1,2,1,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau JerehSalem,0479::SB106,1503 RD,1754,838,1,5,0,14,1,740,118,1,0,15,0,0,859,,,98,68,19,61,55,57,58,18,34,4,8,240,37,33,8,2,11,19,6,0,0,0,2,0,0,0,0,0,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau ICBS de Windroos, INGANG PINASSTRAAT 4",0479::SB107,1503 TJ,1672,998,0,3,0,0,1,892,112,4,0,4,0,0,1005,,,102,70,25,114,70,60,65,15,31,14,3,304,41,28,8,4,15,11,5,1,0,3,2,0,3,2,0,0,1,1,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gymzaal Blaise Pascal College,0479::SB108,1503 HX,1824,925,6,3,0,0,1,834,100,0,0,1,0,0,935,,,175,105,48,151,47,64,59,19,41,6,3,79,39,11,18,10,20,5,1,0,4,8,2,0,2,1,0,7,0,0,0,0
Den Helder,Zaanstad,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN 174",0479::SB109,1503 LE,1590,925,2,15,1,0,0,850,93,0,0,1,0,0,943,,,173,88,62,134,60,51,82,23,47,7,3,81,52,9,12,2,17,10,4,0,0,3,1,2,0,0,0,0,1,1,0,0
