contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis,0638::SB1,2381 ET,1351,984,1,1,0,3,5,905,79,0,0,3,0,0,989,252,82,95,191,68,38,36,17,36,5,0,2,62,4,23,2,29,0,2,0,1,1,35,1,0,0,0,0,2,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Klaverhal,0638::SB2,2381 BZ,2032,891,3,1,0,0,1,842,52,0,0,0,0,0,895,236,98,107,166,28,36,21,14,32,9,0,4,52,0,19,2,19,0,4,1,3,1,29,4,4,0,1,0,1,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Muziekcentrum,0638::SB3,2381 AN,801,681,2,1,0,0,0,646,38,0,0,0,0,0,684,160,61,65,127,63,39,25,5,32,6,3,0,36,2,16,1,18,0,1,0,2,1,16,1,1,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Buurthuis de Weipoort,0638::SB4,2381 NJ,382,324,1,0,0,0,1,306,18,0,0,0,0,0,325,75,17,47,38,13,10,11,10,14,3,9,0,14,2,11,0,5,0,1,1,2,1,40,0,0,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Eendenkooi,0638::SB5,2382 EG,1531,1067,1,3,0,1,1,989,82,0,0,1,0,0,1072,305,143,70,184,48,41,28,29,55,7,8,11,59,1,31,1,18,0,4,0,4,3,10,2,2,0,0,0,3,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Goede Herderkerk,0638::SB6,2382 AS,922,603,1,0,0,0,0,563,41,0,0,0,0,0,604,161,71,43,116,22,23,27,13,37,1,8,6,17,3,16,0,29,1,1,1,0,2,5,0,0,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Briefstembureau,0638::SB7,2381 ET,0,585,0,0,0,0,,,,,0,0,,,585,171,36,175,44,10,32,30,20,17,15,5,0,6,0,11,1,3,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Klaverhal maandag 15 maart,0638::SB8,2381 BZ,0,228,0,0,0,0,0,222,6,0,0,0,0,0,228,54,19,57,37,9,14,13,3,5,5,0,0,0,0,4,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Klaverhal dinsdag 16 maart,0638::SB9,2381 BZ,0,229,0,1,0,0,0,215,15,0,0,0,0,0,230,52,14,30,49,11,15,10,3,3,3,1,1,12,0,6,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Eendenkooi maandag 15 maart,0638::SB10,2382 EG,0,138,0,0,0,0,0,131,7,0,0,0,0,0,138,24,18,21,21,11,11,11,3,2,0,3,3,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Leiden,Zoeterwoude,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Eendenkooi dinsdag 16 maart,0638::SB11,2382 EG,0,155,0,0,0,0,0,149,6,0,0,0,0,0,155,33,24,15,28,10,8,10,5,4,0,3,2,4,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,
