contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Modern Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Gemeentehuis,1892::SB1,2914 KM,34063,1508,0,0,0,0,5,1322,181,0,0,0,0,0,1508,369,167,92,221,74,54,58,66,53,11,29,21,142,6,69,12,28,9,2,0,2,6,5,2,3,0,1,0,6,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Batavier,1892::SB2,2912 SG,0,1372,1,0,0,0,4,1202,167,0,0,0,0,0,1373,365,103,97,198,46,77,28,114,37,13,75,9,57,10,78,5,31,3,2,2,6,6,3,2,1,1,0,0,3,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Comenius College,1892::SB3,2914 PN,0,1275,2,2,1,0,1,1138,139,0,1,0,0,0,1278,332,130,88,188,45,42,43,69,42,14,68,6,87,7,69,6,17,0,0,1,4,6,8,2,0,0,0,0,0,1,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Ringvaartkerk (voorheen de Bron),1892::SB8,2914 VJ,0,1435,2,3,0,0,0,1284,156,0,0,0,0,0,1440,398,151,117,220,48,44,34,100,56,11,32,8,79,3,69,8,24,0,4,0,11,3,5,2,1,1,0,2,4,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Evangelische Gemeente Het Kruispunt,1892::SB11,2914 AG,0,697,0,1,0,0,0,636,62,0,0,0,0,0,698,157,68,41,109,39,31,22,48,18,10,15,4,53,1,49,4,12,2,1,0,0,4,3,1,1,0,1,0,2,1,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Drive in Nieuwerkerk aan den IJssel,1892::SB12,2912 TH,0,838,1,2,0,0,0,750,91,0,0,0,0,0,841,296,100,71,90,19,20,21,40,20,4,19,15,51,4,36,2,13,2,1,1,1,3,3,1,3,0,0,0,2,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Walk in Dorrestein,1892::SB13,,0,1895,1,4,0,0,5,1662,233,0,0,0,0,0,1900,511,205,122,270,66,83,52,134,59,13,80,43,117,4,68,7,28,4,4,1,4,5,4,2,1,3,1,0,4,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau De Vierkap (Oud Verlaat),1892::SB15,2761 DT,0,257,0,0,0,0,1,231,25,0,0,0,0,0,257,67,16,31,31,11,13,6,17,10,1,4,0,9,0,21,0,11,3,0,0,0,0,1,1,1,2,0,0,1,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Hervormd Centrum,1892::SB16,2761 AJ,0,701,0,0,0,0,2,627,71,0,1,0,1,0,700,184,78,70,97,26,26,27,64,24,5,15,0,37,3,25,4,7,1,1,0,1,0,5,1,0,0,0,0,0,0,,
Leiden,Zuidplas,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Stembureau Drive in (parkeerplaats la Baraque),1892::SB17,2761 JL,0,1035,3,4,0,0,913,5,124,0,0,0,0,0,1042,319,129,47,127,24,24,23,46,20,6,50,12,86,6,62,4,14,4,3,0,3,3,16,0,1,5,1,0,0,0,,
