contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,"Blanco (Zeven, A.J.L.B.)",Partij van de Eenheid,Wij zijn Nederland,uncounted_te veel briefstembiljetten,uncounted_geen briefstembiljetten
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1233,1232,2,2,0,0,6,1088,144,2,0,2,0,0,1238,253,115,151,112,38,66,45,185,32,7,62,3,76,3,28,3,16,0,0,1,2,0,27,0,0,1,0,3,0,3,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Teeuwland Hasselt,1896::SB2,8061 JR,1180,783,0,3,0,2,1,705,82,0,0,2,0,0,788,127,103,98,49,20,39,24,132,18,4,53,2,51,2,21,3,8,0,2,0,0,1,19,1,0,0,0,6,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Ontmoetingskerk Hasselt,1896::SB3,8061 AK,1173,1157,1,0,0,1,3,1059,97,0,0,1,0,0,1159,175,67,178,93,29,47,31,355,5,0,67,0,43,0,21,6,9,0,2,0,2,3,17,1,0,0,3,3,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sporthal Hasselt,1896::SB4,8061 ZC,1123,392,0,0,0,0,1,390,1,0,0,0,0,0,392,79,41,53,32,7,24,16,48,8,5,18,0,26,0,9,0,10,0,1,0,1,0,13,0,0,0,0,1,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Kaaihof Genemuiden,1896::SB5,8281 BC,1015,976,0,5,0,1,0,839,143,0,0,1,0,0,982,148,103,134,19,8,20,11,119,5,5,310,0,57,0,11,5,5,0,0,2,0,0,12,0,0,0,1,0,0,1,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau d' Overtoom Genemuiden,1896::SB6,8281 ES,1360,801,1,1,0,0,2,698,103,0,0,0,0,0,803,105,122,66,42,13,32,24,86,3,2,204,3,65,0,8,0,6,0,1,0,1,1,15,0,0,0,0,2,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Driester Kamperzeedijk,1896::SB7,8281 PG,599,466,0,1,0,0,0,425,42,0,0,0,0,0,467,39,33,69,6,0,2,2,61,0,3,182,0,25,0,17,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Hervormd Centrum, Genemuiden",1896::SB8,8281 EK,1635,1155,1,3,0,1,0,1008,152,0,0,1,0,0,1160,101,89,107,17,4,28,14,215,2,5,483,2,54,0,11,2,2,0,0,0,0,2,11,0,1,0,0,2,2,0,1,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,"Stembureau Hersteld Hervormde Kerk, Genemuiden",1896::SB9,8281 MT,1284,1107,2,0,0,0,2,875,232,0,0,0,0,0,1109,121,45,131,21,7,8,8,127,2,3,569,0,36,0,12,0,2,0,0,0,2,1,10,0,0,0,2,0,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Poort Zwartsluis,1896::SB10,8064 DJ,1356,829,1,1,0,0,0,732,100,0,0,1,0,0,832,138,98,176,74,13,33,32,132,18,2,20,1,47,0,16,3,12,2,0,0,1,1,9,0,0,0,0,1,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Sluuspoort Zwartsluis,1896::SB11,8064 DV,1063,553,0,1,0,0,3,488,63,0,0,0,0,0,554,114,80,83,43,12,36,21,50,14,8,10,0,37,0,22,4,7,0,0,1,0,1,7,1,0,0,1,1,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Zwartewater Zwartsluis,1896::SB12,8064 PC,1302,857,1,0,0,0,0,752,106,0,0,0,0,0,858,194,145,102,73,18,45,37,69,14,4,31,1,58,0,28,1,8,0,2,0,0,5,16,0,0,0,3,3,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau De Regenboog Hasselt,1896::SB13,8061 GL,885,279,1,0,0,0,4,251,25,0,0,0,0,0,280,57,24,38,22,11,10,5,54,1,7,26,0,14,0,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Geref Gemeente Kerk Genemuiden,1896::SB14,8281 NA,1558,875,0,2,1,0,658,28,192,0,0,1,0,0,878,50,30,74,11,7,7,2,98,5,0,554,0,23,0,7,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Gemeentehuis Hasselt,1896::SB100,8061 CB,0,315,0,0,0,0,0,298,17,0,0,0,0,0,315,37,38,62,19,2,17,24,72,4,0,25,0,2,0,5,0,3,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,,
Zwolle,Zwartewaterland,TK2021,Tweede Kamer der Staten-Generaal 2021,,,2021-03-17,Stembureau Hotel Zwartewater Zwartsluis,1896::SB101,8064 PC,0,229,0,1,0,0,0,205,25,0,0,0,0,0,230,40,19,44,18,1,21,19,34,7,2,4,0,4,0,10,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,
