contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Water Natuurlijk,Ons Water,West-Brabant Waterbreed,VVD,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,50PLUS
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Montessorischool,0748::SB1,4611 SC,1809,631,5,10,0,0,0,582,61,0,0,3,0,3,0,643,33,48,259,31,123,58,35,44
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Zoomflat,0748::SB2,4611 EH,1957,622,21,3,0,0,0,558,88,0,0,0,0,0,0,646,43,27,237,33,106,100,27,49
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Huize Avondvrede,0748::SB3,4611 DX,1531,644,14,5,0,0,0,600,63,0,0,0,0,0,0,663,60,52,242,25,134,59,38,34
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Stadskantoor,0748::SB4,4611 AR,1942,799,10,3,0,0,0,711,101,0,0,0,0,0,0,812,60,49,308,55,156,72,49,50
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Ontmoetingscentrum De Olifant,0748::SB5,4615 EV,1721,542,5,6,0,0,0,498,55,0,0,0,0,0,0,553,23,26,212,53,41,39,69,79
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Gezondheidscentrum,0748::SB6,4611 AM,1226,506,9,3,0,0,0,469,50,0,1,0,1,0,0,519,37,23,195,33,78,57,38,45
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Serviceflat de Schelde,0748::SB7,4615 EJ,2292,738,15,6,0,0,0,665,94,0,0,0,0,0,0,759,75,31,296,67,106,55,42,66
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Cafe 't Hoefke,0748::SB8,4614 VB,1792,825,13,3,0,1,0,756,87,0,1,0,2,0,0,843,91,53,360,41,127,60,44,49
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Wijkcentrum de Moerkens,0748::SB9,4614 EK,1382,676,10,6,0,0,0,621,71,0,0,0,0,0,0,692,73,43,262,40,130,43,36,49
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Serviceflat Meilust,0748::SB10,4614 CZ,1065,432,11,3,0,0,0,408,38,0,0,0,0,0,0,446,70,27,153,21,95,26,23,17
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Sporthal Tuinwijk,0748::SB11,4613 CT,1600,660,12,3,0,0,0,604,71,0,0,0,0,0,0,675,49,53,267,48,101,46,48,48
Brabantse Delta,Bergen op Zoom,AB2015_BrabantseDelta,Algemeen bestuur van het waterschap Brabantse Delta 2015,,Brabantse Delta,2015-03-18,Stembureau Basisschool de Welle,0748::SB12,4613 GP,1492,615,10,1,0,0,0,549,77,0,0,0,0,0,0,626,36,39,246,30,101,57,44,62
