contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),Werken aan Water,VVD,Algemene Waterschapspartij,Tilburgse Volkspartij (TVP) & Ouderen Nu,50PLUS
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_1 Gemeentehuis,0753::SB1,5683 EA,1528,956,38,3,0,0,0,901,96,0,0,0,0,0,0,997,180,231,63,50,166,142,7,117
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_2 Basisschool St. Bernardus,0753::SB2,5682 AC,1536,874,24,7,0,1,0,813,93,0,0,0,1,0,0,906,176,208,111,42,144,129,7,57
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_3 Bestwijzer,0753::SB3,5683 AK,1614,690,14,6,2,0,0,664,48,0,0,0,2,0,0,712,155,117,74,51,53,147,7,86
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_4 Basisschool De Klimboom,0753::SB4,5685 GW,1587,773,34,6,0,0,0,695,118,0,0,0,0,0,0,813,160,126,95,31,221,97,2,41
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_5 Basisschool De Zevensprong,0753::SB5,5683 LL,1591,719,22,6,0,0,0,685,62,0,0,0,0,0,0,747,170,108,84,53,127,111,5,61
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_6 Heerbeeck College,0753::SB6,5684 SL,1540,438,20,5,0,0,0,408,55,0,0,0,0,0,0,463,92,64,48,28,103,54,2,47
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_7 Cultuurspoor Best (Muziek en Dans),0753::SB7,5684 EG,1410,617,21,3,0,0,0,569,72,0,0,0,0,0,0,641,130,156,70,16,102,91,6,46
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_8 Wilhelminaschool,0753::SB8,5684 BA,1590,543,21,6,1,0,0,537,33,0,1,1,1,0,0,570,121,80,73,35,61,109,4,60
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_9 Basisschool De Heydonck,0753::SB9,5684 CG,1590,330,10,5,0,0,0,314,30,0,0,1,0,1,0,344,70,55,42,22,33,56,4,48
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_10 Sporthal Naestenbest,0753::SB10,5684 GJ,1263,316,11,2,0,0,0,300,29,0,0,0,0,0,0,329,80,37,61,12,27,47,8,44
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_11 Basisschool De Paersacker,0753::SB11,5684 TT,1610,434,14,1,0,0,0,396,52,0,0,1,0,1,0,448,114,41,49,35,56,56,9,74
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_12 Protestantse Kerk,0753::SB12,5684 VA,1651,759,46,1,0,0,0,737,69,0,0,0,0,0,0,806,186,124,65,52,121,107,15,89
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_13 Basisschool St. Antonius,0753::SB13,5685 GW,1622,786,30,8,0,0,0,710,116,0,2,0,2,0,0,826,137,114,91,43,216,100,8,77
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_14 Buurthuis Vlinderhei,0753::SB14,5685 GZ,1596,610,24,7,0,0,0,560,81,0,0,0,0,0,0,641,118,101,46,37,145,83,6,74
De Dommel,Best,AB2015_DeDommel,Algemeen bestuur van het waterschap De Dommel 2015,,De Dommel,2015-03-18,Stembureau Stembureau_15 Knooppunt Café,0753::SB15,5683 BD,864,217,9,2,0,0,0,213,15,0,0,0,0,0,0,228,40,36,25,10,33,46,3,24
