contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Betaalbaar Water,ChristenUnie,VVD,50PLUS,Algemene Waterschapspartij (AWP),Partij voor Mens en Spirit (MenS),Partij voor de Dieren
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau ULRUM,1663::SB1,9971 AJ,1150,582,9,4,0,0,0,538,57,0,0,0,0,0,0,595,61,39,154,46,119,94,23,10,5,31
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau VIERHUIZEN,1663::SB2,9975 VS,303,172,8,1,0,0,0,166,15,0,0,0,0,0,0,181,27,9,39,6,12,45,7,9,1,17
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau ZOUTKAMP,1663::SB3,9974 PG,1137,500,15,6,0,0,0,461,59,0,0,1,0,1,0,520,110,45,96,52,41,51,45,29,8,23
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau WEHE-DEN HOORN,1663::SB4,9964 AA,641,350,9,0,0,0,0,331,28,0,0,0,0,0,0,359,102,38,49,24,19,48,17,17,7,29
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau LEENS,1663::SB5,9965 TD,1420,768,5,0,0,0,0,773,0,0,0,0,0,0,0,773,100,65,179,38,231,76,26,16,4,33
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau WARFHUIZEN,1663::SB6,9963 PH,427,237,2,0,0,0,1,218,20,0,0,0,0,0,0,239,75,21,33,17,10,26,9,8,2,36
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau KLOOSTERBUREN,1663::SB7,977 RN,755,352,3,2,0,0,0,322,35,0,0,0,0,0,0,357,69,43,90,35,14,56,15,6,1,23
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau KRUISWEG,1663::SB8,9977 PN,441,248,3,1,0,0,0,236,16,0,0,0,0,0,0,252,69,20,38,15,14,50,3,10,1,28
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau EENRUM,1663::SB9,9967 SE,1359,741,9,8,0,1,0,708,51,0,0,0,1,0,0,759,170,166,56,62,24,110,43,27,12,71
Noorderzijlvest,De Marne,AB2015_Noorderzijlvest,Algemeen bestuur van het waterschap Noorderzijlvest 2015,,Noorderzijlvest,2015-03-18,Stembureau PIETERBUREN,1663::SB10,9968 AL,575,347,5,2,0,0,0,326,28,0,0,0,0,0,0,354,91,37,34,12,25,59,10,13,7,59
