contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gemeentekantoor Oostendorp,0230::SB1,8081 LA,1538,872,13,4,0,0,0,806,83,0,0,0,0,0,0,889,48,245,44,153,28,138,83,43,90
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Het Nieuwe Feithenhof,0230::SB2,8081 BV,2113,969,16,8,0,0,0,889,104,0,0,0,0,0,0,993,58,210,75,150,38,130,123,50,135
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gemeenschapscentrum 't Huiken,0230::SB3,8081 VS,1869,930,15,4,0,0,0,868,81,0,0,0,0,0,0,949,52,223,79,100,46,151,99,48,132
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Daltonschool De Vrijheid,0230::SB4,8081 JS,1710,808,16,5,0,1,0,746,82,0,0,1,0,0,0,828,58,198,51,103,32,103,96,56,111
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Verpleeghuis De Voord,0230::SB5,8081 DL,1894,910,16,3,0,1,0,814,116,0,0,0,1,0,0,930,47,302,54,103,32,141,100,33,98
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dorpshuis De Deel,0230::SB6,8085 AP,1902,1239,11,7,0,0,0,1096,161,0,0,0,0,0,0,1257,30,224,32,655,26,113,64,35,60
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Dorpshuis Ons Huus,0230::SB7,8085 PE,1539,719,4,4,0,0,0,623,104,0,0,0,0,0,0,727,18,144,40,342,13,51,34,19,58
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Wijkontmoetingscentrum Jeanne d'Arc,0230::SB8,8084 VP,1589,691,5,16,0,1,2,635,74,0,0,1,0,0,0,711,51,159,58,74,31,111,92,37,78
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Zorgcentrum Mariposa,0230::SB9,8084 BV,1681,1025,28,11,0,0,0,971,93,0,0,0,0,0,0,1064,83,292,75,135,44,116,132,56,92
Vallei en Veluwe,Elburg,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau M.F.C. Aperloo,0230::SB10,8084 PH,1612,873,13,6,0,0,0,786,106,0,0,0,0,0,0,892,63,210,48,185,37,95,91,52,92
