contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,"Stembureau Woonzorgcentrum ""Botniahuis""",0070::SB1,8801KJ,1875,902,19,6,0,1,0,928,0,0,0,0,1,0,0,928,100,113,176,103,38,132,74,63,31,72
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Sjaerdemastate (stembureau 3),0070::SB3,8801HS,1879,672,9,6,0,1,0,632,56,0,0,0,1,0,0,688,87,101,140,94,11,87,46,33,39,34
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis (stembureau 4),0070::SB4,8801PA,1600,1029,16,8,0,0,1,942,110,0,0,0,0,0,0,1053,148,128,152,141,46,150,110,63,27,64
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Serviceflat Froonacker,0070::SB5,8802CL,2177,916,15,5,0,0,0,870,67,0,1,0,1,0,0,937,107,120,157,144,27,149,49,59,51,53
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau School Fûgelflecht,0070::SB7,8802XS,1647,911,8,3,0,0,1,843,78,0,0,0,0,0,0,922,98,98,192,114,43,139,94,72,28,33
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau School Toermalijn,0070::SB9,8802RD,1580,852,13,4,0,0,0,806,63,0,0,0,0,0,0,869,121,121,110,106,40,111,75,80,42,46
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Rede,0070::SB11,8811HD,377,198,2,0,0,0,0,184,16,0,0,0,0,0,0,200,30,15,17,8,20,50,38,1,8,11
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis Us Doarpshûs,0070::SB12,8812JJ,304,172,2,1,0,0,0,154,21,0,0,0,0,0,0,175,13,13,28,22,19,34,19,2,4,18
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Singel,0070::SB13,8806KL,660,346,0,0,0,0,1,310,38,0,3,0,3,0,0,349,39,28,58,26,73,68,14,8,13,19
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Martenahiem,0070::SB14,8804RA,894,494,5,2,0,0,0,455,46,0,0,0,0,0,0,501,39,23,138,32,45,84,41,45,9,38
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis It Waed,0070::SB15,8855HL,1474,627,16,2,0,0,0,601,44,0,0,0,0,0,0,645,63,40,189,61,44,84,48,45,30,23
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Zorgcentrum Nij Bethanië,0070::SB16,8851EJ,1172,529,11,5,0,0,0,499,46,0,0,0,0,0,0,545,39,55,88,43,41,150,55,19,20,19
Fryslân,Franekeradeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeenschapscentrum It Mienskar,0070::SB17,8854AG,456,236,5,3,0,0,0,221,23,0,0,0,0,0,0,244,20,16,48,23,25,44,21,16,5,18
