contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau het Stadhuis,0392::SB1,2011 RD,2143,1394,53,16,0,0,0,1330,133,0,0,0,0,0,0,1463,106,262,261,272,184,39,198,31,41
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Janskliniek,0392::SB2,2011 RS,1741,749,31,12,4,0,0,721,67,0,0,4,0,0,0,788,70,111,145,126,64,23,157,21,32
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Frans Loenenhofje,0392::SB3,2011 NV,2461,639,35,12,0,2,1,624,63,0,0,0,2,0,0,688,64,116,119,106,74,23,105,12,20
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stadsbibliotheek,0392::SB4,2011 XP,1899,996,39,10,0,2,0,955,92,0,0,0,2,0,0,1047,55,171,194,203,93,21,202,28,29
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Rosenstock-Huessy Huis,0392::SB5,2011 CV,2027,800,21,7,0,0,0,762,66,0,0,0,0,0,0,828,70,120,141,148,85,25,175,8,28
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Basisschool de Kring,0392::SB6,2011 KZ,1626,594,16,5,0,0,0,560,55,0,0,0,0,0,0,615,53,103,109,125,52,23,99,11,19
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Oud-Katholieke Kerk H.H. A en M.,0392::SB7,2013 AV,1314,655,13,8,0,0,0,617,59,0,0,0,0,0,0,676,62,108,132,138,66,20,95,11,23
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Woningbouwvereniging Rosehaghe,0392::SB8,2013 DR,1333,570,20,2,0,0,0,537,55,0,0,0,0,0,0,592,44,76,115,109,64,11,114,6,31
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Speeltuin Klarenhof,0392::SB9,2013 RN,1755,663,29,4,0,0,0,645,51,0,0,0,0,0,0,696,52,87,114,111,101,21,122,14,41
Rijnland,Haarlem,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau 2e Volksbadhuis,0392::SB10,2013 PW,2129,845,6,33,0,0,0,806,78,0,0,0,0,0,0,884,56,93,167,162,127,25,158,19,38
