contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau VOF De Lichtboei,0072::SB1,8861 AS,1286,679,13,2,0,0,0,657,37,0,0,0,0,0,0,694,93,101,59,54,15,41,121,33,78,84
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau R.K. Basisschool Sint Michaëlschool,0072::SB2,8861 CV,1443,762,17,2,0,0,1,738,42,0,0,0,0,0,0,781,98,107,118,65,21,66,105,35,77,70
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Scholengemeenschap Simon Vestdijk,0072::SB3,8862 TL,1442,525,10,7,0,0,0,509,33,0,0,0,0,0,0,542,91,72,71,49,13,39,49,26,53,62
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1803,785,27,5,0,0,0,751,66,0,0,0,0,0,0,817,82,105,159,90,19,57,85,47,72,69
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1723,695,15,6,0,0,0,645,71,0,0,0,0,0,0,716,77,84,148,84,32,45,61,54,66,44
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,520,257,4,2,0,0,0,240,23,0,0,0,0,0,0,263,51,32,45,25,15,22,30,9,13,15
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Wooncentrum Almenum,0072::SB7,8861 JH,1661,748,18,2,0,0,0,702,73,0,0,0,7,0,0,775,87,109,161,58,20,53,96,47,81,36
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau MCL-Harlingen/De Batting (De Haven),0072::SB8,8862 AJ,1218,623,17,5,0,0,0,583,62,0,0,0,0,0,0,645,80,83,126,53,16,44,91,38,56,36
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Dorpshuis De Bijekoer,0072::SB9,8857 BT,394,207,4,3,0,0,2,196,16,0,0,0,0,0,0,214,25,35,22,18,15,31,19,4,7,31
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1070,394,4,2,0,0,1,364,35,0,0,0,0,0,0,400,53,59,78,34,7,34,46,18,39,26
Fryslân,Harlingen,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Mobiel of bijzonder stembureau,0072::SB11,,0,96,1,0,0,0,0,88,9,0,0,0,0,0,0,97,9,13,19,15,3,7,8,3,12,7
