contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau Raadhuis, Raadhuisplein 1",0397::SB1,2101 HA,1187,1078,15,9,0,0,2,1020,81,0,1,0,1,0,0,1103,177,341,153,98,110,35,86,16,62
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Gymzaal Offenbachlaan,0397::SB2,2102 ZL,1194,656,10,5,0,0,0,627,44,0,0,0,0,0,0,671,123,241,74,57,82,11,39,4,25
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau Nicolaas Beetsschool, Sportparklaan 1-3",0397::SB3,2103 VR,1164,476,10,3,0,0,0,420,69,0,0,0,0,0,0,489,68,156,66,41,44,13,57,6,25
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau 'Bosbeek', Glipper Dreef 209",0397::SB4,2104 WG,1138,594,9,5,0,0,0,548,60,0,0,0,0,0,0,608,155,131,74,65,56,28,48,7,30
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau 'Princehof', Glipperweg 57",0397::SB5,2104 AH,2197,895,18,4,0,1,0,830,86,0,0,1,0,0,0,916,174,203,120,96,89,40,86,14,73
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau Peuterspeelzaal, Reggelaan 14A",0397::SB6,2105 VH,1458,768,15,5,0,0,0,727,61,0,0,0,0,0,0,788,123,183,127,77,87,28,97,7,39
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau 'De Evenaar', Van de Waalslaan 33",0397::SB7,2105 TC,1414,779,7,4,0,0,0,723,67,0,0,0,0,0,0,790,148,180,125,77,98,25,68,6,52
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau 'De Luifel', Herenweg 96",0397::SB8,2101 MP,1147,611,13,0,0,0,0,568,56,0,0,0,0,0,0,624,143,182,75,47,59,21,44,3,37
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau Openbare Bibliotheek, Julianaplein 1",0397::SB9,2101 ZC,1353,849,29,7,0,0,0,794,91,0,0,0,0,0,0,885,114,283,116,93,80,30,79,9,45
Rijnland,Heemstede,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,"Stembureau 'Kennemerduin', Herenweg 126",0397::SB10,2101 MS,1283,577,8,0,0,0,0,532,53,0,0,0,0,0,0,585,118,160,81,53,51,9,68,7,30
