contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,CDA,Partij van de Arbeid (P.v.d.A.),VVD,"Groen, Water & Land",Boeren Burgers Waterbelang,Algemene Waterschapspartij,Gewest NH/U KNSB,Partij voor Mens en Spirit (MenS),50PLUS,ChristenUnie-SGP,Koninklijke Schuttevaer
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Gemeentehuis, Parelhof 1",0398::SB1,,2243,1206,29,7,0,0,0,1168,74,0,0,0,0,0,0,1242,182,186,161,162,155,87,66,20,25,106,32,24
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau O.B.S. De Carrousel, Smaragd 27",0398::SB2,,1447,637,10,3,0,0,0,558,92,0,0,0,0,0,0,650,104,58,69,113,108,51,21,13,13,41,33,13
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau O.B.S. De Fonkelsteen, Middenweg 30A",0398::SB3,,2373,1074,31,0,0,0,0,1004,101,0,0,0,0,0,0,1105,151,118,141,211,157,74,44,27,19,78,42,12
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Buurthuis de Hoeksteen, Amatist 13",0398::SB4,,1832,629,7,12,0,0,0,594,54,0,0,0,0,0,0,648,83,70,90,81,112,53,27,8,13,48,29,15
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau ICBS De Vaart Bakboord, Standerdmolen 8",0398::SB5,,1712,461,18,9,0,0,0,457,31,0,0,0,0,0,0,488,81,35,54,47,98,27,25,8,19,32,32,3
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau ICBS De Vaart Stuurboord, Standerdmolen 2",0398::SB6,,1868,590,11,2,0,0,1,540,62,0,0,0,0,0,0,603,107,58,78,63,98,54,26,8,19,51,18,10
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Trinitas College, Loc. J. Bosco, Windmolen 24",0398::SB7,,1364,572,12,1,0,0,0,543,42,0,0,0,0,0,0,585,78,74,63,87,90,65,24,8,10,49,15,9
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau O.B.S. Atalanta, Zonnegloren 1",0398::SB8,,2159,568,15,3,0,0,0,508,78,0,0,0,0,0,0,586,90,55,57,182,91,34,16,6,12,6,16,3
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau ICBS De Boomladder, Eikenlaan 6",0398::SB9,,1637,790,20,0,0,0,0,740,70,0,0,0,0,0,0,810,135,113,93,125,114,42,35,14,12,63,36,8
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Woonzorgcomplex Arboretum, Tamarixplantsoen 1",0398::SB10,,1784,669,9,7,0,0,0,633,52,0,0,0,0,0,0,685,106,95,74,65,142,62,19,8,14,57,23,4
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Huize Hugo-Oord, van Veenweg 15",0398::SB11,,1874,877,16,10,0,0,0,816,87,0,0,0,0,0,0,903,106,166,80,161,94,118,34,16,16,42,34,10
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau Buurthuis de Ezel, Fabritiuspark 20",0398::SB12,,1169,632,20,3,0,0,0,596,59,0,0,0,0,0,0,655,90,109,62,85,111,57,21,18,9,45,16,9
Hollands Noorderkwartier,Heerhugowaard,AB2015_HollandsNoorderkwartier,Algemeen bestuur van het hoogheemraadschap Hollands Noorderkwartier 2015,,Hollands Noorderkwartier,2015-03-18,"Stembureau BS de Zevensprong, Saenredamlaan 2",0398::SB13,,1501,548,9,2,0,0,0,516,43,0,0,0,0,0,0,559,101,85,38,70,104,46,23,4,11,34,25,7
