contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),CDA,Lagere Lasten Burger,"Bedrijf, Boer en Burger",FNP,VVD,ChristenUnie,50PLUS,Partij voor de Dieren
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Skilhiem Stiens,0081::SB1,9051 BR,976,462,4,2,0,0,0,438,30,0,0,0,0,0,0,468,63,67,96,37,24,56,61,23,10,25
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau MFG De Skalm,0081::SB2,9051 BR,952,506,8,1,0,0,0,472,43,0,0,0,0,0,0,515,62,106,82,35,22,85,48,23,13,30
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Bining,0081::SB3,9056 PW,624,334,16,1,0,0,0,316,35,0,0,0,0,0,0,351,40,51,20,47,39,68,37,6,10,16
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Ger. Kerk. Hijum,0081::SB4,9054 KN,469,238,3,0,0,0,0,216,25,0,0,0,0,0,0,241,22,21,42,21,20,60,13,16,6,17
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Lokaliteit Ger. Kerk,0081::SB5,9055 MG,796,462,11,1,0,0,0,438,36,0,0,0,0,0,0,474,59,64,91,45,30,62,38,29,22,22
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Hege Stins,0081::SB6,9051 ER,1064,658,8,2,0,0,0,633,35,0,0,0,0,0,0,668,67,116,144,70,28,78,53,57,16,29
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau De Sprankel,0081::SB7,9051 KE,789,452,15,6,0,0,0,443,30,0,0,0,0,0,0,473,49,72,82,51,23,60,38,31,21,25
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Gemeentehuis,0081::SB8,9051 AR,838,528,6,2,0,0,0,505,31,0,0,0,0,0,0,536,52,89,85,67,31,85,66,15,13,25
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Talant,0081::SB9,9051 LP,1449,662,15,2,0,0,0,628,49,0,0,2,0,2,0,677,80,114,127,55,34,75,93,35,22,27
Fryslân,Leeuwarderadeel,AB2015_Fryslan,Algemeen bestuur van het wetterskip Fryslân 2015,,Fryslân,2015-03-18,Stembureau Us Gebou,0081::SB10,9071 XG,217,117,6,1,0,0,0,115,9,0,0,0,0,0,0,124,15,11,8,17,10,26,9,6,5,10
