contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),Algemene Waterschapspartij,ChristenUnie-SGP,Partij voor de Dieren,Partij voor Mens en Spirit (MenS),50PLUS
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_1 Stadhuis,0546::SB1,2311 EJ,1648,1229,78,9,0,0,4,1235,78,0,1,0,1,0,0,1317,121,253,207,220,171,54,180,14,9
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_2 Rijksmuseum van Oudheden,0546::SB2,2311 EW,2016,1612,97,11,0,0,0,1639,81,0,0,0,0,0,0,1720,120,353,363,271,206,73,192,23,11
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau  Stembureau_3 Erfgoed Leiden en Omstreken,0546::SB3,2311 PZ,1586,709,61,2,0,0,1,723,45,0,0,3,0,3,0,769,68,148,147,141,77,25,89,7,7
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_4 't Huis op de Waard,0546::SB4,2312 SG,1742,538,32,5,0,0,0,541,35,0,1,0,1,0,0,576,47,99,108,92,58,26,91,5,12
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_5 De Meelbox (Nieuw Groenhoven),0546::SB5,2316 XX,1398,401,16,2,0,0,0,393,28,0,1,0,2,1,0,421,27,40,92,89,43,7,90,4,9
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_6 Leger des Heils,0546::SB6,2312 SR,1877,860,40,2,0,0,0,902,0,0,0,0,0,0,0,902,58,130,178,178,125,39,124,10,18
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_7 Het Hooglandse Huys,0546::SB7,2312 HV,1711,659,46,9,0,0,2,677,35,0,0,0,0,0,0,714,57,116,155,113,86,32,84,8,8
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_8 Het Hooglandse Huys,0546::SB8,2312 HV,1788,554,43,3,0,0,0,566,30,0,0,4,0,0,0,596,58,91,96,94,78,37,90,8,2
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_9 Woningcorporatie De Sleutels,0546::SB9,2311 NV,1991,794,27,12,0,0,0,762,71,0,0,0,0,0,0,833,73,123,159,146,110,31,125,5,22
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_10 Het Marehuis,0546::SB10,2312 XS,1603,831,57,6,0,0,1,852,41,0,0,0,0,0,0,894,79,138,188,149,99,58,97,11,12
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_11 Het Leidse Volkshuis,0546::SB11,2312 DD,1462,555,41,4,1,1,0,583,19,0,0,0,2,0,0,602,54,130,96,99,75,15,75,6,5
Rijnland,Leiden,AB2015_Rijnland,Algemeen bestuur van het hoogheemraadschap van Rijnland 2015,,Rijnland,2015-03-18,Stembureau Stembureau_12 Rijksmuseum Volkenkunde,0546::SB12,2312 BS,1865,709,41,7,0,0,0,702,55,0,0,0,0,0,0,757,56,85,151,151,87,28,121,15,15
