contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Waterbelang Land van Weert en Leudal,Waterbelang Horst-Helden-Beesel,Waterbelang Venray en Maasduinen,Water Natuurlijk,Waterbelang Venlo,VVD,50PLUS
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau De Bombardon,1640::SB1,6093 GA,1721,1013,43,12,0,0,1,982,85,0,0,0,0,0,0,1068,718,16,10,149,6,50,64
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Zorgcentrum De Kreppel,1640::SB2,6093 KE,1795,678,26,14,0,0,0,651,67,0,0,0,0,0,0,718,477,24,1,72,5,56,43
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau PDV De Vliegende Hollander,1640::SB3,6093 AT,1871,434,21,5,0,0,0,417,43,0,0,0,0,0,0,460,311,5,3,63,6,17,29
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Baexheimerhof,1640::SB4,6095 BD,2148,894,46,8,0,0,0,838,110,0,0,0,0,0,0,948,724,18,1,80,2,40,29
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau BMV de Nassaurie,1640::SB5,6096 AZ,1399,617,23,3,0,0,0,577,66,0,0,0,0,0,0,643,488,7,1,59,6,32,24
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Trefcentrum Kelpen-Oler,1640::SB6,6037 RX,952,455,2,0,0,0,0,410,47,0,0,0,0,0,0,457,390,5,0,28,2,22,8
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Hotel - Restaurant De Beukelaer,1640::SB7,6088 EG,1713,692,40,0,0,0,0,648,83,0,0,1,0,1,0,731,501,14,4,105,5,44,19
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis Kloeästerhoaf,1640::SB8,6088 BC,1729,713,42,3,0,0,0,668,90,0,0,0,0,0,0,758,522,27,4,100,8,23,29
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Gemeenschapshuis de Klokkestoel,1640::SB9,6089 NG,607,317,14,1,0,0,0,291,41,0,0,0,0,0,0,332,233,11,1,40,1,18,13
Peel en Maasvallei,Leudal,AB2015_PeelenMaasvallei,Algemeen bestuur van het waterschap Peel en Maasvallei 2015,,Peel en Maasvallei,2015-03-18,Stembureau Handbooglokaal Vriendschap & Strijd,1640::SB10,6086 NR,1262,361,13,3,0,0,0,320,57,0,0,0,0,0,0,377,260,15,0,49,3,20,14
