contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Water Natuurlijk,Staatkundig Gereformeerde Partij (SGP),50PLUS,CDA,VVD,AWP Vallei en Veluwe,Lokaal Waterbeheer
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Gemeentehuis,0327::SB1,3831 NA,2105,1495,25,16,0,0,0,1410,126,0,0,0,0,0,0,1536,189,111,306,24,84,234,207,229,111
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Basisschool De Holm,0327::SB2,3831 LE,1913,1066,24,5,0,0,0,991,104,0,0,0,0,0,0,1095,86,101,197,20,49,218,164,174,57
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Basisschool Klimrakker,0327::SB3,3831 AG,2094,1146,27,13,0,5,0,1081,110,0,0,0,5,0,0,1191,96,82,228,35,68,225,184,173,55
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Verzorgingshuis 't Hamersveld,0327::SB4,3831 JR,1833,1005,6,23,0,0,0,1032,2,0,0,0,0,0,0,1034,136,90,204,23,47,178,166,120,41
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Larikslaan2,0327::SB5,3833 AM,2212,1000,15,1,0,0,0,919,97,0,0,0,0,0,0,1016,92,65,134,32,49,206,237,133,52
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Lisidunahof,0327::SB6,3833 BS,1395,686,14,8,0,0,0,632,76,0,0,0,0,0,0,708,51,89,130,24,30,149,105,83,25
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Appartementencomplex Groenhouten,0327::SB7,3833 VW,2014,1024,28,15,0,0,0,971,96,0,0,0,0,0,0,1067,108,97,181,19,57,189,170,151,52
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau De Schoolsteeg,0327::SB8,3833 GM,2013,961,12,10,0,1,1,880,101,0,0,1,0,0,0,982,91,92,162,35,31,146,164,187,53
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau MFC Antares,0327::SB9,3832 JS,3658,2054,44,10,0,6,0,1893,221,0,0,0,6,0,0,2114,156,202,376,108,51,337,474,237,113
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Sint Joseph,0327::SB10,3791 PP,2009,1175,20,6,0,2,0,1060,143,0,0,0,2,0,0,1203,64,33,117,49,82,537,198,59,36
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Mickey's Kinderdagverblijf,0327::SB11,3831 SZ,1676,750,17,4,0,1,0,694,76,0,0,1,0,0,0,770,73,74,118,23,32,118,169,105,38
Vallei en Veluwe,Leusden,AB2015_ValleienVeluwe,Algemeen bestuur van het waterschap Vallei en Veluwe 2015,,Vallei en Veluwe,2015-03-18,Stembureau Mobiel Stembureau,0327::SB12,3538 PK,0,166,1,1,0,0,0,138,30,0,0,0,0,0,0,168,7,13,18,3,4,82,26,13,0
